,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Shattuck Bantam,High-MN,1,47,54,56,58,56,101,,,,,,,,,,,,,,,,,
0,20102011,Shattuck Midget,High-MN,1,48,45,72,40,72,93,,,,,,,,,,,,,,,,,
0,20112012,Halifax,QMJHL,1,47,31,45,58,45,78,209.0,7.0,14.83,4.0,0.0,11.0,,,,,,,,,,,
0,20122013,Halifax,QMJHL,1,43,32,45,44,45,75,201.0,10.0,15.92,7.0,2.0,40.0,,,,,,,,,,,
0,20132014,Colorado Avalanche,National Hockey League,1,39,24,26,82,26,63,241.0,8.0,9.96,5.0,0.0,20.0,1422:13,57.0,17.0,191:31,1225:01,42.92,0.0,0.0,05:41,45.0,1735.0
0,20132014,Canada,WC-A,2,3,1,8,7,8,4,24.0,1.0,,0.0,0.0,3.0,,,,,,,,,,,
0,20142015,Colorado Avalanche,National Hockey League,1,24,14,34,64,34,38,192.0,3.0,7.29,2.0,0.0,-7.0,1091:04,43.0,7.0,155:45,932:09,46.96,0.0,0.0,03:10,41.0,1364.0
0,20142015,Canada,WC-A,2,5,4,6,10,6,9,18.0,0.0,,0.0,0.0,6.0,,,,,,,,,,,
0,20152016,Colorado Avalanche,National Hockey League,1,31,21,20,72,20,52,245.0,7.0,8.57,6.0,0.0,-4.0,1358:21,46.0,16.0,210:20,1106:18,48.42,0.0,1.0,41:43,53.0,1696.0
0,20162017,Colorado Avalanche,National Hockey League,1,37,16,16,82,16,53,251.0,2.0,6.37,4.0,2.0,-14.0,1635:24,56.0,14.0,227:52,1264:23,50.56,2.0,2.0,143:09,30.0,2097.0
0,20162017,Canada,WC,17155,9,6,6,10,6,15,,,,,,6.0,,,,,,,,,,,
0,20162017,Team North America,WCup,176776,1,2,2,3,2,3,,,,,,2.0,,,,,,,,,,,
0,20172018,Colorado Avalanche,National Hockey League,1,58,39,55,74,55,97,284.0,12.0,13.73,12.0,0.0,11.0,1472:59,38.0,32.0,267:00,1183:20,41.92,3.0,1.0,22:39,22.0,1760.0
0,20182019,Colorado Avalanche,National Hockey League,1,58,41,34,82,34,99,365.0,12.0,11.23,6.0,0.0,20.0,1811:30,54.0,37.0,335:26,1467:20,43.7,1.0,0.0,08:44,31.0,2024.0
0,20192020,Colorado Avalanche,National Hockey League,1,58,35,12,69,12,93,318.0,12.0,11.0,4.0,0.0,13.0,1464:21,51.0,31.0,284:21,1174:57,43.1,2.0,0.0,05:03,31.0,1621.0
0,20202021,Colorado Avalanche,National Hockey League,1,45,20,37,48,37,65,206.0,8.0,9.7,2.0,0.0,22.0,977:29,38.0,25.0,197:13,778:20,48.48,0.0,0.0,01:56,15.0,1092.0
0,20212022,Colorado Avalanche,National Hockey League,1,56,32,42,65,42,88,299.0,7.0,10.7,5.0,0.0,22.0,1368:58,68.0,27.0,238:31,1126:58,45.38,1.0,0.0,03:29,39.0,1579.0
