,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,North York,GTHL,1,12,10,18,33,18,22,,,,,,,,,,,,,,,,,
0,20122013,Tor. Jr. Canadiens,GTHL,1,12,6,8,30,8,18,,,,,,,,,,,,,,,,,
0,20132014,Tor. Canadiens,ON-Jr.A,1,26,7,87,43,87,33,2.0,1.0,0.0,,,,,,,,,,,,,,
0,20142015,Providence,H-East,1,15,1,44,41,44,16,0.0,0.0,0.0,,,,,,,,,,,,,,
0,20152016,Providence,H-East,1,15,13,20,27,20,28,8.0,4.0,0.0,110.0,13.0,,,,,,,,,,,,
0,20152016,Providence College,NCAA,7690,15,13,20,27,20,28,,,,,13.0,,,,,,,,,,,,
0,20162017,Chicago Wolves,AHL,957,1,2,2,7,2,3,,,,,3.0,,,,,,,,,,,,
0,20162017,Providence College,NCAA,7690,18,7,42,39,42,25,,,,,11.0,,,,,,,,,,,,
0,20172018,Chicago Wolves,AHL,957,11,2,14,40,14,13,,,,,-5.0,,,,,,,,,,,,
0,20172018,Binghamton Devils,AHL,233827,5,2,10,19,10,7,,,,,-2.0,,,,,,,,,,,,
0,20182019,San Antonio Rampage,AHL,8497,10,3,48,66,48,13,,,,,-31.0,,,,,,,,,,,,
0,20192020,St. Louis Blues,National Hockey League,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,1.0,11:04,0.0,0.0,00:00,11:04,0.0,0.0,0.0,0.0,00:00,1.0,20.0
0,20192020,San Antonio Rampage,AHL,8497,19,8,32,57,32,27,,,,,3.0,,,,,,,,,,,,
0,20202021,St. Louis Blues,National Hockey League,1,1,1,8,24,8,2,0.0,0.0,0.0,47.0,-7.0,347:06,26.0,0.0,01:19,320:15,0.0,2.1,0.0,0.0,25:32,20.0,499.0
0,20212022,St. Louis Blues,National Hockey League,1,3,3,6,32,6,6,0.0,0.0,0.0,48.0,3.0,383:12,21.0,0.0,00:31,366:04,0.0,6.3,0.0,0.0,16:37,26.0,611.0
0,20212022,Detroit Red Wings,National Hockey League,2,4,0,4,19,4,4,0.0,0.0,0.0,39.0,-6.0,332:01,26.0,1.0,20:46,297:16,0.0,0.0,0.0,0.0,13:59,32.0,419.0
