,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,shifts
0,20052006,Tingsryd Jr.,Swe-Jr.,1,0,0,2,1,2,0.0,0,,,,,,,,,,,,,,,,
0,20062007,Tingsryd U18,Swe-U18,1,3,0,28,23,28,0.0,3,,,,,,,,,,,,,,,,
0,20072008,Tingsryd U18,Swe-U18,1,3,2,57,12,57,0.0,5,,,,,,,,,,,,,,,,
0,20072008,Tingsryd Jr.,Swe-Jr.,2,4,2,16,7,16,0.0,6,,,,,,,,,,,,,,,,
0,20072008,Tingsryd,Sweden-3,3,5,3,10,27,10,0.0,8,,,,,,,,,,,,,,,,
0,20082009,Leksand,Sweden-2,1,16,5,38,47,38,0.0,21,,,,,,,,,,,,,,,,
0,20082009,Sweden,WJ18-A,2,6,2,2,6,2,0.0,8,,,,,,,,,,,,,,,,
0,20092010,Leksand,Sweden-2,1,22,11,106,52,106,0.0,33,,,,,,,,,,,,,,,,
0,20092010,Sweden,WJC-A,3,3,2,12,6,12,0.0,5,,,,,,,,,,,,,,,,
0,20102011,Phoenix Coyotes,National Hockey League,1,10,1,24,48,24,0.0,11,721:42,50.0,41.0,0.0,2.0,47:37,629:39,2.0,0.0,0.0,0.0,0.0,44:26,31.0,3.0,972.0
0,20102011,San Antonio,AHL,2,7,3,16,15,16,,10,,35.0,,1.0,,,,8.57,0.0,,0.0,,,,-3.0,
0,20102011,Sweden,WC-A,3,3,1,2,7,2,,4,,,,1.0,,,,,0.0,,0.0,,,,5.0,
0,20112012,Phoenix Coyotes,National Hockey League,1,19,13,32,82,32,0.0,32,1813:00,147.0,140.0,2.0,8.0,170:12,1525:28,8.84,2.0,0.0,1.0,1.0,117:20,92.0,0.0,2148.0
0,20122013,Phoenix Coyotes,National Hockey League,1,21,3,26,48,26,0.0,24,1204:37,101.0,73.0,0.0,8.0,176:07,883:52,2.97,1.0,0.0,0.0,0.0,144:38,40.0,5.0,1377.0
0,20122013,Portland,AHL,2,14,7,28,20,28,,21,,63.0,,3.0,,,,11.11,2.0,,0.0,,,,5.0,
0,20132014,Phoenix Coyotes,National Hockey League,1,29,15,50,80,50,0.0,44,2071:37,199.0,134.0,8.0,22.0,327:26,1515:24,7.54,6.0,1.0,0.0,0.0,228:47,80.0,-4.0,2355.0
0,20132014,Sweden,Olympics,3,3,0,2,6,2,,3,,5.0,,0.0,,,,,0.0,,0.0,,,,4.0,
0,20142015,Arizona Coyotes,National Hockey League,1,20,23,40,82,40,0.0,43,2067:27,264.0,167.0,10.0,20.0,318:35,1538:22,8.71,7.0,3.0,1.0,1.0,210:30,77.0,-18.0,2424.0
0,20142015,Sweden,WC-A,2,10,2,6,8,6,,12,,28.0,,0.0,,,,,1.0,,0.0,,,,4.0,
0,20152016,Arizona Coyotes,National Hockey League,1,34,21,96,75,96,0.0,55,1857:43,228.0,154.0,12.0,27.0,388:12,1415:39,9.21,8.0,2.0,0.0,0.0,53:52,67.0,-6.0,2127.0
0,20162017,Arizona Coyotes,National Hockey League,1,27,12,48,79,48,0.0,39,1944:37,145.0,112.0,8.0,19.0,291:31,1526:33,8.28,1.0,1.0,0.0,0.0,126:33,85.0,-25.0,2332.0
0,20162017,Sweden,WC,6815,3,2,2,8,2,,5,,,,,,,,,,,,,,,3.0,
0,20162017,Sweden,WCup,8596,0,0,4,4,4,,0,,,,,,,,,,,,,,,-1.0,
0,20162017,Sweden,EHT,89816,2,0,0,3,0,,2,,,,,,,,,,,,,,,0.0,
0,20172018,Arizona Coyotes,National Hockey League,1,28,14,44,82,44,0.0,42,1941:55,202.0,160.0,6.0,15.0,249:58,1555:07,6.93,3.0,0.0,0.0,0.0,136:50,79.0,-28.0,2398.0
0,20172018,Sweden,WC,6815,5,2,4,10,4,,7,,,,,,,,,,,,,,,10.0,
0,20172018,Sweden,EHT,89816,0,2,14,3,14,,2,,,,,,,,,,,,,,,-1.0,
0,20182019,Arizona Coyotes,National Hockey League,1,30,14,52,81,52,0.0,44,1914:47,176.0,162.0,5.0,19.0,288:04,1524:33,7.95,2.0,0.0,1.0,3.0,102:10,52.0,-16.0,2231.0
0,20182019,Sweden,WC,6815,5,3,4,8,4,,8,,,,,,,,,,,,,,,7.0,
0,20182019,Sweden,EHT,89816,0,0,8,3,8,,0,,,,,,,,,,,,,,,1.0,
0,20192020,Arizona Coyotes,National Hockey League,1,21,9,38,66,38,0.0,30,1518:34,135.0,129.0,2.0,7.0,176:17,1205:45,6.7,1.0,0.0,1.0,1.0,136:32,65.0,-3.0,1837.0
0,20202021,Arizona Coyotes,National Hockey League,1,21,3,32,46,32,0.0,24,964:47,83.0,72.0,2.0,14.0,109:54,774:49,3.6,0.0,0.0,0.0,0.0,80:04,26.0,-17.0,1211.0
0,20212022,Vancouver Canucks,National Hockey League,1,24,5,52,79,52,0.0,29,1763:21,168.0,105.0,3.0,10.0,138:18,1466:05,3.0,1.0,0.0,0.0,0.0,158:58,79.0,5.0,2212.0
0,20212022,Sweden,WC,6815,2,0,4,6,4,,2,,,,,,,,,,,,,,,1.0,
