,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,St. Albert Sabres Bantam AAA,AMBHL,55208,15,10,32,33,32,0.0,25,,,,,,,,,,,,,,,,
0,20122013,St. Albert Sabres Bantam AAA,AMBHL,55208,13,9,51,25,51,0.0,22,,,,,,,,,,,,,,,,
0,20132014,Okan. HA Midget,Minor-BC,1,26,14,42,37,42,,40,,,,,,,,,,,,,,,,
0,20132014,Okanagan Prep,CSSHL,2,15,11,26,21,26,,26,,,,,,,,,,,,,,,,
0,20142015,Red Deer,WHL,1,6,2,20,51,20,,8,-10.0,1.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Red Deer,WHL,1,1,0,0,2,0,1.0,1,,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Red Deer Rebels,M-Cup,9111,0,0,2,4,2,-1.0,0,,,,,,,,,,,,,,,,
0,20152016,Red Deer Rebels,WHL,9631,1,0,0,2,0,1.0,1,,,,,,,,,,,,,,,,
0,20152016,Canada U18,Hlinka Gretzky Cup,144760,0,1,2,4,2,2.0,1,,,,,,,,,,,,,,,,
0,20152016,Team White,U18-Dev,178691,0,0,0,3,0,,0,,,,,,,,,,,,,,,,
0,20162017,Red Deer Rebels,WHL,9631,24,9,35,39,35,-1.0,33,,,,,,,,,,,,,,,,
0,20162017,Regina Pats,WHL,9641,12,8,22,34,22,18.0,20,,,,,,,,,,,,,,,,
0,20172018,Regina Pats,M-Cup,9121,5,2,2,5,2,-1.0,7,,,,,,,,,,,,,,,,
0,20172018,Regina Pats,WHL,9641,47,22,42,60,42,36.0,69,,,,,,,,,,,,,,,,
0,20182019,Anaheim Ducks,National Hockey League,1,4,1,4,17,4,0.0,5,20.0,0.0,0.0,0.0,243:10,6.0,3.0,14:44,226:52,0.0,5.0,0.0,0.0,01:34,18.0,334.0
0,20182019,San Diego Gulls,AHL,85177,18,1,10,40,10,-3.0,19,,,,,,,,,,,,,,,,
0,20192020,Anaheim Ducks,National Hockey League,1,3,1,2,11,2,-3.0,4,11.0,0.0,0.0,0.0,178:30,2.0,0.0,17:25,160:14,0.0,9.1,0.0,0.0,00:51,11.0,247.0
0,20192020,San Diego Gulls,AHL,85177,17,4,40,44,40,0.0,21,,,,,,,,,,,,,,,,
0,20202021,Anaheim Ducks,National Hockey League,1,3,1,4,13,4,0.0,4,14.0,0.0,0.0,0.0,206:40,10.0,0.0,04:00,202:13,0.0,7.1,0.0,0.0,00:27,9.0,280.0
0,20202021,San Diego Gulls,AHL,85177,14,6,16,28,16,9.0,20,,,,,,,,,,,,,,,,
0,20212022,Anaheim Ducks,National Hockey League,1,4,3,12,38,12,-14.0,7,36.0,0.0,0.0,0.0,534:18,63.0,0.0,01:50,525:10,0.0,8.3,0.0,0.0,07:18,51.0,703.0
