,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedGoals,shortHandedTimeOnIce,shifts,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20032004,Thunder Bay Kings Mn Midget AAA,TBJBHL,97055,48,44,34,49,34,0.0,92,,,,,,,,,,,,,,,,
0,20042005,Peterborough,OHL,1,19,9,29,66,29,1.0,28,00:00,0.0,00:00,00:00,0.0,0.0,00:00,0.0,,,,,,,,
0,20052006,Peterborough,OHL,1,40,28,69,68,69,16.0,68,00:00,11.0,00:00,00:00,0.0,2.0,00:00,0.0,,,,,,,,
0,20062007,Pittsburgh Penguins,National Hockey League,1,13,29,24,81,24,16.0,42,1210:16,4.0,97:43,866:45,37.08,7.0,245:48,1637.0,131.0,33.0,6.0,22.14,4.0,1.0,9.0,42.0
0,20062007,Canada,WC-A,3,2,0,0,9,0,,2,,,,,,,,,,,,,,,,
0,20072008,Pittsburgh Penguins,National Hockey League,1,16,12,55,82,55,-5.0,28,1498:22,3.0,124:44,1089:47,42.18,0.0,283:51,2013.0,183.0,86.0,7.0,6.56,4.0,0.0,1.0,57.0
0,20082009,Pittsburgh Penguins,National Hockey League,1,27,22,37,82,37,5.0,49,1627:24,2.0,190:03,1147:40,47.01,1.0,289:41,2035.0,166.0,156.0,6.0,13.25,3.0,0.0,4.0,55.0
0,20092010,Pittsburgh Penguins,National Hockey League,1,28,21,57,82,57,19.0,49,1590:07,1.0,156:14,1159:45,48.26,2.0,274:08,1932.0,195.0,121.0,5.0,10.77,1.0,0.0,3.0,41.0
0,20102011,Pittsburgh Penguins,National Hockey League,1,19,11,24,42,24,7.0,30,896:50,3.0,132:26,659:11,46.94,0.0,105:13,1017.0,91.0,70.0,7.0,12.09,4.0,1.0,2.0,13.0
0,20112012,Pittsburgh Penguins,National Hockey League,1,25,25,34,62,34,11.0,50,1243:26,5.0,123:25,956:33,51.04,3.0,163:28,1516.0,149.0,101.0,7.0,16.78,0.0,0.0,5.0,23.0
0,20122013,Carolina Hurricanes,National Hockey League,1,21,10,32,48,32,-18.0,31,965:03,1.0,110:36,749:38,50.11,0.0,104:49,1255.0,114.0,105.0,7.0,8.77,1.0,0.0,1.0,20.0
0,20122013,Canada,WC-A,2,2,1,4,8,4,5.0,3,,0.0,,,,0.0,,,,,,,0.0,,,
0,20132014,Carolina Hurricanes,National Hockey League,1,25,15,34,82,34,2.0,40,1553:53,2.0,184:34,1235:38,54.37,1.0,133:41,2153.0,165.0,194.0,10.0,9.09,2.0,0.0,4.0,37.0
0,20142015,Carolina Hurricanes,National Hockey League,1,18,6,14,46,14,-6.0,24,853:24,1.0,91:46,752:15,56.38,0.0,09:23,1125.0,92.0,85.0,7.0,6.52,1.0,0.0,0.0,15.0
0,20152016,Carolina Hurricanes,National Hockey League,1,28,20,34,82,34,6.0,48,1500:39,6.0,146:51,1208:16,57.78,0.0,145:32,2104.0,151.0,165.0,10.0,13.25,4.0,3.0,2.0,31.0
0,20162017,Carolina Hurricanes,National Hockey League,1,29,16,38,75,38,-1.0,45,1399:37,4.0,168:58,1112:53,59.09,1.0,117:46,1927.0,164.0,139.0,8.0,9.76,3.0,0.0,1.0,29.0
0,20172018,Carolina Hurricanes,National Hockey League,1,27,19,26,79,26,-4.0,46,1520:49,4.0,205:11,1178:38,56.58,2.0,137:00,2039.0,160.0,181.0,12.0,11.88,2.0,0.0,2.0,32.0
0,20182019,Carolina Hurricanes,National Hockey League,1,17,11,26,50,26,6.0,28,914:14,0.0,91:03,732:04,55.82,0.0,91:07,1279.0,121.0,122.0,2.0,9.09,1.0,0.0,0.0,18.0
0,20192020,Carolina Hurricanes,National Hockey League,1,19,8,40,68,40,3.0,27,1190:28,2.0,78:32,952:10,54.44,0.0,159:46,1628.0,125.0,149.0,3.0,6.4,0.0,0.0,0.0,36.0
0,20202021,Carolina Hurricanes,National Hockey League,1,22,16,30,53,30,2.0,38,979:44,7.0,140:54,726:55,57.99,0.0,111:55,1296.0,103.0,135.0,14.0,15.5,4.0,1.0,1.0,24.0
0,20212022,Carolina Hurricanes,National Hockey League,1,19,17,18,78,18,11.0,36,1297:18,1.0,55:02,1069:36,57.28,0.0,172:40,1804.0,146.0,212.0,2.0,11.6,2.0,0.0,0.0,29.0
