,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20112012,BC Junior Canucks,Brick Invitational,128856,0,0,0,6,0,0,
0,20152016,Calgary Bisons U15 AAA,AEHL U15,62869,11,12,20,28,20,23,
0,20162017,Calgary Bisons U15 AAA,AEHL U15,62869,35,38,30,32,30,73,
0,20162017,CBHA Blackhawks U16 AAA,AEHL U16,85670,0,0,0,1,0,0,
0,20172018,Prince Albert Raiders,WHL,7891,0,1,0,1,0,1,1.0
0,20172018,Calgary Buffaloes U18 AAA,AEHL U18,37501,20,21,22,33,22,41,
0,20182019,Prince Albert Raiders,M-Cup,7371,1,0,4,3,4,1,1.0
0,20182019,Prince Albert Raiders,WHL,7891,24,15,20,64,20,39,30.0
0,20182019,Canada Black U17,WHC-17,163780,2,1,6,5,6,3,
0,20192020,Prince Albert Raiders,WHL,7891,45,25,36,64,36,70,20.0
0,20192020,Canada U18,Hlinka Gretzky Cup,144760,1,0,12,5,12,1,-1.0
0,20202021,Prince Albert Raiders,WHL,7891,21,7,29,23,29,28,8.0
0,20202021,San Jose Barracuda,AHL,187427,1,2,0,6,0,3,-1.0
0,20212022,Prince Albert Raiders,WHL,7891,31,10,55,43,55,41,-3.0
