,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20172018,HK 32 Liptovsky Mikulas U18,Slovakia U18,31373,16,5,18,44,18,1,21
0,20182019,HK 32 Liptovsky Mikulas U18,Slovakia U18,31373,25,10,78,52,78,2,35
0,20192020,HK Nitra,Slovakia,12338,3,0,0,12,0,2,3
0,20192020,HK Levice,Slovakia2,15927,6,2,18,20,18,-6,8
0,20192020,HK Nitra U20,Slovakia U20,40645,5,3,4,13,4,-1,8
0,20192020,Slovakia U18,Hlinka Gretzky Cup,158310,0,0,0,4,0,1,0
0,20192020,Team Slovakia U18,Slovakia U20,162365,4,3,2,12,2,-2,7
0,20202021,HK Nitra,Slovakia,12338,17,2,12,37,12,-10,19
0,20202021,Slovakia,WC,17315,1,0,0,5,0,-3,1
0,20202021,Slovakia U20,WJC-20,17376,4,0,2,5,2,-4,4
0,20212022,HK Nitra,Slovakia,12338,25,1,20,39,20,13,26
0,20212022,Slovakia,OG,17072,1,0,2,7,2,-2,1
0,20212022,Slovakia,OGQ,17075,1,0,0,3,0,2,1
0,20212022,Slovakia,WC,17315,5,1,2,8,2,2,6
0,20212022,Slovakia U18,WJC-18 D1A,17355,2,0,0,1,0,-1,2
0,20212022,Slovakia U18,Hlinka Gretzky Cup,158310,5,1,2,5,2,0,6
