,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Oakland Jr. Grizzlies Bantam Mnr,T1EMBHL,168380,30,17,12,29,12,0.0,47,,,,,,,,,,,,,,,,
0,20132014,Oakland Jr. Grizzlies  U16,T1EHL U16,124488,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20132014,Oakland Jr. Grizzlies Bantam AAA,T1EBHL,162249,14,11,30,28,30,0.0,25,,,,,,,,,,,,,,,,
0,20142015,Oakland Jr. Grizzlies  U16,Midget,124021,18,10,14,21,14,0.0,28,,,,,,,,,,,,,,,,
0,20152016,U.S. National U17 Team,USDP,19734,13,14,34,44,34,,27,,,,,,,,,,,,,,,,
0,20152016,USNTDP Juniors,USHL,52486,5,2,16,24,16,-14.0,7,,,,,,,,,,,,,,,,
0,20152016,USA U17,WHC-17,61270,3,2,4,5,4,,5,,,,,,,,,,,,,,,,
0,20162017,USA U18,WJC-18,17253,4,3,2,7,2,5.0,7,,,,,,,,,,,,,,,,
0,20162017,U.S. National U18 Team,USDP,19564,34,27,36,61,36,,61,,,,,,,,,,,,,,,,
0,20162017,USNTDP Juniors,USHL,52486,14,12,18,25,18,9.0,26,,,,,,,,,,,,,,,,
0,20172018,Univ. of Michigan,NCAA,8590,15,8,24,37,24,-8.0,23,,,,,,,,,,,,,,,,
0,20172018,USA U20,WJC-20,17276,3,0,2,7,2,-2.0,3,,,,,,,,,,,,,,,,
0,20182019,Univ. of Michigan,NCAA,8590,9,10,10,17,10,-2.0,19,,,,,,,,,,,,,,,,
0,20182019,USA U20,WJC-20,17276,3,3,4,7,4,6.0,6,,,,,,,,,,,,,,,,
0,20192020,Ottawa Senators,National Hockey League,1,0,0,0,3,0,2.0,0,53:45,9.0,3.0,0.0,0.0,08:24,45:21,61.22,0.0,0.0,0.0,0.0,0.0,00:00,2.0,69.0
0,20192020,Belleville Senators,AHL,227817,30,31,21,56,21,9.0,61,,,,,,,,,,,,,,,,
0,20202021,Ottawa Senators,National Hockey League,1,18,17,13,56,13,-12.0,35,922:14,96.0,72.0,6.0,14.0,141:33,774:01,52.35,17.7,2.0,1.0,0.0,0.0,06:40,34.0,1248.0
0,20212022,Ottawa Senators,National Hockey League,1,20,35,16,66,16,-7.0,55,1226:13,172.0,79.0,16.0,23.0,213:21,975:14,51.06,20.3,8.0,1.0,0.0,0.0,37:38,44.0,1609.0
