,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,shortHandedGoals,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Strathcona Warriors Bantam AAA,AMBHL,65958,20,10,85,34,85,0.0,30,,,,,,,,,,,,,,,,
0,20062007,Strathcona Warriors Bantam AAA,AMBHL,65958,34,15,69,33,69,0.0,49,,,,,,,,,,,,,,,,
0,20072008,Sherwood Park,AMHL,1,10,10,60,34,60,,20,0.0,,,,,,,,,,,,,,,
0,20072008,Edmonton,WHL,2,2,1,8,14,8,-8.0,3,,0.0,0.0,,,,,,,,,,,,,
0,20082009,Edmonton,WHL,1,15,5,27,61,27,-5.0,20,,3.0,0.0,,,,,,,,,,,,,
0,20092010,Edmonton,WHL,1,17,7,47,48,47,-19.0,24,,2.0,0.0,,,,,,,,,,,,,
0,20102011,Edmonton,WHL,1,34,6,88,63,88,29.0,40,,1.0,0.0,,,,,,,,,,,,,
0,20112012,Edmonton,WHL,1,32,6,83,57,83,15.0,38,,1.0,0.0,,,,,,,,,,,,,
0,20112012,Canada,WJC-A,2,0,0,2,6,2,7.0,0,,0.0,0.0,0.0,,,,,,,,,,,,
0,20122013,Buffalo Sabres,National Hockey League,1,4,1,0,19,0,-7.0,5,0.0,1.0,0.0,0.0,309:17,21.0,6.0,1.0,15:34,286:43,4.76,0.0,0.0,07:00,9.0,392.0
0,20122013,Rochester,AHL,2,14,4,20,57,20,8.0,18,,0.0,0.0,0.0,,67.0,,,,,5.97,,,,,
0,20132014,Buffalo Sabres,National Hockey League,1,6,1,16,44,16,-11.0,7,0.0,0.0,0.0,1.0,863:22,51.0,37.0,2.0,53:21,714:02,1.96,1.0,0.0,95:59,57.0,1109.0
0,20132014,Rochester,AHL,2,11,1,28,31,28,5.0,12,,1.0,0.0,0.0,,37.0,,,,,2.7,,,,,
0,20142015,Buffalo Sabres,National Hockey League,1,1,2,2,7,2,4.0,3,0.0,0.0,0.0,1.0,127:15,4.0,1.0,0.0,02:44,117:58,50.0,0.0,0.0,06:33,11.0,169.0
0,20142015,Rochester,AHL,2,14,3,32,54,32,-2.0,17,,0.0,0.0,0.0,,76.0,,,,,3.9,,,,,
0,20152016,Buffalo Sabres,National Hockey League,1,10,1,32,55,32,-1.0,11,0.0,0.0,0.0,0.0,874:40,44.0,37.0,1.0,35:17,813:47,2.27,0.0,1.0,25:36,49.0,1277.0
0,20152016,Rochester,AHL,2,1,0,2,3,2,0.0,1,,0.0,0.0,0.0,,1.0,,,,,0.0,,,,,
0,20152016,Rochester Americans,AHL,1047,1,0,2,3,2,0.0,1,,,,,,,,,,,,,,,,
0,20162017,Florida Panthers,National Hockey League,1,13,4,10,82,10,0.0,17,0.0,0.0,0.0,0.0,1521:59,86.0,72.0,0.0,07:11,1282:22,4.65,0.0,0.0,232:26,99.0,1896.0
0,20172018,Florida Panthers,National Hockey League,1,13,3,20,82,20,-8.0,16,0.0,0.0,0.0,0.0,1538:25,106.0,102.0,0.0,07:34,1361:23,2.83,0.0,0.0,169:28,123.0,2118.0
0,20182019,Florida Panthers,National Hockey League,1,10,1,26,70,26,-1.0,11,0.0,0.0,0.0,0.0,1278:50,64.0,133.0,0.0,03:30,1152:57,1.56,0.0,1.0,122:23,89.0,1798.0
0,20192020,Florida Panthers,National Hockey League,1,9,9,20,58,20,4.0,18,50.0,0.0,0.0,1.0,739:35,64.0,47.0,0.0,00:35,703:35,14.1,0.0,0.0,35:25,38.0,997.0
0,20202021,Dallas Stars,National Hockey League,1,1,3,20,36,20,6.0,4,0.0,0.0,0.0,0.0,421:35,51.0,36.0,0.0,01:13,391:23,5.9,0.0,0.0,28:59,16.0,612.0
0,20212022,Buffalo Sabres,National Hockey League,1,9,3,16,68,16,-4.0,12,0.0,0.0,0.0,0.0,1211:33,64.0,41.0,0.0,03:08,1071:04,4.7,0.0,0.0,137:21,85.0,1635.0
