,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,South Kent Prep.,USHS-Prep,41018,27,6,0,33,0,0.0,33,,,,,,,,,,,,,,,,
0,20102011,South Kent,High-CT,1,29,7,32,24,32,,36,,,,,,,,,,,,,,,,
0,20112012,Union College,ECAC,1,17,5,20,41,20,,22,2.0,2.0,0.0,,,,,,,,,,,,,
0,20122013,Union College,ECAC,1,18,8,39,36,39,,26,5.0,2.0,0.0,,,,,,,,,,,,,
0,20132014,Union College,ECAC,1,25,9,26,42,26,,34,4.0,0.0,1.0,,,,,,,,,,,,,
0,20132014,Adirondack,AHL,2,0,0,0,2,0,-2.0,0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,
0,20142015,Philadelphia Flyers,National Hockey League,1,0,0,0,2,0,-2.0,0,0.0,0.0,0.0,2.0,0.0,25:07,0.0,0.0,04:20,20:47,0.0,0.0,0.0,00:00,1.0,34.0
0,20142015,Lehigh Valley,AHL,2,5,0,0,5,0,-1.0,5,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,
0,20152016,Philadelphia Flyers,National Hockey League,1,29,17,24,64,24,8.0,46,8.0,5.0,0.0,152.0,11.18,1285:47,27.0,22.0,256:24,1023:04,100.0,4.0,0.0,06:19,59.0,1564.0
0,20152016,Lehigh Valley,AHL,2,8,2,6,14,6,-2.0,10,2.0,0.0,0.0,41.0,4.9,,,,,,,,,,,
0,20152016,Lehigh Valley Phantoms,AHL,173347,8,2,6,14,6,-2.0,10,,,,,,,,,,,,,,,,
0,20162017,Philadelphia Flyers,National Hockey League,1,32,7,32,76,32,-21.0,39,2.0,1.0,0.0,198.0,3.54,1489:10,43.0,23.0,290:58,1192:44,0.0,0.0,0.0,05:28,94.0,1854.0
0,20162017,Team North America,WCup,176776,4,0,4,3,4,4.0,4,,,,,,,,,,,,,,,,
0,20172018,Philadelphia Flyers,National Hockey League,1,52,13,25,78,25,10.0,65,7.0,2.0,0.0,221.0,5.88,1673:31,53.0,33.0,281:18,1386:02,0.0,1.0,0.0,06:11,116.0,1968.0
0,20182019,Philadelphia Flyers,National Hockey League,1,28,9,22,78,22,-20.0,37,4.0,2.0,0.0,180.0,5.0,1533:25,46.0,14.0,271:16,1255:15,0.0,1.0,0.0,06:54,102.0,1772.0
0,20192020,Philadelphia Flyers,National Hockey League,1,7,5,20,42,20,-4.0,12,1.0,1.0,0.0,73.0,6.8,768:18,14.0,5.0,110:37,655:25,0.0,0.0,0.0,02:16,37.0,993.0
0,20192020,Lehigh Valley Phantoms,AHL,173347,1,0,0,2,0,-1.0,1,,,,,,,,,,,,,,,,
0,20202021,Philadelphia Flyers,National Hockey League,1,11,9,6,41,6,-2.0,20,5.0,0.0,0.0,85.0,10.6,817:33,18.0,9.0,110:14,702:44,0.0,0.0,0.0,04:35,47.0,1025.0
0,20212022,Arizona Coyotes,National Hockey League,1,37,14,26,82,26,-23.0,51,2.0,2.0,0.0,151.0,9.3,1819:37,60.0,19.0,233:28,1516:05,0.0,1.0,0.0,70:04,115.0,2095.0
