,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,North Shore WC Bantam A1-T1,PCBHL,138824,96,72,125,66,125,0.0,168,,,,,,,,,,,,,,,,
0,20062007,Greater Van.,Minor-BC,1,32,22,150,30,150,,54,0.0,,,,,,,,,,,,,,,
0,20062007,Vancouver,WHL,2,0,1,11,8,11,2.0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20072008,Vancouver,WHL,1,17,24,66,65,66,20.0,41,,10.0,,0.0,,,,,,,,,,,,
0,20082009,Vancouver,WHL,1,48,48,89,61,89,51.0,96,,23.0,,1.0,,,,,,,,,,,,
0,20082009,Canada,WJC-A,3,4,2,2,6,2,,6,0.0,,,,,,,,,,,,,,,
0,20092010,Atlanta Thrashers,National Hockey League,1,12,14,62,66,62,2.0,26,53.85,0.0,3.0,1.0,923:33,127.0,97.0,0.0,22:17,826:24,11.02,0.0,1.0,74:52,24.0,1166.0
0,20092010,Canada,WC-A,5,2,2,6,7,6,,4,0.0,,,,,,,,,,,,,,,
0,20102011,Atlanta Thrashers,National Hockey League,1,24,19,68,73,68,-12.0,43,40.63,4.0,2.0,0.0,1303:57,234.0,154.0,8.0,168:53,1074:03,8.12,0.0,0.0,61:01,32.0,1674.0
0,20102011,Canada,WC-A,2,2,0,4,7,4,4.0,2,,0.0,0.0,0.0,,,,,,,,,,,,
0,20112012,Winnipeg Jets,National Hockey League,1,27,30,53,74,53,11.0,57,34.09,6.0,4.0,0.0,1296:16,287.0,173.0,9.0,162:21,1130:28,10.45,1.0,0.0,03:27,31.0,1520.0
0,20112012,Canada,WC-A,2,3,4,2,8,2,6.0,7,,0.0,1.0,0.0,,,,,,,,,,,,
0,20122013,Winnipeg Jets,National Hockey League,1,16,17,80,48,80,-3.0,33,39.39,2.0,4.0,0.0,981:43,190.0,147.0,4.0,116:12,817:50,8.95,1.0,0.0,47:41,22.0,1118.0
0,20122013,Dynamo Minsk,KHL,2,1,1,47,12,47,,2,,,,,,,,,,,,,,,,
0,20132014,Winnipeg Jets,National Hockey League,1,22,19,66,63,66,-7.0,41,42.86,1.0,4.0,2.0,1278:13,250.0,173.0,5.0,140:16,1021:57,7.6,0.0,2.0,116:00,36.0,1570.0
0,20142015,Winnipeg Jets,National Hockey League,1,12,10,56,37,56,-1.0,22,44.78,4.0,1.0,1.0,714:34,126.0,119.0,6.0,80:06,568:32,7.94,0.0,3.0,65:56,14.0,920.0
0,20152016,Buffalo Sabres,National Hockey League,1,15,20,91,65,91,-14.0,35,50.0,2.0,3.0,1.0,1367:25,271.0,171.0,6.0,166:07,1129:13,7.38,0.0,1.0,72:05,23.0,1552.0
0,20162017,Buffalo Sabres,National Hockey League,1,15,28,113,70,113,-17.0,43,45.08,3.0,5.0,0.0,1344:08,260.0,109.0,8.0,124:41,1127:59,10.77,1.0,0.0,91:28,29.0,1574.0
0,20172018,Buffalo Sabres,National Hockey League,1,20,20,57,61,57,-14.0,40,43.72,3.0,2.0,3.0,1182:42,227.0,120.0,9.0,148:38,989:05,8.81,0.0,3.0,44:59,26.0,1391.0
0,20172018,San Jose Sharks,National Hockey League,2,5,9,25,17,25,5.0,14,45.98,0.0,0.0,1.0,344:15,80.0,39.0,0.0,52:40,281:29,11.25,0.0,1.0,10:06,8.0,410.0
0,20182019,San Jose Sharks,National Hockey League,1,26,30,153,75,153,-4.0,56,43.4,5.0,1.0,1.0,1380:47,268.0,173.0,11.0,143:51,1162:58,11.19,0.0,2.0,73:58,25.0,1734.0
0,20192020,San Jose Sharks,National Hockey League,1,21,26,122,64,122,-12.0,47,52.74,14.0,6.0,2.0,1250:28,216.0,135.0,18.0,174:04,989:27,12.0,0.0,2.0,86:57,25.0,1520.0
0,20202021,San Jose Sharks,National Hockey League,1,27,22,42,56,42,-1.0,49,40.35,3.0,2.0,2.0,1131:02,194.0,97.0,7.0,155:32,877:20,11.3,1.0,4.0,98:10,22.0,1361.0
0,20212022,Edmonton Oilers,National Hockey League,1,17,22,60,43,60,25.0,39,45.0,3.0,3.0,2.0,836:22,152.0,135.0,4.0,105:07,716:09,14.5,0.0,3.0,15:06,11.0,921.0
0,20212022,San Jose Barracuda,AHL,187427,6,2,2,5,2,3.0,8,,,,,,,,,,,,,,,,
