,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Jokerit U16,Jr. C SM-sarja,80132,3,0,2,8,2,0.0,3,,,,,,,,,,,,,,,,
0,20092010,Jokerit U18,Fin-U18,1,1,0,2,3,2,,1,,,,,,,,,,,,,,,,
0,20102011,Jokerit U18,Fin-U18,1,7,5,10,14,10,,12,,,,,,,,,,,,,,,,
0,20112012,Jokerit Jr.,Fin-Jr.,1,30,21,16,48,16,,51,,,,,,,,,,,,,,,,
0,20112012,K-Vantaa,Finland-2,2,0,0,0,2,0,,0,,,,,,,,,,,,,,,,
0,20112012,Finland,WJ18-A,3,6,0,2,7,2,4.0,6,0.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Jokerit Jr.,Fin-Jr.,1,4,5,6,11,6,,9,,,,,,,,,,,,,,,,
0,20122013,K-Vantaa,Finland-2,2,6,4,16,22,16,,10,,,,,,,,,,,,,,,,
0,20122013,Jokerit,Finland,3,0,0,4,19,4,,0,,,,,,,,,,,,,,,,
0,20132014,K-Vantaa,Finland-2,1,3,2,8,11,8,,5,,,,,,,,,,,,,,,,
0,20132014,Finland,WJC-A,2,3,2,6,7,6,6.0,5,0.0,0.0,0.0,16.0,,,,,,,,,,,,
0,20132014,Jokerit,Finland,3,3,2,10,44,10,,5,,,,,,,,,,,,,,,,
0,20142015,Assat,Finland,1,21,14,28,57,28,,35,,,,,,,,,,,,,,,,
0,20142015,Finland,WC-A,2,5,1,0,8,0,5.0,6,1.0,1.0,0.0,26.0,,,,,,,,,,,,
0,20142015,Texas,AHL,3,1,0,2,5,2,0.0,1,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,
0,20152016,Dallas Stars,National Hockey League,1,0,0,0,4,0,-3.0,0,0.0,0.0,0.0,2.0,0.0,56:11,4.0,0.0,00:00,54:34,0.0,0.0,0.0,01:37,9.0,75.0
0,20152016,Texas,AHL,2,28,14,56,73,56,6.0,42,3.0,1.0,1.0,128.0,10.9,,,,,,,,,,,
0,20152016,Finland,WC-A,3,3,1,0,10,0,6.0,4,1.0,0.0,0.0,17.0,5.9,,,,,,,,,,,
0,20152016,Finland,WC,17055,3,1,0,10,0,6.0,4,,,,,,,,,,,,,,,,
0,20152016,Texas Stars,AHL,45177,28,14,56,73,56,6.0,42,,,,,,,,,,,,,,,,
0,20162017,Dallas Stars,National Hockey League,1,12,6,22,73,22,8.0,18,0.0,2.0,0.0,99.0,6.06,1596:35,93.0,2.0,76:03,1372:33,0.0,1.0,0.0,147:59,119.0,1981.0
0,20162017,Finland,WCup,17116,0,0,0,1,0,-1.0,0,,,,,,,,,,,,,,,,
0,20162017,Texas Stars,AHL,45177,1,0,0,2,0,3.0,1,,,,,,,,,,,,,,,,
0,20172018,Dallas Stars,National Hockey League,1,20,7,24,80,24,19.0,27,2.0,0.0,0.0,137.0,5.11,1766:17,92.0,8.0,126:13,1487:48,0.0,0.0,0.0,152:16,123.0,2237.0
0,20182019,Dallas Stars,National Hockey League,1,21,11,33,82,33,14.0,32,4.0,1.0,2.0,132.0,8.33,1994:47,143.0,7.0,95:27,1633:36,0.0,0.0,2.0,265:44,161.0,2314.0
0,20192020,Dallas Stars,National Hockey League,1,20,3,12,69,12,5.0,23,1.0,2.0,0.0,98.0,3.1,1615:13,89.0,7.0,76:43,1276:26,0.0,1.0,3.0,262:04,127.0,1893.0
0,20202021,Dallas Stars,National Hockey League,1,11,5,19,56,19,11.0,16,0.0,0.0,1.0,100.0,5.0,1298:07,114.0,2.0,63:55,1066:24,0.0,0.0,1.0,167:48,104.0,1562.0
0,20212022,Dallas Stars,National Hockey League,1,21,4,12,76,12,4.0,25,0.0,0.0,1.0,136.0,2.9,1675:26,111.0,3.0,33:01,1442:24,0.0,0.0,3.0,200:01,148.0,2021.0
0,20212022,Finland,WC,17055,1,0,2,6,2,-1.0,1,,,,,,,,,,,,,,,,
