,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Lon. Jr. Knights,Minor-ON,1,43,49,82,62,82,0.0,92,,,,,,,,,,,,,,,,
0,20062007,Kitchener,OHL,1,15,7,30,62,30,0.0,22,0.0,0.0,11.0,,,,,,,,,,,,,
0,20072008,Kitchener,OHL,1,40,25,57,68,57,,65,10.0,0.0,9.0,,,,,,,,,,,,,
0,20082009,London,OHL,1,53,25,31,56,31,,78,10.0,5.0,13.0,,,,,,,,,,,,,
0,20092010,Toronto Maple Leafs,National Hockey League,1,0,0,0,1,0,15.38,0,0.0,0.0,-1.0,17:26,0.0,1.0,0.0,01:39,15:47,0.0,0.0,0.0,0.0,00:00,1.0,20.0
0,20092010,Canada,WJC-A,2,5,3,14,6,14,0.0,8,,,,,,,,,,,,,,,,
0,20092010,London,OHL,3,58,35,105,56,105,,93,11.0,3.0,26.0,,,,,,,,,,,,,
0,20102011,Toronto Maple Leafs,National Hockey League,1,9,3,8,29,8,40.5,12,0.0,0.0,-3.0,457:29,51.0,16.0,2.0,74:58,382:22,5.88,0.0,0.0,0.0,00:09,6.0,555.0
0,20102011,Toronto,AHL,2,24,17,62,44,62,,41,2.0,0.0,2.0,,96.0,,,,,17.71,0.0,,,,,
0,20112012,Toronto Maple Leafs,National Hockey League,1,2,5,8,21,8,26.67,7,1.0,0.0,2.0,297:21,28.0,25.0,1.0,33:43,263:24,17.86,1.0,0.0,0.0,00:14,5.0,381.0
0,20112012,Toronto,AHL,2,22,18,39,48,39,,40,5.0,0.0,2.0,,140.0,,,,,12.86,5.0,,,,,
0,20122013,Toronto Maple Leafs,National Hockey League,1,26,18,23,48,23,44.25,44,5.0,0.0,15.0,770:30,107.0,62.0,8.0,106:11,655:47,16.82,1.0,0.0,0.0,08:32,22.0,1006.0
0,20122013,Toronto,AHL,2,18,8,26,27,26,,26,2.0,0.0,5.0,,73.0,,,,,10.96,2.0,,,,,
0,20132014,Toronto Maple Leafs,National Hockey League,1,30,20,67,78,67,45.25,50,7.0,0.0,-11.0,1356:26,148.0,141.0,18.0,185:33,1159:16,13.51,2.0,1.0,0.0,11:37,34.0,1748.0
0,20132014,Canada,WC-A,2,3,0,4,7,4,,3,0.0,0.0,2.0,,18.0,,,,,,0.0,,,,,
0,20142015,Toronto Maple Leafs,National Hockey League,1,21,18,28,73,28,46.15,39,3.0,1.0,-7.0,1284:59,176.0,118.0,7.0,180:32,1092:46,10.23,1.0,0.0,1.0,11:41,23.0,1599.0
0,20152016,Toronto Maple Leafs,National Hockey League,1,28,17,73,76,73,49.16,45,4.0,0.0,-15.0,1388:47,260.0,148.0,14.0,202:42,1180:29,6.54,2.0,1.0,0.0,05:36,43.0,1902.0
0,20162017,Toronto Maple Leafs,National Hockey League,1,29,32,95,82,95,47.97,61,12.0,0.0,-7.0,1359:30,236.0,124.0,17.0,179:11,1177:30,13.56,6.0,2.0,0.0,02:49,31.0,1882.0
0,20172018,Toronto Maple Leafs,National Hockey League,1,23,32,42,80,42,49.95,55,12.0,0.0,2.0,1340:45,211.0,94.0,19.0,167:06,1172:57,15.17,3.0,0.0,0.0,00:42,26.0,1840.0
0,20182019,Toronto Maple Leafs,National Hockey League,1,28,16,43,73,43,55.21,44,4.0,0.0,-2.0,1181:51,184.0,85.0,13.0,188:49,991:51,8.7,5.0,0.0,0.0,01:11,13.0,1499.0
0,20192020,Colorado Avalanche,National Hockey League,1,17,19,97,51,97,56.76,36,4.0,0.0,7.0,888:43,133.0,61.0,11.0,193:21,689:18,14.3,1.0,0.0,0.0,06:04,9.0,1041.0
0,20202021,Colorado Avalanche,National Hockey League,1,21,11,34,56,34,52.76,32,3.0,0.0,-7.0,922:19,170.0,36.0,9.0,169:36,750:10,6.5,3.0,0.0,0.0,02:33,19.0,1149.0
0,20212022,Colorado Avalanche,National Hockey League,1,59,28,71,71,71,49.7,87,8.0,0.0,13.0,1365:58,247.0,52.0,29.0,275:08,1057:09,11.3,6.0,0.0,0.0,33:41,19.0,1601.0
