,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Chatham-Kent,Minor-ON,1,45,42,112,52,112,87,,,,,,,,,,,,,,,,,
0,20082009,Chatham,ON-Jr.B,2,0,0,0,1,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,
0,20092010,St. Mary's,ON-Jr.B,1,35,43,56,49,56,78,23.0,3.0,0.0,,,,,,,,,,,,,,
0,20092010,London,OHL,2,1,2,2,17,2,3,0.0,,0.0,-5.0,,,,,,,,,,,,,
0,20102011,London,OHL,1,40,22,28,68,28,62,8.0,,0.0,-1.0,,,,,,,,,,,,,
0,20112012,London,OHL,1,40,45,49,68,49,85,15.0,,7.0,24.0,,,,,,,,,,,,,
0,20122013,London,OHL,1,48,33,52,54,52,81,10.0,,3.0,18.0,,,,,,,,,,,,,
0,20132014,Providence,AHL,1,30,20,28,69,28,50,9.0,2.0,0.0,0.0,114.0,17.5,,,,,,,,,,,
0,20142015,Boston Bruins,National Hockey League,1,4,6,6,30,6,10,1.0,1.0,0.0,-2.0,33.0,18.18,403:18,14.0,3.0,52:48,350:02,33.33,0.0,0.0,00:28,13.0,510.0
0,20142015,Providence,AHL,2,19,12,12,39,12,31,7.0,4.0,0.0,-1.0,85.0,14.1,,,,,,,,,,,
0,20152016,Boston Bruins,National Hockey League,1,1,0,4,4,4,1,0.0,0.0,0.0,-4.0,2.0,0.0,39:52,4.0,1.0,07:40,32:12,0.0,0.0,0.0,00:00,0.0,55.0
0,20152016,Providence,AHL,2,53,24,32,57,32,77,3.0,6.0,0.0,20.0,139.0,17.3,,,,,,,,,,,
0,20152016,Providence Bruins,AHL,897,53,24,32,57,32,77,,,,20.0,,,,,,,,,,,,,
0,20162017,Toronto Maple Leafs,National Hockey League,1,0,0,0,3,0,0,0.0,0.0,0.0,0.0,3.0,0.0,28:24,3.0,0.0,02:26,25:58,0.0,0.0,0.0,00:00,0.0,42.0
0,20162017,Florida Panthers,National Hockey League,2,5,0,8,21,8,5,0.0,0.0,0.0,6.0,18.0,0.0,277:13,27.0,1.0,29:41,247:31,25.0,0.0,0.0,00:01,5.0,379.0
0,20162017,Toronto Marlies,AHL,13377,34,10,36,38,36,44,,,,8.0,,,,,,,,,,,,,
0,20172018,Buffalo Sabres,National Hockey League,1,1,2,6,21,6,3,0.0,0.0,0.0,-6.0,15.0,13.33,221:53,10.0,1.0,13:38,208:12,0.0,0.0,0.0,00:03,4.0,321.0
0,20172018,Rochester Americans,AHL,1047,26,15,26,46,26,41,,,,4.0,,,,,,,,,,,,,
0,20182019,Manitoba Moose,AHL,877,41,16,30,69,30,57,,,,-12.0,,,,,,,,,,,,,
0,20192020,Manitoba Moose,AHL,877,20,21,28,58,28,41,,,,-12.0,,,,,,,,,,,,,
0,20202021,Bakersfield Condors,AHL,7257,18,10,8,39,8,28,,,,2.0,,,,,,,,,,,,,
0,20212022,Edmonton Oilers,National Hockey League,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,05:37,1.0,0.0,00:00,05:37,0.0,0.0,0.0,00:00,0.0,9.0
0,20212022,Bakersfield Condors,AHL,7257,50,30,54,64,54,80,,,,18.0,,,,,,,,,,,,,
