,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Colorado Thunderbirds  U16,T1EHL U16,96518,0,0,2,3,2,0.0,0,,,,,,,,,,,,,,,,
0,20102011,Col. Thunderbirds,T1EHL,1,21,5,12,34,12,,26,,,,,,,,,,,,,,,,
0,20102011,Chicago,USHL,2,0,1,10,17,10,-15.0,1,1.0,0.0,0.0,,,,,,,,,,,,,
0,20112012,Chicago,USHL,1,27,3,12,60,12,6.0,30,1.0,1.0,0.0,,,,,,,,,,,,,
0,20122013,Chicago,USHL,1,28,5,6,62,6,-18.0,33,1.0,2.0,0.0,124.0,4.03,,,,,,,,,,,
0,20132014,Colorado College,NCHC,1,20,5,11,32,11,,25,3.0,0.0,0.0,,,,,,,,,,,,,
0,20132014,U.S.A.,WJC-A,2,1,1,0,5,0,1.0,2,0.0,0.0,0.0,2.0,,,,,,,,,,,,
0,20142015,Colorado College,NCHC,1,12,5,2,34,2,,17,4.0,0.0,0.0,,,,,,,,,,,,,
0,20152016,Carolina Hurricanes,National Hockey League,1,18,2,8,63,8,1.0,20,0.0,0.0,0.0,84.0,2.38,1322:11,41.0,4.0,54:15,1135:16,0.0,0.0,1.0,132:40,119.0,1622.0
0,20152016,Charlotte,AHL,2,7,0,0,14,0,6.0,7,0.0,0.0,0.0,36.0,0.0,,,,,,,,,,,
0,20152016,Charlotte Checkers,AHL,2357,7,0,0,14,0,6.0,7,,,,,,,,,,,,,,,,
0,20162017,Carolina Hurricanes,National Hockey League,1,29,5,12,82,12,23.0,34,0.0,0.0,1.0,99.0,5.05,1921:56,35.0,4.0,75:57,1590:10,0.0,0.0,4.0,255:49,161.0,2135.0
0,20172018,Carolina Hurricanes,National Hockey League,1,22,8,10,82,10,1.0,30,1.0,1.0,0.0,154.0,5.19,1852:12,47.0,2.0,49:57,1588:31,0.0,1.0,0.0,213:44,154.0,2149.0
0,20182019,Carolina Hurricanes,National Hockey League,1,23,8,18,82,18,0.0,31,5.0,1.0,1.0,146.0,5.48,1889:06,70.0,7.0,148:13,1544:34,0.0,0.0,2.0,196:19,133.0,2203.0
0,20192020,Carolina Hurricanes,National Hockey League,1,30,6,10,68,10,30.0,36,0.0,3.0,0.0,145.0,4.1,1591:35,43.0,3.0,62:12,1318:28,0.0,1.0,1.0,210:55,107.0,1892.0
0,20202021,Carolina Hurricanes,National Hockey League,1,12,3,2,52,2,22.0,15,0.0,0.0,0.0,101.0,3.0,1195:05,35.0,1.0,06:42,1047:18,0.0,0.0,1.0,141:05,87.0,1309.0
0,20212022,Carolina Hurricanes,National Hockey League,1,38,4,10,79,10,35.0,42,1.0,0.0,0.0,165.0,2.4,1858:52,50.0,7.0,107:55,1495:57,0.0,0.0,2.0,255:00,121.0,2072.0
