,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,shots,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,HC Kometa Brno U16,Czech U16,83447,1,0,2,3,2,6.0,1,,,,,,,,,,,,,,,,
0,20112012,HC Kometa Brno U16,Czech U16,83447,6,4,12,32,12,34.0,10,,,,,,,,,,,,,,,,
0,20122013,HC Kometa Brno U18,Czech U18,40622,3,1,57,43,57,35.0,4,,,,,,,,,,,,,,,,
0,20132014,Brno U18,CzR-U18,1,14,4,24,32,24,,18,,,,,,,,,,,,,,,,
0,20132014,Brno Jr.,CzRep-Jr.,2,1,0,10,13,10,,1,,,,,,,,,,,,,,,,
0,20142015,Brno U18,CzR-U18,1,2,1,4,2,4,,3,,,,,,,,,,,,,,,,
0,20142015,Brno Jr.,CzRep-Jr.,2,9,1,62,44,62,,10,,,,,,,,,,,,,,,,
0,20142015,Brno,CzRep,3,1,0,2,17,2,,1,,,,,,,,,,,,,,,,
0,20152016,Saskatoon,WHL,1,23,3,76,69,76,-19.0,26,0.0,0.0,,,,,,,,,,,,,,
0,20152016,Czech Republic,WJ18-A,2,2,0,6,5,6,-2.0,2,0.0,0.0,8.0,0.0,,,,,,,,,,,,
0,20152016,Saskatoon Blades,WHL,7881,23,3,76,69,76,-19.0,26,,,,,,,,,,,,,,,,
0,20152016,Czechia U18,WJC-18,17013,2,0,6,5,6,-2.0,2,,,,,,,,,,,,,,,,
0,20152016,Czechia U18,Hlinka Gretzky Cup,158320,1,0,4,4,4,-3.0,1,,,,,,,,,,,,,,,,
0,20162017,Syracuse Crunch,AHL,1057,0,1,4,8,4,4.0,1,,,,,,,,,,,,,,,,
0,20162017,Saskatoon Blades,WHL,7881,22,4,81,65,81,-17.0,26,,,,,,,,,,,,,,,,
0,20172018,Saskatoon Blades,WHL,7881,17,8,26,33,26,-10.0,25,,,,,,,,,,,,,,,,
0,20172018,Regina Pats,M-Cup,9121,2,1,2,5,2,0.0,3,,,,,,,,,,,,,,,,
0,20172018,Regina Pats,WHL,9641,10,4,4,25,4,5.0,14,,,,,,,,,,,,,,,,
0,20172018,Czechia U20,WJC-20,17046,7,1,6,7,6,0.0,8,,,,,,,,,,,,,,,,
0,20182019,New York Rangers,National Hockey League,1,0,1,6,5,6,1.0,1,0.0,0.0,10.0,0.0,82:39,5.0,0.0,00:40,77:27,0.0,10.0,0.0,0.0,04:32,3.0,107.0
0,20182019,Hartford Wolf Pack,AHL,847,5,0,36,58,36,-26.0,5,,,,,,,,,,,,,,,,
0,20192020,New York Rangers,National Hockey League,1,5,0,12,28,12,-4.0,5,0.0,0.0,23.0,0.0,447:34,24.0,0.0,02:41,419:31,0.0,0.0,0.0,0.0,25:22,44.0,590.0
0,20192020,Hartford Wolf Pack,AHL,847,2,1,14,23,14,-10.0,3,,,,,,,,,,,,,,,,
0,20202021,New York Rangers,National Hockey League,1,2,2,10,44,10,2.0,4,0.0,0.0,33.0,1.0,671:56,26.0,0.0,03:21,640:16,0.0,6.1,0.0,0.0,28:19,48.0,904.0
0,20202021,HC Kometa Brno,Czechia,13876,2,0,4,10,4,-5.0,2,,,,,,,,,,,,,,,,
0,20202021,Czechia,WC,17015,2,1,2,8,2,0.0,3,,,,,,,,,,,,,,,,
0,20212022,New York Rangers,National Hockey League,1,1,0,8,17,8,-10.0,1,0.0,0.0,12.0,0.0,223:11,7.0,0.0,00:14,218:53,0.0,0.0,0.0,0.0,04:04,26.0,294.0
0,20212022,Hartford Wolf Pack,AHL,847,2,0,6,5,6,3.0,2,,,,,,,,,,,,,,,,
