,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Cambridge,Minor-ON,1,56,37,151,75,151,0.0,93,,,,,,,,,,,,,,,,
0,20072008,Windsor,OHL,1,48,15,51,63,51,,63,10.0,0.0,30.0,,,,,,,,,,,,,
0,20072008,Canada,WJ18-A,2,4,3,0,7,0,0.0,7,,,,,,,,,,,,,,,,
0,20082009,Windsor,OHL,1,67,22,57,57,57,,89,11.0,2.0,52.0,,,,,,,,,,,,,
0,20082009,Canada,WJC-A,3,6,1,0,6,0,0.0,7,,,,,,,,,,,,,,,,
0,20092010,Windsor,OHL,1,49,12,38,48,38,,61,9.0,1.0,39.0,,,,,,,,,,,,,
0,20092010,Canada,WJC-A,3,7,1,2,6,2,0.0,8,,,,,,,,,,,,,,,,
0,20102011,Windsor,OHL,1,77,24,61,58,61,,101,10.0,2.0,24.0,,,,,,,,,,,,,
0,20102011,Canada,WJC-A,2,7,3,2,7,2,,10,1.0,0.0,2.0,0.0,,,,,,,,,,,,
0,20112012,Nashville Predators,National Hockey League,1,8,3,4,32,4,0.0,11,2.0,0.0,5.0,2.0,474:29,34.0,30.0,4.0,55:54,415:55,8.82,0.0,0.0,02:40,37.0,604.0
0,20112012,Milwaukee,AHL,2,14,4,8,29,8,,18,0.0,0.0,6.0,0.0,,60.0,,,,,6.67,,,,,
0,20122013,Nashville Predators,National Hockey League,1,4,2,15,32,15,0.0,6,2.0,0.0,-2.0,0.0,524:08,48.0,22.0,2.0,63:03,459:05,4.17,0.0,0.0,02:00,29.0,654.0
0,20122013,Milwaukee,AHL,2,9,5,18,32,18,,14,0.0,0.0,4.0,2.0,,80.0,,,,,6.25,,,,,
0,20132014,Nashville Predators,National Hockey League,1,21,6,24,80,24,0.0,27,0.0,0.0,9.0,2.0,1285:23,123.0,57.0,6.0,140:11,1139:38,4.88,0.0,0.0,05:34,97.0,1705.0
0,20132014,Canada,WC-A,2,4,1,0,7,0,,5,0.0,1.0,8.0,0.0,,14.0,,,,,,,,,,
0,20142015,Nashville Predators,National Hockey League,1,18,9,27,58,27,0.0,27,2.0,0.0,8.0,0.0,1100:57,118.0,41.0,6.0,127:32,935:16,7.63,0.0,0.0,38:09,74.0,1405.0
0,20152016,Nashville Predators,National Hockey League,1,22,10,35,79,35,0.0,32,3.0,1.0,13.0,2.0,1650:59,152.0,61.0,7.0,163:56,1371:06,6.58,0.0,1.0,115:57,100.0,2024.0
0,20152016,Canada,WC-A,2,1,1,0,5,0,,2,0.0,0.0,2.0,1.0,,14.0,,,,,,,,,,
0,20152016,Canada,WC,17155,1,1,0,5,0,,2,,,2.0,,,,,,,,,,,,,
0,20162017,Nashville Predators,National Hockey League,1,22,16,29,71,29,0.0,38,4.0,1.0,17.0,3.0,1700:52,140.0,64.0,11.0,155:27,1360:47,11.43,0.0,3.0,184:38,137.0,2028.0
0,20172018,Nashville Predators,National Hockey League,1,23,9,6,44,6,0.0,32,2.0,0.0,26.0,2.0,1027:41,110.0,27.0,5.0,96:58,811:03,8.18,0.0,3.0,119:40,84.0,1229.0
0,20182019,Nashville Predators,National Hockey League,1,34,7,20,82,20,0.0,41,1.0,1.0,21.0,2.0,1969:10,149.0,71.0,5.0,171:39,1578:03,4.7,0.0,1.0,219:28,154.0,2320.0
0,20192020,Nashville Predators,National Hockey League,1,30,8,19,49,19,0.0,38,2.0,0.0,16.0,3.0,1151:43,114.0,48.0,9.0,108:38,927:50,7.0,2.0,0.0,115:15,96.0,1397.0
0,20202021,Nashville Predators,National Hockey League,1,13,5,10,35,10,0.0,18,2.0,0.0,1.0,0.0,831:51,75.0,21.0,4.0,75:54,667:28,6.7,0.0,0.0,88:29,63.0,974.0
0,20212022,Philadelphia Flyers,National Hockey League,1,4,1,0,4,0,0.0,5,0.0,0.0,2.0,0.0,91:13,6.0,1.0,2.0,06:38,74:56,16.7,0.0,0.0,09:39,6.0,117.0
