,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Compuware Bantam Major AAA,HPBHL,143935,16,10,14,17,14,0.0,26,,,,,,,,,,,,,,,,
0,20142015,Belle Tire  U16,Midget,101681,58,31,49,71,49,0.0,89,,,,,,,,,,,,,,,,
0,20152016,Oshawa Generals,OHL,9448,22,4,25,62,25,-9.0,26,,,,,,,,,,,,,,,,
0,20152016,Canada Red U17,WHC-17,163770,4,1,0,6,0,,5,,,,,,,,,,,,,,,,
0,20152016,Team Green,U17-Dev,178259,1,1,2,3,2,,2,,,,,,,,,,,,,,,,
0,20162017,Oshawa Generals,OHL,9448,34,18,36,64,36,-6.0,52,,,,,,,,,,,,,,,,
0,20162017,Canada U18,WJC-18,17193,0,3,0,3,0,-1.0,3,,,,,,,,,,,,,,,,
0,20162017,Canada U18,Hlinka Gretzky Cup,144760,0,0,0,4,0,0.0,0,,,,,,,,,,,,,,,,
0,20172018,Providence Bruins,AHL,897,4,1,0,5,0,2.0,5,,,,,,,,,,,,,,,,
0,20172018,Oshawa Generals,OHL,9448,50,22,43,66,43,18.0,72,,,,,,,,,,,,,,,,
0,20182019,Oshawa Generals,OHL,9448,22,12,28,30,28,10.0,34,,,,,,,,,,,,,,,,
0,20182019,Canada U20,WJC-20,17216,3,1,0,5,0,4.0,4,,,,,,,,,,,,,,,,
0,20182019,Niagara IceDogs,OHL,23028,25,24,24,30,24,8.0,49,,,,,,,,,,,,,,,,
0,20192020,Boston Bruins,National Hockey League,1,1,0,2,2,2,2.0,1,24:15,3.0,2.0,0.0,0.0,02:04,22:11,60.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,33.0
0,20192020,Providence Bruins,AHL,897,26,23,30,60,30,9.0,49,,,,,,,,,,,,,,,,
0,20202021,Boston Bruins,National Hockey League,1,2,1,0,20,0,-3.0,3,255:00,28.0,7.0,0.0,0.0,09:00,223:12,45.54,3.6,0.0,0.0,0.0,0.0,22:48,10.0,353.0
0,20202021,Providence Bruins,AHL,897,7,0,15,11,15,-4.0,7,,,,,,,,,,,,,,,,
0,20212022,Boston Bruins,National Hockey League,1,3,0,4,15,4,-5.0,3,188:52,21.0,17.0,0.0,0.0,03:11,176:15,48.74,0.0,0.0,0.0,0.0,0.0,09:26,5.0,240.0
0,20212022,Providence Bruins,AHL,897,25,10,36,41,36,-11.0,35,,,,,,,,,,,,,,,,
