,season,team,league,sequenceNumber,goalAgainstAverage,games,timeOnIce,shutouts,goalsAgainst,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,19971998,Collingwood Blues,OJHL,21840,2.57,15,,,,,,,,,,,,,,,,,,,,
0,19981999,Kingston,OPJHL,1,3.51,16,906:00,0.0,53.0,,,,,,,,,,,,,,,,,
0,19992000,Kingston,OHL,1,3.78,15,666:00,0.0,42.0,0.0,4.0,5.0,,,,,,,,,,,,,,
0,20002001,Kingston,OHL,1,3.53,3,136:00,0.0,8.0,2.0,0.0,0.0,,,,,,,,,,,,,,
0,20002001,Sudbury,OHL,2,2.52,43,2571:00,3.0,108.0,7.0,22.0,13.0,,,,,,,,,,,,,,
0,20012002,Sudbury,OHL,1,3.06,53,3082:00,3.0,157.0,5.0,19.0,28.0,1673.0,0.914,1830.0,,,,,,,,,,,
0,20022003,Utah,AHL,1,3.23,11,614:00,0.0,33.0,0.0,5.0,5.0,318.0,0.906,351.0,,,,,,,,,,,
0,20022003,Lexington,ECHL,2,2.55,27,1553:00,1.0,66.0,4.0,11.0,10.0,668.0,0.91,734.0,,,,,,,,,,,
0,20032004,Utah,AHL,1,2.83,21,1186:00,2.0,56.0,0.0,8.0,11.0,555.0,0.908,611.0,,,,,,,,,,,
0,20042005,Houston,AHL,1,2.42,45,2408:00,5.0,97.0,3.0,19.0,17.0,1040.0,0.915,1137.0,,,,,,,,,,,
0,20052006,Iowa,AHL,1,2.5,50,2998:00,3.0,125.0,6.0,25.0,19.0,1387.0,0.917,1512.0,,,,,,,,,,,
0,20062007,Dallas Stars,National Hockey League,1,2.225275,23,1213:20,3.0,45.0,,12.0,5.0,466.0,0.911937,511.0,2.0,94.0,27.0,345.0,28.0,374.0,109.0,18.0,86.23853211009175,96.42857142857143,92.24598930481284
0,20072008,Dallas Stars,National Hockey League,1,2.457408,21,1171:58,2.0,48.0,,12.0,9.0,462.0,0.905882,510.0,0.0,82.0,10.0,370.0,10.0,409.0,91.0,19.0,90.10989010989012,100.0,90.4645476772616
0,20072008,Tampa Bay Lightning,National Hockey League,2,2.79172,13,773:43,1.0,36.0,,3.0,10.0,302.0,0.893491,338.0,0.0,42.0,17.0,243.0,17.0,271.0,50.0,13.0,84.0,100.0,89.66789667896678
0,20082009,Tampa Bay Lightning,National Hockey League,1,2.622049,41,2471:21,2.0,108.0,,14.0,18.0,1174.0,0.915757,1282.0,9.0,232.0,47.0,895.0,51.0,961.0,270.0,40.0,85.92592592592592,92.15686274509804,93.1321540062435
0,20092010,Tampa Bay Lightning,National Hockey League,1,3.089041,42,2272:33,2.0,117.0,,13.0,18.0,1048.0,0.899571,1165.0,7.0,169.0,33.0,846.0,36.0,934.0,195.0,36.0,86.66666666666667,91.66666666666666,90.5781584582441
0,20102011,Tampa Bay Lightning,National Hockey League,1,2.894011,22,1202:29,1.0,58.0,,13.0,6.0,518.0,0.899306,576.0,1.0,101.0,22.0,395.0,28.0,439.0,109.0,20.0,92.66055045871559,78.57142857142857,89.97722095671982
0,20102011,Norfolk,AHL,2,1.83,5,296:00,1.0,9.0,0.0,1.0,4.0,119.0,0.924,110.0,,,,,,,,,,,
0,20112012,Phoenix Coyotes,National Hockey League,1,2.213568,67,3903:12,8.0,144.0,,38.0,18.0,1922.0,0.9303,2066.0,10.0,272.0,37.0,1613.0,41.0,1724.0,301.0,67.0,90.36544850498339,90.2439024390244,93.5614849187935
0,20122013,Phoenix Coyotes,National Hockey League,1,2.57728,34,1955:33,5.0,84.0,,15.0,12.0,854.0,0.910448,938.0,5.0,118.0,22.0,714.0,23.0,773.0,142.0,34.0,83.09859154929578,95.65217391304348,92.36739974126779
0,20122013,Canada,WC-A,2,1.65,4,255:00,1.0,7.0,0.0,2.0,2.0,119.0,0.944444,126.0,,,,,,,,,,,
0,20132014,Phoenix Coyotes,National Hockey League,1,2.642684,62,3609:58,3.0,159.0,,27.0,21.0,1712.0,0.915019,1871.0,10.0,296.0,36.0,1380.0,37.0,1492.0,342.0,61.0,86.54970760233918,97.2972972972973,92.49329758713137
