,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Chi. Mission,MWEHL,1,12,1,26,31,26,0.0,13,,,,,,,,,,,,,,,,
0,20062007,Chi. Mission,Exhib.,2,37,13,14,30,14,0.0,50,,,,,,,,,,,,,,,,
0,20072008,Chicago,USHL,1,11,4,26,56,26,,15,2.0,1.0,0.0,4.0,,,,,,,,,,,,
0,20082009,Chicago,USHL,1,25,14,50,57,50,,39,6.0,3.0,1.0,-7.0,,,,,,,,,,,,
0,20092010,Kitchener,OHL,1,37,10,53,61,53,,47,6.0,,0.0,-5.0,,,,,,,,,,,,
0,20102011,Columbus Blue Jackets,National Hockey League,1,0,0,0,2,0,0.0,0,0.0,0.0,0.0,0.0,22:57,0.0,1.0,0.0,01:11,21:46,0.0,0.0,0.0,00:00,2.0,34.0
0,20102011,Springfield,AHL,2,19,5,23,73,23,,24,0.0,0.0,0.0,-27.0,,118.0,,,,,4.24,,,,,
0,20112012,Columbus Blue Jackets,National Hockey League,1,5,2,8,67,8,0.0,7,0.0,0.0,0.0,-23.0,1060:03,64.0,47.0,0.0,04:23,966:15,3.13,0.0,1.0,89:25,70.0,1414.0
0,20112012,Springfield,AHL,2,1,1,2,5,2,,2,1.0,1.0,0.0,-2.0,,8.0,,,,,12.5,,,,,
0,20122013,Columbus Blue Jackets,National Hockey League,1,1,0,2,17,2,0.0,1,0.0,0.0,0.0,-5.0,246:46,14.0,18.0,0.0,00:37,236:19,0.0,0.0,0.0,09:50,14.0,318.0
0,20122013,New York Rangers,National Hockey League,2,5,1,5,13,5,0.0,6,0.0,0.0,0.0,9.0,153:03,15.0,20.0,0.0,10:07,141:47,6.67,0.0,0.0,01:09,18.0,197.0
0,20122013,Springfield,AHL,3,6,3,10,24,10,,9,1.0,0.0,0.0,14.0,,69.0,,,,,4.35,,,,,
0,20132014,New York Rangers,National Hockey League,1,11,4,25,74,25,0.0,15,0.0,2.0,0.0,7.0,1134:19,115.0,59.0,2.0,80:22,1043:58,3.48,0.0,0.0,09:59,57.0,1566.0
0,20142015,New York Rangers,National Hockey League,1,5,1,19,38,19,0.0,6,0.0,0.0,0.0,7.0,573:50,56.0,51.0,0.0,24:19,539:56,1.79,0.0,0.0,09:35,34.0,812.0
0,20142015,Arizona Coyotes,National Hockey League,2,4,1,11,19,11,0.0,5,0.0,0.0,0.0,-11.0,355:39,21.0,26.0,4.0,50:12,302:57,4.76,0.0,0.0,02:30,18.0,457.0
0,20142015,U.S.A.,WC-A,3,1,0,4,9,4,,1,0.0,0.0,0.0,0.0,,10.0,,,,,,,,,,
0,20152016,New Jersey Devils,National Hockey League,1,15,4,28,73,28,0.0,19,1.0,3.0,0.0,-12.0,1448:11,106.0,93.0,6.0,110:17,1191:05,3.77,3.0,0.0,146:49,83.0,1918.0
0,20162017,New Jersey Devils,National Hockey League,1,10,12,39,63,39,0.0,22,1.0,1.0,0.0,-7.0,1195:31,102.0,68.0,3.0,74:53,1005:41,11.76,1.0,0.0,114:57,61.0,1673.0
0,20172018,New Jersey Devils,National Hockey League,1,11,7,47,81,47,0.0,18,0.0,2.0,1.0,3.0,1620:45,141.0,135.0,2.0,30:00,1443:09,4.96,2.0,1.0,147:36,105.0,2210.0
0,20182019,Boston Bruins,National Hockey League,1,9,4,26,61,26,0.0,13,2.0,1.0,0.0,0.0,1145:08,97.0,77.0,3.0,24:56,988:28,4.12,0.0,0.0,131:44,76.0,1517.0
0,20192020,Boston Bruins,National Hockey League,1,1,2,11,24,11,0.0,3,0.0,0.0,0.0,-2.0,397:02,33.0,36.0,0.0,04:21,347:07,6.1,0.0,0.0,45:34,27.0,525.0
0,20192020,Providence Bruins,AHL,897,1,0,0,1,0,,1,,,,2.0,,,,,,,,,,,,
0,20202021,Boston Bruins,National Hockey League,1,2,0,2,5,2,0.0,2,0.0,0.0,0.0,-3.0,104:56,8.0,9.0,1.0,05:54,88:27,0.0,0.0,0.0,10:35,6.0,126.0
0,20212022,Boston Bruins,National Hockey League,1,1,0,4,7,4,0.0,1,0.0,0.0,0.0,2.0,122:58,7.0,9.0,0.0,01:46,102:53,0.0,0.0,1.0,18:19,11.0,163.0
0,20212022,Providence Bruins,AHL,897,5,1,8,11,8,,6,,,,-6.0,,,,,,,,,,,,
