,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Kärpät U16,Jr. C SM-sarja Q,10154268,2,5,2,7,2,0.0,7,,,,,,,,,,,,,,,,
0,20122013,Kärpät U18,Jr. B SM-sarja,25929,20,31,14,42,14,0.0,51,,,,,,,,,,,,,,,,
0,20132014,Karpat U18,Fin-U18,1,7,7,8,8,8,,14,,,,,,,,,,,,,,,,
0,20132014,Karpat Jr.,Fin-Jr.,2,11,12,4,18,4,,23,,,,,,,,,,,,,,,,
0,20142015,Karpat Jr.,Fin-Jr.,1,6,12,10,11,10,,18,,,,,,,,,,,,,,,,
0,20142015,Karpat,Finland,2,7,4,10,21,10,,11,,,,,,,,,,,,,,,,
0,20142015,Hokki,Finland-2,3,5,8,8,15,8,,13,,,,,,,,,,,,,,,,
0,20152016,Karpat,Finland,1,15,13,22,50,22,,28,,,,,,,,,,,,,,,,
0,20152016,Finland,WJ18-A,5,2,5,2,4,2,2.0,7,21.0,2.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Kärpät,Champions HL,542,2,0,6,13,6,6.0,2,,,,,,,,,,,,,,,,
0,20152016,Kärpät,Liiga,919,15,13,22,50,22,5.0,28,,,,,,,,,,,,,,,,
0,20152016,Finland U18,WJC-18,17093,2,5,2,4,2,2.0,7,,,,,,,,,,,,,,,,
0,20152016,Finland U20,WJC-20,17116,12,5,0,7,0,8.0,17,,,,,,,,,,,,,,,,
0,20162017,Edmonton Oilers,National Hockey League,1,7,1,10,28,10,5.0,8,41.0,1.0,0.0,0.0,315:07,11.0,1.0,22:53,291:58,0.0,2.44,0.0,0.0,00:16,10.0,439.0
0,20162017,Bakersfield Condors,AHL,7257,16,12,10,39,10,-2.0,28,,,,,,,,,,,,,,,,
0,20162017,Finland,WC,17055,0,0,4,8,4,0.0,0,,,,,,,,,,,,,,,,
0,20162017,Finland,EHT,68516,0,0,0,3,0,-1.0,0,,,,,,,,,,,,,,,,
0,20172018,Edmonton Oilers,National Hockey League,1,8,12,14,65,14,-1.0,20,136.0,2.0,2.0,0.0,868:54,67.0,2.0,48:19,820:11,0.0,8.82,0.0,0.0,00:24,23.0,1139.0
0,20172018,Bakersfield Condors,AHL,7257,4,1,4,10,4,-2.0,5,,,,,,,,,,,,,,,,
0,20182019,Edmonton Oilers,National Hockey League,1,5,4,16,46,16,-14.0,9,53.0,0.0,0.0,0.0,549:51,46.0,1.0,20:31,527:54,50.0,7.55,0.0,0.0,01:26,26.0,769.0
0,20182019,Bakersfield Condors,AHL,7257,2,2,7,4,7,2.0,4,,,,,,,,,,,,,,,,
0,20192020,Kärpät,Champions HL,542,2,2,0,4,0,4.0,4,,,,,,,,,,,,,,,,
0,20192020,Kärpät,Liiga,919,29,24,52,56,52,30.0,53,,,,,,,,,,,,,,,,
0,20192020,Finland,EHT,68516,4,1,0,6,0,3.0,5,,,,,,,,,,,,,,,,
0,20202021,Edmonton Oilers,National Hockey League,1,10,15,16,55,16,6.0,25,115.0,2.0,0.0,0.0,832:03,101.0,4.0,61:15,769:48,0.0,13.0,0.0,0.0,01:00,20.0,1011.0
0,20202021,Kärpät,Liiga,919,5,7,43,16,43,3.0,12,,,,,,,,,,,,,,,,
0,20212022,Edmonton Oilers,National Hockey League,1,22,14,20,65,20,22.0,36,160.0,4.0,1.0,0.0,1055:02,81.0,7.0,95:26,959:10,0.0,8.8,0.0,0.0,00:26,15.0,1252.0
