,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20132014,HC Dynamo Pardubice U16,Czech U16,83487,0,0,2,3,2,-3.0,0
0,20142015,HC Dynamo Pardubice U16,Czech U16,83487,19,17,24,38,24,17.0,36
0,20152016,HC Dynamo Pardubice U18,Czechia U18,41254,10,9,2,17,2,3.0,19
0,20152016,HC Dynamo Pardubice U16,Czechia U16,85020,14,31,8,26,8,34.0,45
0,20162017,HC Dynamo Pardubice U20,Czechia U20,32037,2,1,2,3,2,1.0,3
0,20162017,HC Dynamo Pardubice U18,Czechia U18,41254,19,31,26,25,26,31.0,50
0,20162017,Czechia U17,WHC-17,61320,1,0,2,5,2,,1
0,20172018,Waterloo Black Hawks,USHL,9996,10,8,10,50,10,-2.0,18
0,20172018,Czechia U18,WJC-18,17013,2,2,6,7,6,0.0,4
0,20172018,Czechia U18,Hlinka Gretzky Cup,158320,2,0,0,5,0,-2.0,2
0,20182019,Waterloo Black Hawks,USHL,9996,30,30,22,58,22,4.0,60
0,20182019,Czechia U19,WJAC-19,113792,4,2,0,6,0,,6
0,20192020,HC Dynamo Pardubice,Czechia,3566,1,4,18,31,18,4.0,5
0,20192020,Czechia U20,WJC-20,17046,0,1,0,5,0,0.0,1
0,20202021,HC Dynamo Pardubice,Czechia,3566,15,17,6,49,6,6.0,32
0,20202021,Czechia,WC,17015,0,1,0,5,0,1.0,1
0,20202021,Czechia,EHT,68526,0,2,0,3,0,2.0,2
0,20212022,HC Dynamo Pardubice,Czechia,3566,12,12,8,49,8,14.0,24
0,20212022,Czechia,WC,17015,4,4,0,10,0,4.0,8
