,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,LA Selects U14,Minor-CA,1,56,27,28,83,,,,,,,,,,,,,,,,,,,
0,20102011,LA Selects U16,Minor-CA,1,19,20,35,39,28.0,28,,,,,,,,,,,,,,,,,
0,20112012,Portland,WHL,1,16,14,69,30,25.0,25,1.0,1.0,0.0,12.0,,,,,,,,,,,,,
0,20122013,Portland,WHL,1,38,18,71,56,24.0,24,4.0,2.0,0.0,28.0,,,,,,,,,,,,,
0,20132014,Portland,WHL,1,42,39,72,81,36.0,36,9.0,3.0,2.0,49.0,,,,,,,,,,,,,
0,20142015,Portland,WHL,1,45,39,67,84,30.0,30,18.0,3.0,0.0,22.0,,,,,,,,,,,,,
0,20142015,U.S.A.,WJC-A,2,0,1,5,1,0.0,0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,
0,20152016,Winnipeg Jets,National Hockey League,1,0,0,2,0,0.0,0,0.0,0.0,0.0,1.0,2.0,18:50,3.0,0.0,00:49,18:01,100.0,0.0,0.0,0.0,00:00,0.0,25.0
0,20152016,Manitoba,AHL,2,21,19,73,40,34.0,34,9.0,1.0,0.0,-27.0,191.0,,,,,,,9.9,,,,,
0,20152016,Manitoba Moose,AHL,877,21,19,73,40,34.0,34,,,,-27.0,,,,,,,,,,,,,
0,20162017,Manitoba Moose,AHL,877,18,14,69,32,12.0,12,,,,-22.0,,,,,,,,,,,,,
0,20172018,Manitoba Moose,AHL,877,23,12,69,35,31.0,31,,,,7.0,,,,,,,,,,,,,
0,20182019,Anaheim Ducks,National Hockey League,1,0,0,1,0,0.0,0,0.0,0.0,0.0,1.0,4.0,12:32,1.0,0.0,00:00,12:01,0.0,0.0,0.0,0.0,00:31,0.0,18.0
0,20182019,San Diego Gulls,AHL,85177,35,20,66,55,12.0,12,,,,16.0,,,,,,,,,,,,,
0,20192020,Anaheim Ducks,National Hockey League,1,0,0,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,14:59,1.0,0.0,00:44,14:15,0.0,0.0,0.0,0.0,00:00,0.0,23.0
0,20192020,San Diego Gulls,AHL,85177,15,10,51,25,16.0,16,,,,4.0,,,,,,,,,,,,,
0,20202021,Anaheim Ducks,National Hockey League,1,0,0,1,0,0.0,0,0.0,0.0,0.0,-2.0,1.0,13:26,1.0,0.0,00:06,13:20,33.33,0.0,0.0,0.0,00:00,0.0,17.0
0,20202021,San Diego Gulls,AHL,85177,20,15,37,35,18.0,18,,,,1.0,,,,,,,,,,,,,
0,20212022,New Jersey Devils,National Hockey League,1,0,0,2,0,0.0,0,0.0,0.0,0.0,-1.0,2.0,16:18,5.0,0.0,00:00,16:18,0.0,0.0,0.0,0.0,00:00,0.0,27.0
0,20212022,Utica Comets,AHL,152247,35,21,55,56,18.0,18,,,,-3.0,,,,,,,,,,,,,
