,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20132014,Färjestad BK J18,J18 Region,7098,1.0,0.0,1
0,20132014,Färjestad BK U16,U16 Region,43472,0.912,2.42,14
0,20142015,Färjestad BK J18,J18 Allsvenskan,6249,0.894,3.2,8
0,20142015,Färjestad BK U16,U16 Region,43472,0.886,3.35,9
0,20152016,Färjestad BK J20,J20 Nationell,5799,0.9,2.93,2
0,20152016,Färjestad BK J18,J18 Region,7098,0.909,2.58,12
0,20152016,Färjestad BK J18,J18 Nationell,7858,0.901,3.96,14
0,20152016,Sweden U17,WHC-17,61300,0.878,3.68,5
0,20162017,Färjestad BK J20,J20 Nationell,5799,0.925,2.16,30
0,20162017,Sweden U18,WJC-18,8573,0.889,2.0,2
0,20172018,BIK Karlskoga,HockeyAllsvenskan,1480,0.907,2.33,11
0,20172018,Färjestad BK J20,J20 Nationell,5799,0.924,2.01,17
0,20182019,BIK Karlskoga,HockeyAllsvenskan,1480,0.901,2.77,16
0,20182019,Sweden U20,WJC-20,8596,0.909,1.0,1
0,20192020,Tulsa Oilers,ECHL,7415,0.902,3.01,27
0,20202021,Tulsa Oilers,ECHL,7415,0.901,2.79,5
0,20202021,San Diego Gulls,AHL,85177,0.901,3.14,15
0,20212022,San Diego Gulls,AHL,85177,0.88,3.44,26
