,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Leduc Oil Kings Bantam AAA,AMBHL,63378,2,0,16,27,16,0.0,2,,,,,,,,,,,,,,,,
0,20092010,Leduc Oil Kings Bantam AAA,AMBHL,63378,17,5,38,33,38,0.0,22,,,,,,,,,,,,,,,,
0,20102011,Sherwood Park,AMHL,1,7,3,84,31,84,,10,,,,,,,,,,,,,,,,
0,20102011,Edmonton,WHL,2,0,0,4,3,4,-1.0,0,0.0,0.0,,,,,,,,,,,,,,
0,20112012,Edmonton,WHL,1,3,0,70,34,70,5.0,3,0.0,0.0,,,,,,,,,,,,,,
0,20122013,Edmonton,WHL,1,4,0,32,15,32,-2.0,4,0.0,0.0,,,,,,,,,,,,,,
0,20122013,Vancouver,WHL,2,8,2,98,58,98,-26.0,10,1.0,0.0,,,,,,,,,,,,,,
0,20132014,Vancouver,WHL,1,19,4,126,66,126,-5.0,23,1.0,0.0,,,,,,,,,,,,,,
0,20142015,Vancouver,WHL,1,25,13,107,69,107,3.0,38,8.0,0.0,3.0,,,,,,,,,,,,,
0,20142015,Lake Erie,AHL,2,0,0,2,9,2,-3.0,0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,
0,20152016,San Antonio,AHL,1,8,0,62,42,62,-1.0,8,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,
0,20152016,Fort Wayne,ECHL,2,3,1,18,21,18,0.0,4,0.0,0.0,,,,,,,,,,,,,,
0,20152016,Fort Wayne Komets,ECHL,6335,3,1,18,21,18,0.0,4,,,,,,,,,,,,,,,,
0,20152016,San Antonio Rampage,AHL,8497,8,0,62,42,62,-1.0,8,,,,,,,,,,,,,,,,
0,20162017,San Antonio Rampage,AHL,8497,4,0,52,36,52,-18.0,4,,,,,,,,,,,,,,,,
0,20162017,Colorado Eagles,ECHL,9145,5,0,14,9,14,-1.0,5,,,,,,,,,,,,,,,,
0,20172018,San Antonio Rampage,AHL,8497,6,3,117,72,117,-7.0,9,,,,,,,,,,,,,,,,
0,20182019,Colorado Eagles,AHL,8957,13,3,134,58,134,5.0,16,,,,,,,,,,,,,,,,
0,20192020,Hartford Wolf Pack,AHL,847,8,0,109,60,109,0.0,8,,,,,,,,,,,,,,,,
0,20202021,Hartford Wolf Pack,AHL,847,2,3,43,20,43,1.0,5,,,,,,,,,,,,,,,,
0,20212022,New Jersey Devils,National Hockey League,1,0,0,77,25,77,-6.0,0,0.0,0.0,0.0,12.0,0.0,173:55,58.0,0.0,00:06,173:41,0.0,0.0,0.0,00:08,7.0,284.0
