,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Örebro HK U16,U16 SM,122941,0,1,0,3,0,2.0,1,,,,,,,,,,,,,,,,
0,20122013,Orebro U18,Swe-U18,1,5,1,4,16,4,,6,,,,,,,,,,,,,,,,
0,20122013,Orebro HUF U18,Swe-U18,2,0,2,0,2,0,,2,,,,,,,,,,,,,,,,
0,20132014,Linkoping U18,Swe-U18,1,15,4,14,40,14,,19,,,,,,,,,,,,,,,,
0,20142015,Linkoping U18,Swe-U18,1,3,2,2,7,2,,5,,,,,,,,,,,,,,,,
0,20142015,Linkoping Jr.,Swe-Jr.,2,7,0,14,39,14,,7,,,,,,,,,,,,,,,,
0,20142015,Linkoping,Sweden,3,2,0,0,7,0,,2,,,,,,,,,,,,,,,,
0,20152016,Linkoping Jr.,Swe-Jr.,1,6,2,8,11,8,,8,,,,,,,,,,,,,,,,
0,20152016,Linkoping,Sweden,2,8,1,2,45,2,,9,,,,,,,,,,,,,,,,
0,20152016,Sweden,WJC-A,3,3,0,8,7,8,1.0,3,8.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Linköping HC,Champions HL,172,1,0,2,5,2,-2.0,1,,,,,,,,,,,,,,,,
0,20152016,Linköping HC,SHL,859,8,1,2,45,2,4.0,9,,,,,,,,,,,,,,,,
0,20152016,Linköping HC J20,J20 Nationell,5939,6,2,8,11,8,6.0,8,,,,,,,,,,,,,,,,
0,20152016,Sweden U20,WJC-20,8596,3,0,8,7,8,1.0,3,,,,,,,,,,,,,,,,
0,20162017,Columbus Blue Jackets,National Hockey League,1,1,0,0,2,0,-2.0,1,3.0,0.0,0.0,0.0,34:15,5.0,0.0,00:00,33:31,0.0,0.0,0.0,0.0,00:44,2.0,46.0
0,20162017,Linköping HC,Champions HL,172,0,0,4,7,4,-1.0,0,,,,,,,,,,,,,,,,
0,20162017,Linköping HC,SHL,859,2,2,6,40,6,8.0,4,,,,,,,,,,,,,,,,
0,20162017,Sweden U20,WJC-20,8596,2,0,0,6,0,5.0,2,,,,,,,,,,,,,,,,
0,20162017,Cleveland Monsters,AHL,22447,1,0,2,3,2,2.0,1,,,,,,,,,,,,,,,,
0,20172018,Columbus Blue Jackets,National Hockey League,1,2,0,4,14,4,0.0,2,18.0,0.0,0.0,0.0,158:37,10.0,0.0,00:08,155:07,0.0,0.0,0.0,0.0,03:22,10.0,209.0
0,20172018,Cleveland Monsters,AHL,22447,3,2,14,33,14,-3.0,5,,,,,,,,,,,,,,,,
0,20182019,Columbus Blue Jackets,National Hockey League,1,0,0,2,1,2,-1.0,0,1.0,0.0,0.0,0.0,09:21,0.0,0.0,00:00,08:22,0.0,0.0,0.0,0.0,00:59,0.0,17.0
0,20182019,Cleveland Monsters,AHL,22447,10,2,14,67,14,1.0,12,,,,,,,,,,,,,,,,
0,20192020,Columbus Blue Jackets,National Hockey League,1,0,0,2,6,2,-1.0,0,3.0,0.0,0.0,0.0,65:16,5.0,0.0,00:57,61:34,0.0,0.0,0.0,0.0,02:45,0.0,100.0
0,20192020,Cleveland Monsters,AHL,22447,10,2,14,41,14,13.0,12,,,,,,,,,,,,,,,,
0,20202021,Columbus Blue Jackets,National Hockey League,1,3,1,4,14,4,-6.0,4,14.0,0.0,0.0,0.0,206:59,11.0,1.0,01:41,200:53,0.0,7.1,0.0,0.0,04:25,12.0,287.0
0,20212022,Columbus Blue Jackets,National Hockey League,1,7,2,10,38,10,6.0,9,18.0,0.0,0.0,0.0,466:09,27.0,0.0,01:03,438:34,0.0,11.1,0.0,0.0,26:32,33.0,651.0
0,20212022,Cleveland Monsters,AHL,22447,2,0,0,2,0,1.0,2,,,,,,,,,,,,,,,,
