,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Hamilton Huskies U16 AAA,ALLIANCE U16,65334,0,1,0,6,0,1,
0,20142015,Hamilton Huskies U16 AAA,ALLIANCE U16,65334,13,4,22,29,22,17,
0,20152016,Brantford Bandits,GOJHL,156162,28,2,24,49,24,30,
0,20162017,Brantford Bandits,GOJHL,156162,23,4,32,50,32,27,
0,20172018,Brooks Bandits,AJHL,21072,33,8,28,58,28,41,
0,20182019,Brooks Bandits,AJHL,21072,27,16,22,40,22,43,
0,20192020,Univ. of Nebraska-Omaha,NCAA,7640,11,3,16,36,16,14,-4.0
0,20202021,Univ. of Nebraska-Omaha,NCAA,7640,15,2,14,24,14,17,-5.0
0,20212022,Hartford Wolf Pack,AHL,847,1,0,2,15,2,1,-1.0
0,20212022,Univ. of Nebraska-Omaha,NCAA,7640,25,6,31,38,31,31,-13.0
