,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20102011,Calgary Bisons Bantam AAA,AMBHL,62128,0.923,2.66,17,,,,,,,,,,,,,,,,,,,
0,20112012,CBHA Rangers,Minor-AB,1,,3.37,16,872:00,1.0,2.0,7.0,6.0,53.0,,,,,,,,,,,,,
0,20122013,Calgary Buffaloes Midget AAA,AMHL,36637,0.907,3.04,17,,,,,,,,,,,,,,,,,,,
0,20132014,Cgy. Canucks,AJHL,1,,3.92,19,1041:00,0.0,1.0,2.0,14.0,45.0,,,,,,,,,,,,,
0,20132014,Portland,WHL,2,0.934,1.65,4,218:00,0.0,0.0,4.0,0.0,6.0,85.0,91.0,,,,,,,,,,,
0,20142015,Portland,WHL,1,0.921,2.81,46,2604:00,2.0,1.0,31.0,11.0,122.0,1427.0,1549.0,,,,,,,,,,,
0,20142015,Portland Winterhawks,WHL,8511,0.921,2.81,46,,,,,,,,,,,,,,,,,,,
0,20152016,Springfield Falcons,AHL,927,0.905,3.05,4,,,,,,,,,,,,,,,,,,,
0,20152016,Portland Winterhawks,WHL,8511,0.917,2.96,65,,,,,,,,,,,,,,,,,,,
0,20162017,Rapid City Rush,ECHL,27275,0.89,3.59,5,,,,,,,,,,,,,,,,,,,
0,20162017,Tucson Roadrunners,AHL,218897,0.906,3.16,40,,,,,,,,,,,,,,,,,,,
0,20172018,Arizona Coyotes,National Hockey League,1,0.891473,3.489097,4,240:45,0.0,0.0,1.0,3.0,14.0,115.0,129.0,0.0,7.0,2.0,106.0,2.0,118.0,9.0,4.0,77.77777777777779,100.0,89.83050847457628
0,20172018,Tucson Roadrunners,AHL,218897,0.914,2.28,36,,,,,,,,,,,,,,,,,,,
0,20182019,Arizona Coyotes,National Hockey League,1,0.900621,2.757234,13,696:21,1.0,0.0,7.0,5.0,32.0,290.0,322.0,0.0,36.0,10.0,244.0,10.0,271.0,41.0,11.0,87.8048780487805,100.0,90.03690036900369
0,20182019,Tucson Roadrunners,AHL,218897,0.906,2.61,36,,,,,,,,,,,,,,,,,,,
0,20192020,Arizona Coyotes,National Hockey League,1,0.918,2.6219,13,640:46,0.0,0.0,2.0,4.0,28.0,315.0,343.0,3.0,36.0,14.0,265.0,14.0,284.0,45.0,9.0,80.0,100.0,93.30985915492957
0,20192020,Tucson Roadrunners,AHL,218897,0.918,2.4,20,,,,,,,,,,,,,,,,,,,
0,20202021,Arizona Coyotes,National Hockey League,1,0.913,2.7438,19,1005:54,2.0,0.0,9.0,9.0,46.0,484.0,530.0,1.0,64.0,10.0,410.0,12.0,448.0,70.0,17.0,91.42857142857143,83.33333333333334,91.51785714285714
0,20202021,Canada,WC,17155,0.909,1.73,3,,,,,,,,,,,,,,,,,,,
0,20202021,Tucson Roadrunners,AHL,218897,0.864,4.13,2,,,,,,,,,,,,,,,,,,,
0,20212022,San Jose Sharks,National Hockey League,1,0.906,2.65998,25,1375:57,2.0,0.0,10.0,11.0,61.0,587.0,648.0,1.0,65.0,20.0,502.0,24.0,547.0,77.0,22.0,84.4155844155844,83.33333333333334,91.77330895795247
0,20212022,San Jose Barracuda,AHL,187427,0.917,3.06,1,,,,,,,,,,,,,,,,,,,
