,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Finland Selects U13,WSI U13,206587,10,4,6,9,6,14,
0,20152016,Finland Selects U14,WSI U14,206438,7,1,4,9,4,8,
0,20162017,Kärpät U16,U16 SM-sarja,81423,21,5,10,18,10,26,
0,20172018,Kärpät U18,U18 SM-sarja,26831,8,1,2,6,2,9,
0,20172018,Kärpät U16,U16 SM-sarja,81423,21,10,14,18,14,31,
0,20182019,Finland U18,WJC-18,17093,1,0,4,5,4,1,-4.0
0,20182019,Kärpät U20,U20 SM-sarja,23090,14,17,26,41,26,31,21.0
0,20182019,Kärpät U18,U18 SM-sarja,26831,8,10,8,6,8,18,
0,20182019,Finland U17,WHC-17,61280,0,3,0,6,0,3,
0,20192020,Kärpät,Liiga,919,2,2,2,12,2,4,0.0
0,20192020,Finland U20,WJC-20,17116,1,2,2,7,2,3,5.0
0,20192020,Kärpät U20,JCWC,22350,1,3,8,5,8,4,-4.0
0,20192020,Kärpät U20,U20 SM-sarja,23090,19,2,28,30,28,21,16.0
0,20192020,Finland U18,Hlinka Gretzky Cup,158280,2,2,2,3,2,4,0.0
0,20202021,Kärpät,Liiga,919,3,3,18,35,18,6,0.0
0,20202021,Kärpät U20,U20 SM-sarja,23090,4,3,2,8,2,7,-2.0
0,20212022,Bridgeport Islanders,AHL,827,0,0,0,2,0,0,-2.0
0,20212022,Kärpät,Liiga,919,1,0,2,6,2,1,-1.0
0,20212022,Jukurit,Liiga,4659,27,13,32,41,32,40,26.0
0,20212022,Finland U20,WJC-20,17116,7,3,2,7,2,10,2.0
