,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,HC Havirov U16,Czech U16,83727,24,28,8,30,8,32.0,52,,,,,,,,,,,,,,,,
0,20102011,Havirov U18,CzR-U18,1,12,7,4,16,4,,19,,,,,,,,,,,,,,,,
0,20112012,Havirov U18,CzR-U18,1,22,18,28,17,28,,40,,,,,,,,,,,,,,,,
0,20112012,Trinec U18,CzR-U18,2,14,33,6,31,6,,47,,,,,,,,,,,,,,,,
0,20112012,AZ Havirov Jr.,CzRep-Jr.,3,1,0,2,3,2,,1,,,,,,,,,,,,,,,,
0,20112012,AZ Havirov,CzRep-3,4,0,0,0,2,0,,0,,,,,,,,,,,,,,,,
0,20122013,Sodertalje U18,Swe-U18,1,8,6,4,7,4,,14,,,,,,,,,,,,,,,,
0,20122013,Sodertalje Jr.,Swe-Jr.,2,17,12,67,36,67,,29,,,,,,,,,,,,,,,,
0,20122013,Sodertalje,Sweden-2,3,1,2,0,16,0,,3,,,,,,,,,,,,,,,,
0,20132014,Sodertalje Jr.,Swe-Jr.,1,1,1,0,1,0,,2,,,,,,,,,,,,,,,,
0,20132014,Sodertalje,Sweden-2,2,16,8,24,36,24,,24,,,,,,,,,,,,,,,,
0,20132014,Czech Republic,WJ18-A,3,5,0,2,7,2,1.0,5,22.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20142015,Boston Bruins,National Hockey League,1,17,10,8,46,8,12.0,27,93.0,2.0,3.0,0.0,642:46,20.0,3.0,77:40,563:08,29.41,10.75,1.0,0.0,01:58,11.0,849.0
0,20142015,Providence,AHL,2,17,11,12,25,12,15.0,28,76.0,1.0,2.0,0.0,,,,,,,14.5,,,,,
0,20142015,Czech Republic,WJC-A,3,6,1,4,5,4,0.0,7,12.0,0.0,1.0,0.0,,,,,,,,,,,,
0,20152016,Boston Bruins,National Hockey League,1,11,15,20,51,20,3.0,26,108.0,0.0,2.0,0.0,711:12,52.0,1.0,23:52,686:55,0.0,13.89,0.0,0.0,00:25,15.0,947.0
0,20152016,Providence,AHL,2,3,1,2,3,2,1.0,4,3.0,0.0,0.0,0.0,,,,,,,33.3,,,,,
0,20152016,Czech Republic,WJC-A,3,3,1,0,4,0,1.0,4,19.0,1.0,1.0,0.0,,,,,,,,,,,,
0,20152016,Czech Republic,WC-A,4,5,1,4,8,4,4.0,6,28.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Providence Bruins,AHL,897,3,1,2,3,2,1.0,4,,,,,,,,,,,,,,,,
0,20152016,Czechia,WC,17015,5,1,4,8,4,4.0,6,,,,,,,,,,,,,,,,
0,20152016,Czechia U20,WJC-20,17046,3,1,0,4,0,1.0,4,,,,,,,,,,,,,,,,
0,20152016,Czechia,EHT,68526,0,1,6,2,6,1.0,1,,,,,,,,,,,,,,,,
0,20162017,Boston Bruins,National Hockey League,1,36,34,34,75,34,11.0,70,262.0,10.0,6.0,0.0,1348:41,72.0,24.0,197:05,1150:25,66.67,12.98,2.0,0.0,01:11,32.0,1597.0
0,20162017,Czechia,WC,17015,6,1,4,8,4,1.0,7,,,,,,,,,,,,,,,,
0,20162017,Czechia,WCup,17056,0,0,0,3,0,-1.0,0,,,,,,,,,,,,,,,,
0,20172018,Boston Bruins,National Hockey League,1,45,35,37,82,37,10.0,80,246.0,13.0,5.0,0.0,1473:12,55.0,26.0,253:04,1219:04,20.0,14.23,0.0,0.0,01:04,31.0,1739.0
0,20172018,Czechia,WC,17015,2,4,0,5,0,6.0,6,,,,,,,,,,,,,,,,
0,20182019,Boston Bruins,National Hockey League,1,43,38,32,66,32,6.0,81,235.0,17.0,4.0,0.0,1237:45,57.0,33.0,222:18,1012:48,33.33,16.17,0.0,0.0,02:39,25.0,1395.0
0,20192020,Boston Bruins,National Hockey League,1,47,48,40,70,40,21.0,95,279.0,20.0,10.0,0.0,1327:15,47.0,38.0,263:13,1063:23,38.89,17.2,1.0,0.0,00:39,22.0,1450.0
0,20202021,Boston Bruins,National Hockey League,1,28,20,24,48,24,10.0,48,176.0,6.0,3.0,0.0,893:29,35.0,14.0,167:34,724:28,28.57,11.4,0.0,0.0,01:27,13.0,997.0
0,20212022,Boston Bruins,National Hockey League,1,37,40,20,72,20,13.0,77,312.0,15.0,9.0,0.0,1339:45,63.0,26.0,255:15,1082:39,33.33,12.8,1.0,0.0,01:51,14.0,1462.0
0,20212022,Czechia,WC,17015,3,7,2,7,2,3.0,10,,,,,,,,,,,,,,,,
