,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Khimik Voskresensk-2,Russia3,26984,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20092010,Khimik,Russia-2,1,9,12,18,33,18,,21,,,,,,,,,,,,,,,,
0,20102011,London,OHL,1,39,30,49,68,49,12.0,69,11.0,0.0,,,,,,,,,,,,,,
0,20112012,London,OHL,1,49,22,50,63,50,15.0,71,4.0,0.0,,,,,,,,,,,,,,
0,20122013,Syracuse,AHL,1,14,7,32,44,32,4.0,21,2.0,0.0,71.0,9.86,0.0,,,,,,,,,,,
0,20132014,Tampa Bay Lightning,National Hockey League,1,0,0,4,4,4,-1.0,0,0.0,0.0,4.0,0.0,0.0,37:53,3.0,0.0,00:00,37:53,46.15,0.0,0.0,00:00,1.0,57.0
0,20132014,Syracuse,AHL,2,29,19,40,56,40,-1.0,48,7.0,2.0,121.0,15.7,3.0,,,,,,,,,,,
0,20142015,Tampa Bay Lightning,National Hockey League,1,7,9,13,43,13,1.0,16,1.0,0.0,46.0,19.57,3.0,515:48,41.0,2.0,33:21,462:52,45.16,0.0,0.0,19:35,13.0,697.0
0,20142015,Syracuse,AHL,2,21,14,12,34,12,11.0,35,3.0,1.0,99.0,14.1,3.0,,,,,,,,,,,
0,20152016,Tampa Bay Lightning,National Hockey League,1,21,14,45,80,45,17.0,35,1.0,0.0,106.0,13.21,2.0,1129:16,49.0,4.0,144:23,982:54,44.76,2.0,0.0,01:59,33.0,1393.0
0,20162017,Tampa Bay Lightning,National Hockey League,1,18,10,31,74,31,-4.0,28,3.0,0.0,114.0,8.77,0.0,1094:05,72.0,6.0,154:44,917:19,43.54,0.0,1.0,22:02,31.0,1398.0
0,20162017,Russia,WC,17485,3,3,8,10,8,7.0,6,,,,,,,,,,,,,,,,
0,20162017,Russia,WCup,17546,0,1,0,3,0,1.0,1,,,,,,,,,,,,,,,,
0,20162017,Russia,EHT,64546,0,0,2,2,2,0.0,0,,,,,,,,,,,,,,,,
0,20172018,Tampa Bay Lightning,National Hockey League,1,24,20,35,62,35,11.0,44,8.0,0.0,127.0,15.75,2.0,1085:27,60.0,15.0,204:49,876:42,47.29,0.0,0.0,03:56,38.0,1314.0
0,20172018,New York Rangers,National Hockey League,2,2,2,10,19,10,-5.0,4,1.0,0.0,28.0,7.14,0.0,298:39,19.0,1.0,41:44,254:48,40.85,0.0,0.0,02:07,6.0,404.0
0,20182019,New York Rangers,National Hockey League,1,20,11,44,78,44,-7.0,31,1.0,2.0,119.0,9.24,3.0,1231:48,140.0,3.0,108:30,995:01,40.74,0.0,5.0,128:17,62.0,1651.0
0,20192020,New York Rangers,National Hockey League,1,0,0,2,2,2,-2.0,0,0.0,0.0,3.0,0.0,0.0,27:00,1.0,0.0,00:00,22:20,50.0,0.0,0.0,04:40,2.0,38.0
0,20192020,Ottawa Senators,National Hockey League,2,12,13,35,54,35,-5.0,25,1.0,4.0,85.0,15.3,2.0,817:10,93.0,3.0,91:35,622:30,50.0,0.0,6.0,103:05,39.0,1186.0
0,20192020,Colorado Avalanche,National Hockey League,3,2,4,8,9,8,2.0,6,1.0,0.0,10.0,40.0,0.0,134:37,14.0,1.0,07:46,121:09,20.0,0.0,0.0,05:42,6.0,187.0
0,20202021,Detroit Red Wings,National Hockey League,1,9,8,24,53,24,-5.0,17,0.0,0.0,87.0,9.2,0.0,857:39,71.0,0.0,44:57,722:54,39.13,0.0,0.0,89:48,35.0,1097.0
0,20212022,Detroit Red Wings,National Hockey League,1,12,13,34,60,34,1.0,25,0.0,1.0,81.0,16.0,0.0,913:47,43.0,0.0,19:02,798:00,50.0,0.0,1.0,96:45,32.0,1207.0
0,20212022,Dallas Stars,National Hockey League,2,2,3,11,15,11,1.0,5,0.0,0.0,10.0,30.0,1.0,184:55,19.0,1.0,13:27,163:23,43.24,0.0,0.0,08:05,7.0,260.0
