,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Arizona Bobcats 14U AAA,NAPHL 14U,173495,11,11,4,9,4,22,,,,,,,,,,,,,,,,,
0,20122013,Arizona Bobcats 16U,Midget,150041,45,55,16,48,16,100,0.0,,,,,,,,,,,,,,,,
0,20132014,USNTDP,USHL,1,10,10,4,20,4,20,-5.0,63.0,4.0,15.9,3.0,0.0,,,,,,,,,,,
0,20132014,USNTDP,U-17,2,12,8,10,14,10,20,,,,,,,,,,,,,,,,,
0,20132014,USNTDP,U-18,3,3,6,4,10,4,9,,,,,,,,,,,,,,,,,
0,20142015,USNTDP,USHL,1,28,20,10,24,10,48,20.0,98.0,3.0,20.4,1.0,1.0,,,,,,,,,,,
0,20142015,USNTDP,U-18,2,34,35,30,36,30,69,,,,,,,,,,,,,,,,,
0,20142015,U.S.A.,WJC-A,9,2,1,4,5,4,3,0.0,16.0,0.0,,1.0,0.0,,,,,,,,,,,
0,20152016,Zurich,Swiss,1,22,24,6,36,6,46,,,,,,,,,,,,,,,,,
0,20152016,U.S.A.,WJC-A,2,4,7,2,7,2,11,6.0,26.0,3.0,26.9,1.0,0.0,,,,,,,,,,,
0,20152016,U.S.A.,WC-A,3,3,6,2,10,2,9,0.0,28.0,3.0,,1.0,0.0,,,,,,,,,,,
0,20152016,ZSC,Champions HL,1292,1,0,0,2,0,1,-1.0,,,,,,,,,,,,,,,,
0,20152016,ZSC,NL,2436,22,24,6,36,6,46,16.0,,,,,,,,,,,,,,,,
0,20152016,USA,WC,17215,3,6,2,10,2,9,0.0,,,,,,,,,,,,,,,,
0,20152016,USA U20,WJC-20,17276,4,7,2,7,2,11,6.0,,,,,,,,,,,,,,,,
0,20162017,Toronto Maple Leafs,National Hockey League,1,29,40,14,82,14,69,2.0,279.0,8.0,14.34,8.0,0.0,1445:45,21.0,21.0,201:28,1242:49,46.82,1.0,0.0,01:28,61.0,1894.0
0,20162017,Team North America,WCup,176776,1,2,0,3,0,3,2.0,,,,,,,,,,,,,,,,
0,20172018,Toronto Maple Leafs,National Hockey League,1,29,34,12,62,12,63,25.0,187.0,5.0,18.18,5.0,0.0,1123:57,16.0,13.0,133:04,989:20,54.51,2.0,0.0,01:33,61.0,1497.0
0,20182019,Toronto Maple Leafs,National Hockey League,1,36,37,12,68,12,73,-9.0,251.0,12.0,14.74,5.0,0.0,1261:44,28.0,20.0,174:39,1085:01,52.14,2.0,0.0,02:04,60.0,1591.0
0,20192020,Toronto Maple Leafs,National Hockey League,1,33,47,8,70,8,80,19.0,290.0,12.0,16.2,5.0,0.0,1467:52,40.0,25.0,223:44,1241:39,55.0,0.0,0.0,02:29,60.0,1624.0
0,20202021,Toronto Maple Leafs,National Hockey League,1,25,41,10,52,10,66,21.0,222.0,10.0,18.5,12.0,0.0,1120:46,57.0,13.0,168:04,944:14,51.9,2.0,0.0,08:28,47.0,1217.0
0,20212022,Toronto Maple Leafs,National Hockey League,1,46,60,18,73,18,106,20.0,348.0,16.0,17.2,10.0,0.0,1504:28,67.0,29.0,225:45,1273:55,56.22,2.0,0.0,04:48,62.0,1669.0
