,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20012002,Brampton Capitals,OPJHL,20960,26,11,59,48,59,0.0,37,,,,,,,,,,,,,,,,
0,20022003,Owen Sound,OHL,1,30,18,109,68,109,,48,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20032004,Owen Sound,OHL,1,35,14,72,65,72,,49,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20042005,Lowell,AHL,1,10,6,85,66,85,13.0,16,00:00,00:00,00:00,0.0,00:00,0.0,3.0,2.0,0.0,,,,,,,
0,20052006,Calgary Flames,National Hockey League,1,1,0,8,7,8,2.0,1,84:32,09:14,72:09,0.0,03:09,124.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,6.0
0,20052006,Omaha,AHL,2,42,16,141,73,141,-1.0,58,00:00,00:00,00:00,0.0,00:00,0.0,12.0,4.0,0.0,,,,,,,
0,20062007,Calgary Flames,National Hockey League,1,8,7,36,48,36,7.0,15,645:27,129:38,495:47,0.0,20:02,974.0,3.0,2.0,0.0,49.0,33.0,5.0,14.29,1.0,0.0,37.0
0,20062007,Omaha,AHL,2,2,0,8,5,8,4.0,2,,,,,,,0.0,0.0,0.0,,,,,,,
0,20072008,Dynamo Moscow,Russia,1,8,4,89,50,89,,12,,,,,,,,,,,,,,,,
0,20082009,Calgary Flames,National Hockey League,1,17,2,59,58,59,2.0,19,940:21,162:59,745:45,0.0,31:37,1336.0,2.0,0.0,0.0,82.0,55.0,6.0,2.44,0.0,0.0,39.0
0,20092010,Calgary Flames,National Hockey League,1,19,11,81,82,81,17.0,30,1708:42,220:39,1333:18,0.0,154:45,2270.0,5.0,1.0,0.0,111.0,153.0,14.0,9.91,0.0,0.0,126.0
0,20092010,Canada,WC-A,5,1,3,10,7,10,,4,,,,0.0,,,,,,,,,,,,
0,20102011,Calgary Flames,National Hockey League,1,35,8,67,82,67,-8.0,43,1897:33,290:01,1434:41,0.0,172:51,2497.0,5.0,1.0,0.0,165.0,140.0,25.0,4.85,0.0,0.0,193.0
0,20112012,Calgary Flames,National Hockey League,1,18,9,75,61,75,0.0,27,1404:14,205:18,1064:19,0.0,134:37,1697.0,5.0,0.0,0.0,125.0,84.0,10.0,7.2,0.0,1.0,127.0
0,20122013,Calgary Flames,National Hockey League,1,11,4,40,47,40,-7.0,15,1088:31,102:25,857:58,0.0,128:08,1422.0,1.0,1.0,1.0,58.0,65.0,3.0,6.9,1.0,2.0,93.0
0,20132014,Calgary Flames,National Hockey League,1,33,14,63,64,63,12.0,47,1614:58,220:01,1225:27,0.0,169:30,2001.0,7.0,2.0,0.0,180.0,73.0,20.0,7.78,0.0,3.0,103.0
0,20142015,Calgary Flames,National Hockey League,1,37,11,37,61,37,13.0,48,1535:33,193:29,1211:58,0.0,130:06,1909.0,2.0,2.0,1.0,157.0,59.0,14.0,7.01,1.0,1.0,128.0
0,20152016,Calgary Flames,National Hockey League,1,35,21,54,82,54,-5.0,56,2033:01,261:44,1573:57,0.0,197:20,2497.0,9.0,2.0,1.0,212.0,65.0,19.0,9.91,1.0,3.0,193.0
0,20162017,Calgary Flames,National Hockey League,1,27,12,59,81,59,22.0,39,1910:10,209:42,1438:05,0.0,262:23,2364.0,3.0,4.0,2.0,151.0,78.0,14.0,7.95,1.0,3.0,184.0
0,20172018,Calgary Flames,National Hockey League,1,25,13,63,82,63,0.0,38,2032:35,257:07,1521:13,0.0,254:15,2301.0,1.0,4.0,1.0,214.0,93.0,10.0,6.07,2.0,1.0,161.0
0,20182019,Calgary Flames,National Hockey League,1,57,17,69,78,69,39.0,74,1890:39,258:14,1424:26,0.0,207:59,2177.0,3.0,2.0,4.0,221.0,58.0,21.0,7.69,0.0,6.0,144.0
0,20192020,Calgary Flames,National Hockey League,1,26,5,34,60,34,2.0,31,1432:55,160:19,1108:44,0.0,163:52,1682.0,2.0,0.0,0.0,157.0,42.0,11.0,3.2,0.0,2.0,148.0
0,20202021,Calgary Flames,National Hockey League,1,17,9,14,56,14,5.0,26,1284:45,132:41,981:20,0.0,170:44,1666.0,4.0,2.0,0.0,142.0,51.0,8.0,6.3,0.0,0.0,110.0
0,20212022,Seattle Kraken,National Hockey League,1,17,6,47,55,47,-21.0,23,1181:56,152:39,941:35,0.0,87:42,1422.0,0.0,0.0,2.0,123.0,46.0,8.0,4.9,0.0,2.0,98.0
0,20212022,Toronto Maple Leafs,National Hockey League,2,10,2,10,20,10,12.0,12,384:04,31:50,319:58,0.0,32:16,508.0,0.0,1.0,0.0,28.0,29.0,4.0,7.1,1.0,0.0,41.0
