,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Russia U18,WJC-18,16563,4,1,14,7,14,7.0,5,,,,,,,,,,,,,,,,
0,20092010,Sibir Novosibirsk,KHL,10222,1,0,6,40,6,-10.0,1,,,,,,,,,,,,,,,,
0,20102011,Sibir Novosibirsk,KHL,10222,2,0,12,39,12,5.0,2,,,,,,,,,,,,,,,,
0,20112012,Sibir Novosibirsk,KHL,10222,3,1,28,53,28,4.0,4,,,,,,,,,,,,,,,,
0,20122013,Sibir Novosibirsk,KHL,10222,11,7,41,49,41,-7.0,18,,,,,,,,,,,,,,,,
0,20132014,CSKA,KHL,1,8,4,18,33,18,1.0,12,,,,,,,,,,,,,,,,
0,20142015,CSKA,KHL,1,20,12,31,57,31,27.0,32,,,,,,,,,,,,,,,,
0,20152016,CSKA,KHL,1,18,8,20,46,20,,26,,,,,,,,,,,,,,,,
0,20152016,Russia,WC-A,2,3,1,2,10,2,12.0,4,10.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,CSKA Moskva,KHL,2314,18,8,20,46,20,21.0,26,,,,,,,,,,,,,,,,
0,20152016,Russia,WC,17485,3,1,2,10,2,12.0,4,,,,,,,,,,,,,,,,
0,20152016,Russia,EHT,64546,0,0,4,8,4,-4.0,0,,,,,,,,,,,,,,,,
0,20162017,Toronto Maple Leafs,National Hockey League,1,32,4,38,82,38,-22.0,36,106.0,1.0,0.0,0.0,1805:32,176.0,12.0,164:14,1500:18,0.0,3.77,0.0,1.0,141:00,136.0,2438.0
0,20162017,Russia,WCup,17546,2,0,2,4,2,3.0,2,,,,,,,,,,,,,,,,
0,20172018,Toronto Maple Leafs,National Hockey League,1,8,5,31,60,31,8.0,13,54.0,0.0,1.0,0.0,1333:03,113.0,0.0,14:04,1142:15,0.0,9.26,0.0,0.0,176:44,134.0,1706.0
0,20172018,Russia,WC,17485,8,0,0,8,0,8.0,8,,,,,,,,,,,,,,,,
0,20182019,Toronto Maple Leafs,National Hockey League,1,11,3,18,81,18,2.0,14,71.0,0.0,0.0,0.0,1658:22,139.0,0.0,05:37,1421:32,0.0,4.23,0.0,0.0,231:13,151.0,2145.0
0,20182019,Russia,WC,17485,2,2,0,10,0,6.0,4,,,,,,,,,,,,,,,,
0,20182019,Russia,EHT,64546,0,0,2,2,2,2.0,0,,,,,,,,,,,,,,,,
0,20192020,Ottawa Senators,National Hockey League,1,11,1,22,58,22,-8.0,12,64.0,0.0,0.0,0.0,1284:52,108.0,0.0,07:56,1103:07,0.0,1.6,0.0,0.0,173:49,121.0,1566.0
0,20202021,Ottawa Senators,National Hockey League,1,13,4,26,55,26,-13.0,17,70.0,0.0,1.0,0.0,1250:42,114.0,0.0,12:10,1080:00,0.0,5.7,0.0,1.0,158:32,110.0,1506.0
0,20212022,Ottawa Senators,National Hockey League,1,9,2,28,62,28,-7.0,11,65.0,0.0,0.0,0.0,1177:23,128.0,0.0,03:24,999:30,0.0,3.1,0.0,2.0,174:29,103.0,1520.0
