,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Blaine,High-MN,1,14,6,10,24,10,0.0,20,,,,,,,,,,,,,,,,
0,20082009,Blaine,High-MN,1,25,26,20,25,20,0.0,51,,,,,,,,,,,,,,,,
0,20092010,Northwest,UMHSEL,1,8,13,18,23,18,0.0,21,,,,,,,,,,,,,,,,
0,20092010,Blaine,High-MN,2,34,35,26,30,26,0.0,69,,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,3,0,0,0,4,0,0.0,0,,,,,,,,,,,,,,,,
0,20102011,U. of Minnesota,WCHA,1,12,8,51,29,51,,20,1.0,1.0,2.0,,,,,,,,,,,,,
0,20102011,U.S.A.,WJC-A,2,2,2,0,6,0,,4,0.0,2.0,0.0,2.0,,,,,,,,,,,,
0,20112012,U. of Minnesota,WCHA,1,17,25,28,40,28,,42,8.0,3.0,0.0,,,,,,,,,,,,,
0,20112012,U.S.A.,WJC-A,2,2,4,0,6,0,,6,1.0,1.0,0.0,3.0,,,,,,,,,,,,
0,20122013,Florida Panthers,National Hockey League,1,0,1,2,11,2,40.15,1,0.0,0.0,0.0,-8.0,167:19,17.0,17.0,0.0,10:53,155:32,5.88,0.0,0.0,00:54,2.0,222.0
0,20122013,U.S.A.,WC-A,2,2,0,0,10,0,,2,0.0,0.0,0.0,-2.0,,,,,,,,,,,,
0,20122013,U. of Minnesota,WCHA,3,15,21,28,40,28,,36,11.0,5.0,0.0,,,,,,,,,,,,,
0,20132014,Florida Panthers,National Hockey League,1,22,16,16,76,16,48.89,38,0.0,4.0,1.0,-14.0,1232:39,185.0,117.0,3.0,162:48,1043:31,8.65,0.0,2.0,26:20,23.0,1742.0
0,20142015,Florida Panthers,National Hockey League,1,19,24,38,72,38,48.89,43,7.0,3.0,0.0,-7.0,1193:55,207.0,148.0,12.0,166:50,989:52,11.59,0.0,0.0,37:13,29.0,1508.0
0,20152016,Florida Panthers,National Hockey League,1,19,15,41,67,41,51.73,34,6.0,3.0,0.0,-8.0,1039:10,171.0,87.0,15.0,173:16,855:24,8.77,0.0,0.0,10:30,28.0,1306.0
0,20162017,Florida Panthers,National Hockey League,1,7,7,22,54,22,47.57,14,1.0,1.0,0.0,-19.0,710:15,91.0,72.0,3.0,76:32,631:51,7.69,0.0,0.0,01:52,9.0,984.0
0,20162017,USA,WC,17215,3,1,4,8,4,,4,,,,6.0,,,,,,,,,,,,
0,20172018,Florida Panthers,National Hockey League,1,30,19,41,82,41,51.01,49,1.0,1.0,0.0,5.0,1239:49,230.0,95.0,7.0,124:48,1114:01,8.26,0.0,0.0,01:00,19.0,1693.0
0,20182019,Florida Panthers,National Hockey League,1,7,5,16,32,16,50.99,12,1.0,1.0,0.0,2.0,463:53,60.0,44.0,3.0,56:52,406:29,8.33,0.0,0.0,00:32,18.0,650.0
0,20182019,Pittsburgh Penguins,National Hockey League,2,5,9,14,32,14,48.48,14,1.0,1.0,0.0,4.0,503:44,94.0,82.0,3.0,38:57,463:40,9.57,0.0,0.0,01:07,9.0,690.0
0,20192020,Pittsburgh Penguins,National Hockey League,1,1,1,8,13,8,39.58,2,0.0,0.0,0.0,3.0,159:02,18.0,19.0,0.0,16:11,137:51,5.6,0.0,0.0,05:00,7.0,231.0
0,20202021,Minnesota Wild,National Hockey League,1,11,6,17,44,17,46.3,17,0.0,3.0,0.0,7.0,519:40,78.0,48.0,1.0,42:58,474:35,7.7,0.0,0.0,02:07,22.0,649.0
0,20212022,Minnesota Wild,National Hockey League,1,6,7,20,57,20,55.29,13,1.0,0.0,0.0,-2.0,584:51,81.0,99.0,1.0,07:36,574:37,8.6,0.0,0.0,02:38,14.0,782.0
