,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20042005,Little Caesars U16,T1EHL U16,93518,0.0,2.56,19,,,,,,,,,,,,,,,,,,,
0,20052006,Compuware Bantam Minor AAA,T1EMBHL,167820,0.909,2.55,15,,,,,,,,,,,,,,,,,,,
0,20062007,Honeybaked Bantam Major AAA,T1EBHL,122779,0.891,2.23,24,,,,,,,,,,,,,,,,,,,
0,20072008,Det. Honeybaked,MWEHL,1,,2.06,12,630:00,2.0,2.0,8.0,2.0,24.0,,,,,,,,,,,,,
0,20072008,Det. Honeybaked,Minor-MI,2,,,25,,,1.0,20.0,4.0,,,,,,,,,,,,,,
0,20082009,USNTDP,NAHL,1,0.906,2.52,21,1262:00,1.0,1.0,14.0,6.0,53.0,3.0,,,,,,,,,,,,
0,20082009,USNTDP,U-17,2,,1.07,7,394:00,3.0,1.0,6.0,0.0,7.0,,,,,,,,,,,,,
0,20082009,USNTDP,U-18,3,,1.71,7,421:00,2.0,0.0,7.0,0.0,12.0,,,,,,,,,,,,,
0,20082009,United States,WJ18-A,4,0.967391,0.75,5,241:00,2.0,0.0,3.0,1.0,3.0,89.0,92.0,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,,2.21,11,569:00,1.0,1.0,6.0,3.0,21.0,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,2,,2.21,25,1469:00,3.0,0.0,16.0,9.0,54.0,,,,,,,,,,,,,
0,20092010,U.S.A.,WJ18-A,3,,0.83,6,360:00,3.0,0.0,5.0,1.0,5.0,,138.0,,,,,,,,,,,
0,20092010,U.S.A.,WJC-A,4,,2.54,3,166:00,1.0,0.0,2.0,1.0,7.0,,,,,,,,,,,,,
0,20102011,Windsor,OHL,1,0.884,3.801,45,2447:00,0.0,4.0,24.0,14.0,155.0,1185.0,1340.0,,,,,,,,,,,
0,20102011,U.S.A.,WJC-A,2,,1.7,6,354:00,0.0,0.0,5.0,1.0,10.0,,,,,,,,,,,,,
