,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,MODO U18,Swe-U18,1,0,1,0,3,0,1,,,,,,,,,,,,,,,,,
0,20112012,MODO U18,Swe-U18,2,15,19,4,39,4,34,,,,,,,,,,,,,,,,,
0,20122013,MODO U18,Swe-U18,1,24,31,6,37,6,55,,,,,,,,,,,,,,,,,
0,20122013,MODO Jr.,Swe-Jr.,2,3,2,0,7,0,5,,,,,,,,,,,,,,,,,
0,20132014,MODO Jr.,Swe-Jr.,1,21,32,16,44,16,53,,,,,,,,,,,,,,,,,
0,20132014,MODO,Sweden,2,0,0,0,11,0,0,,,,,,,,,,,,,,,,,
0,20142015,MODO Jr.,Swe-Jr.,1,3,1,0,6,0,4,,,,,,,,,,,,,,,,,
0,20142015,MODO,Sweden,2,8,10,4,39,4,18,,,,,,,,,,,,,,,,,
0,20142015,Sweden,WJC-A,3,1,0,0,7,0,1,6.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
0,20142015,Timra,Sweden-2,4,0,2,0,8,0,2,,,,,,,,,,,,,,,,,
0,20152016,MODO,Sweden,1,15,14,6,49,6,29,,,,,,,,,,,,,,,,,
0,20152016,MoDo Hockey,SHL,889,15,14,6,49,6,29,,,,,-1.0,,,,,,,,,,,,
0,20162017,Frölunda HC,Champions HL,232,6,5,2,13,2,11,,,,,2.0,,,,,,,,,,,,
0,20162017,Frölunda HC,SHL,919,18,9,2,51,2,27,,,,,4.0,,,,,,,,,,,,
0,20172018,Frölunda HC,Champions HL,232,4,4,0,8,0,8,,,,,2.0,,,,,,,,,,,,
0,20172018,Frölunda HC,SHL,919,16,27,8,50,8,43,,,,,1.0,,,,,,,,,,,,
0,20172018,Sweden,EHT,89816,0,0,0,3,0,0,,,,,-2.0,,,,,,,,,,,,
0,20182019,Buffalo Sabres,National Hockey League,1,2,2,2,6,2,4,21.0,2.0,0.0,0.0,1.0,108:06,2.0,2.0,11:15,96:33,0.0,9.52,0.0,0.0,00:18,3.0,125.0
0,20182019,Rochester Americans,AHL,1047,33,30,12,66,12,63,,,,,12.0,,,,,,,,,,,,
0,20192020,Buffalo Sabres,National Hockey League,1,22,20,6,54,6,42,127.0,11.0,4.0,0.0,-1.0,992:43,10.0,17.0,179:23,806:24,50.0,15.7,1.0,0.0,06:56,16.0,1163.0
0,20202021,Buffalo Sabres,National Hockey League,1,19,13,6,56,6,32,129.0,7.0,0.0,0.0,-23.0,973:59,17.0,15.0,166:32,806:21,50.0,10.1,0.0,0.0,01:06,12.0,1158.0
0,20202021,Sweden,WC,6815,1,3,2,7,2,4,,,,,0.0,,,,,,,,,,,,
0,20212022,Buffalo Sabres,National Hockey League,1,29,20,6,72,6,49,164.0,7.0,6.0,0.0,-16.0,1107:33,10.0,12.0,160:13,946:21,0.0,12.2,0.0,1.0,00:59,15.0,1419.0
