,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,shortHandedGoals,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20022003,Knights of Columbus Squires Btm,AMBHL,61578,19,2,12,36,12,0.0,21,,,,,,,,,,,,,,,,
0,20032004,Knights of Columbus Squires Btm,AMBHL,61578,19,16,58,37,58,0.0,35,,,,,,,,,,,,,,,,
0,20042005,K of C Pats,AMHL,1,21,9,16,26,16,,30,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20052006,Spokane,WHL,1,9,3,28,46,28,-10.0,12,,,,0.0,,,2.0,0.0,,,,,,,,
0,20062007,Spokane,WHL,1,15,4,16,38,16,-2.0,19,,,,0.0,,,2.0,0.0,0.0,,,,,,,
0,20072008,Spokane,WHL,1,31,12,19,69,19,36.0,43,,,,,,,5.0,0.0,,,,,,,,
0,20082009,Spokane,WHL,1,35,10,37,59,37,36.0,45,,,,,,,3.0,0.0,,,,,,,,
0,20092010,Spokane,WHL,1,43,8,18,54,18,4.0,51,,,,,,,5.0,0.0,,,,,,,,
0,20102011,Minnesota Wild,National Hockey League,1,8,4,2,53,2,-1.0,12,798:49,78:09,705:59,0.0,14:41,1139.0,2.0,0.0,1.0,38.0,37.0,6.0,10.53,0.0,0.0,45.0
0,20102011,Houston,AHL,2,7,2,10,23,10,-5.0,9,,,,,,,1.0,0.0,0.0,34.0,,,5.88,,,
0,20112012,Minnesota Wild,National Hockey League,1,20,3,6,70,6,-4.0,23,1511:57,191:36,1201:09,0.0,119:12,2015.0,2.0,0.0,1.0,92.0,36.0,12.0,3.26,0.0,0.0,95.0
0,20122013,Minnesota Wild,National Hockey League,1,10,5,4,39,4,1.0,15,840:12,120:38,667:57,0.0,51:37,1087.0,4.0,0.0,2.0,67.0,46.0,7.0,7.46,0.0,0.0,55.0
0,20122013,Langnau,Swiss,2,4,3,6,12,6,,7,,,,,,,,,,,,,,,,
0,20132014,Minnesota Wild,National Hockey League,1,21,5,16,67,16,15.0,26,1516:57,142:11,1239:10,0.0,135:36,1967.0,2.0,0.0,1.0,91.0,80.0,7.0,5.49,0.0,0.0,107.0
0,20142015,Minnesota Wild,National Hockey League,1,16,9,6,66,6,3.0,25,1493:06,133:40,1215:27,0.0,143:59,1896.0,3.0,0.0,2.0,128.0,48.0,6.0,7.03,0.0,0.0,124.0
0,20152016,Minnesota Wild,National Hockey League,1,18,11,14,77,14,11.0,29,1746:15,136:13,1474:30,0.0,135:32,2268.0,5.0,0.0,2.0,122.0,51.0,13.0,9.02,0.0,3.0,157.0
0,20162017,Minnesota Wild,National Hockey League,1,28,10,20,76,20,33.0,38,1826:31,170:17,1491:34,0.0,164:40,2084.0,1.0,0.0,2.0,144.0,49.0,5.0,6.94,1.0,1.0,140.0
0,20172018,Minnesota Wild,National Hockey League,1,28,9,8,61,8,-6.0,37,1497:17,159:55,1165:47,0.0,171:35,1639.0,3.0,0.0,2.0,110.0,64.0,13.0,8.18,1.0,0.0,127.0
0,20182019,Minnesota Wild,National Hockey League,1,29,14,20,82,20,-1.0,43,1979:52,199:19,1588:10,100.0,192:23,2170.0,4.0,0.0,0.0,152.0,91.0,11.0,9.21,0.0,1.0,145.0
0,20192020,Minnesota Wild,National Hockey League,1,20,12,18,62,18,-1.0,32,1399:32,153:27,1094:17,0.0,151:48,1560.0,3.0,0.0,2.0,112.0,61.0,13.0,10.7,0.0,0.0,102.0
0,20202021,Minnesota Wild,National Hockey League,1,18,7,6,54,6,-2.0,25,1192:46,152:52,932:36,0.0,107:18,1308.0,3.0,0.0,0.0,94.0,52.0,9.0,7.4,0.0,0.0,102.0
0,20212022,Minnesota Wild,National Hockey League,1,30,10,10,65,10,32.0,40,1374:45,196:55,1047:40,0.0,130:10,1531.0,0.0,0.0,2.0,116.0,44.0,14.0,8.6,2.0,0.0,83.0
