,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20132014,Pirati Chomutov U16,Czech U16,83627,2,1,4,13,4,-4.0,3
0,20142015,Pirati Chomutov U16,Czech U16,83627,28,19,24,33,24,31.0,47
0,20152016,Pirati Chomutov U18,Czechia U18,42564,14,8,36,29,36,7.0,22
0,20152016,Pirati Chomutov U16,Czechia U16,85160,35,26,30,24,30,28.0,61
0,20162017,Pirati Chomutov,Czechia,8766,0,2,2,28,2,1.0,2
0,20162017,Pirati Chomutov U18,Czechia U18,42564,9,11,51,14,51,12.0,20
0,20162017,Pirati Chomutov U20,Czechia U20,42577,3,4,8,10,8,9.0,7
0,20162017,Czechia U17,WHC-17,61320,3,4,14,5,14,,7
0,20172018,Pirati Chomutov,Czechia,8766,6,3,20,42,20,-1.0,9
0,20172018,Czechia U18,WJC-18,17013,3,3,8,7,8,0.0,6
0,20172018,Czechia U20,WJC-20,17046,0,1,4,6,4,-1.0,1
0,20172018,Czechia U18,Hlinka Gretzky Cup,158320,0,4,8,5,8,-2.0,4
0,20182019,Rouyn-Noranda Huskies,M-Cup,9401,6,2,0,5,0,3.0,8
0,20182019,Rouyn-Noranda Huskies,QMJHL,9660,20,21,43,44,43,34.0,41
0,20182019,Czechia U20,WJC-20,17046,1,1,6,5,6,0.0,2
0,20192020,Providence Bruins,AHL,897,4,5,24,22,24,3.0,9
0,20192020,Czechia U20,WJC-20,17046,0,0,0,1,0,0.0,0
0,20202021,Providence Bruins,AHL,897,14,5,28,23,28,11.0,19
0,20202021,HC Energie Karlovy Vary,Czechia,3506,5,5,26,25,26,-11.0,10
0,20212022,Providence Bruins,AHL,897,13,3,56,54,56,-28.0,16
