,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Tor. Red Wings,GTHL,1,30,40,130,55,130,0.0,70,,,,,,,,,,,,,,,,
0,20082009,Brampton,OHL,1,11,10,47,61,47,,21,3.0,0.0,-2.0,,,,,,,,,,,,,
0,20092010,Brampton,OHL,1,21,21,96,66,96,,42,5.0,0.0,0.0,,,,,,,,,,,,,
0,20102011,Brampton,OHL,1,23,16,74,59,74,,39,3.0,0.0,-15.0,,,,,,,,,,,,,
0,20112012,Brampton,OHL,1,30,37,104,68,104,,67,11.0,1.0,9.0,,,,,,,,,,,,,
0,20122013,Idaho,ECHL,1,21,16,70,50,70,,37,2.0,0.0,15.0,,,,,,,,,,,,,
0,20122013,Toronto,AHL,2,2,2,18,19,18,,4,0.0,0.0,-2.0,27.0,7.41,0.0,,,,,,,,,,
0,20132014,Toronto,AHL,1,21,14,115,62,115,,35,2.0,2.0,17.0,142.0,9.9,6.0,,,,,,,,,,
0,20142015,Toronto Maple Leafs,National Hockey League,1,1,1,9,16,9,41.76,2,0.0,0.0,1.0,17.0,5.88,0.0,103:45,30.0,0.0,00:00,101:05,0.0,0.0,02:40,1.0,156.0
0,20142015,Toronto,AHL,2,18,9,112,59,112,,27,1.0,1.0,-1.0,123.0,7.3,2.0,,,,,,,,,,
0,20152016,Toronto Maple Leafs,National Hockey League,1,0,0,4,3,4,100.0,0,0.0,0.0,-2.0,4.0,0.0,0.0,34:24,4.0,0.0,00:00,29:38,0.0,0.0,04:46,0.0,56.0
0,20152016,Toronto,AHL,2,18,16,90,52,90,,34,3.0,0.0,11.0,113.0,14.2,2.0,,,,,,,,,,
0,20152016,Toronto Marlies,AHL,13377,18,16,90,52,90,,34,,,11.0,,,,,,,,,,,,,
0,20162017,Rockford IceHogs,AHL,8267,17,11,85,57,85,,28,,,-14.0,,,,,,,,,,,,,
0,20162017,San Diego Gulls,AHL,85177,8,3,20,15,20,,11,,,3.0,,,,,,,,,,,,,
0,20172018,San Diego Gulls,AHL,85177,28,13,83,67,83,,41,,,2.0,,,,,,,,,,,,,
0,20182019,Anaheim Ducks,National Hockey League,1,1,0,2,6,2,51.35,1,0.0,0.0,-1.0,5.0,0.0,0.0,61:19,15.0,0.0,00:00,59:53,0.0,0.0,01:26,2.0,96.0
0,20182019,San Diego Gulls,AHL,85177,29,32,90,61,90,,61,,,7.0,,,,,,,,,,,,,
0,20192020,Anaheim Ducks,National Hockey League,1,1,1,0,9,0,45.83,2,0.0,1.0,-3.0,16.0,6.3,0.0,123:54,13.0,0.0,11:33,108:42,0.0,1.0,03:39,8.0,181.0
0,20192020,San Diego Gulls,AHL,85177,20,23,40,46,40,,43,,,27.0,,,,,,,,,,,,,
0,20202021,Anaheim Ducks,National Hockey League,1,4,2,28,13,28,52.38,6,0.0,0.0,4.0,23.0,8.7,0.0,167:59,29.0,1.0,09:17,156:48,0.0,0.0,01:54,3.0,240.0
0,20202021,San Diego Gulls,AHL,85177,10,14,19,27,19,,24,,,5.0,,,,,,,,,,,,,
0,20212022,Anaheim Ducks,National Hockey League,1,8,11,85,64,85,49.39,19,0.0,0.0,-12.0,80.0,13.8,0.0,733:54,122.0,0.0,09:36,670:43,0.0,0.0,53:35,21.0,1040.0
0,20212022,San Diego Gulls,AHL,85177,0,1,14,2,14,,1,,,0.0,,,,,,,,,,,,,
