,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,goalsAgainst,ties,wins,losses,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20052006,Denmark U18,WJC-18 D1,10090780,0.908,2.57,5,,,,,,,,,,,,,,,,,,,
0,20062007,Herning Jr.,Den-Jr.,1,,,27,,,,,,,,,,,,,,,,,,,
0,20062007,Herning IK II,Den-2,2,,,18,,,,,,,,,,,,,,,,,,,
0,20072008,Herning Jr.,Den-Jr.,1,,,17,,,,,,,,,,,,,,,,,,,
0,20072008,Herning IK II,Den-2,3,,,9,,,,,,,,,,,,,,,,,,,
0,20082009,Herning,Denmark,2,,2.45,22,1249:00,1.0,51.0,,,,,,,,,,,,,,,,
0,20082009,Herning IK II,Den-2,3,,,1,,,,,,,,,,,,,,,,,,,
0,20092010,Frederikshavn,Denmark,1,,2.19,30,1754:00,6.0,64.0,,,,,,,,,,,,,,,,
0,20102011,Frederikshavn,Denmark,1,,2.49,36,1953:00,,81.0,,,,,,,,,,,,,,,,
0,20102011,Denmark,WC-A,2,0.901408,3.41,4,246:00,0.0,14.0,0.0,2.0,2.0,128.0,142.0,,,,,,,,,,,
0,20112012,Frolunda,Sweden,1,,1.67,39,2335:00,7.0,65.0,,,,,,,,,,,,,,,,
0,20112012,Denmark,WC-A,2,0.888268,3.34,6,359:00,1.0,20.0,0.0,1.0,5.0,159.0,179.0,,,,,,,,,,,
0,20122013,Norfolk,AHL,1,0.929,2.19,47,2685:00,4.0,98.0,1.0,24.0,18.0,1289.0,1387.0,,,,,,,,,,,
0,20132014,Anaheim Ducks,National Hockey League,1,0.923372,2.293822,28,1569:26,0.0,60.0,,20.0,5.0,723.0,783.0,0.0,107.0,12.0,604.0,14.0,651.0,118.0,24.0,90.67796610169492,85.71428571428571,92.78033794162826
0,20132014,Norfolk,AHL,2,0.939,1.96,4,245:00,1.0,8.0,0.0,3.0,1.0,123.0,131.0,,,,,,,,,,,
0,20142015,Anaheim Ducks,National Hockey League,1,0.914345,2.376263,54,3105:43,3.0,123.0,,35.0,12.0,1313.0,1436.0,5.0,195.0,38.0,1080.0,41.0,1174.0,221.0,53.0,88.23529411764706,92.6829268292683,91.9931856899489
0,20152016,Anaheim Ducks,National Hockey League,1,0.918969,2.297717,43,2297:56,3.0,88.0,,22.0,9.0,998.0,1086.0,7.0,165.0,19.0,814.0,22.0,877.0,187.0,37.0,88.23529411764706,86.36363636363636,92.8164196123147
0,20162017,Toronto Maple Leafs,National Hockey League,1,0.917641,2.668889,66,3799:20,4.0,169.0,,33.0,16.0,1883.0,2052.0,14.0,262.0,50.0,1571.0,55.0,1704.0,293.0,66.0,89.419795221843,90.9090909090909,92.19483568075117
0,20162017,Denmark,OGQ,17025,0.854,3.18,2,,,,,,,,,,,,,,,,,,,
0,20172018,Toronto Maple Leafs,National Hockey League,1,0.917684,2.808269,66,3888:31,5.0,182.0,0.0,38.0,21.0,2029.0,2211.0,5.0,241.0,55.0,1733.0,59.0,1881.0,271.0,66.0,88.92988929889299,93.22033898305084,92.13184476342371
0,20172018,Denmark,WC,17275,0.943,1.65,6,,,,,,,,,,,,,,,,,,,
0,20182019,Toronto Maple Leafs,National Hockey League,1,0.917263,2.769034,60,3510:15,1.0,162.0,0.0,36.0,16.0,1796.0,1958.0,7.0,185.0,47.0,1564.0,53.0,1687.0,218.0,60.0,84.86238532110092,88.67924528301887,92.7089508002371
0,20192020,Toronto Maple Leafs,National Hockey League,1,0.909,2.8537,52,3006:40,3.0,143.0,0.0,29.0,13.0,1434.0,1577.0,7.0,181.0,41.0,1212.0,45.0,1321.0,211.0,52.0,85.78199052132702,91.11111111111111,91.74867524602574
0,20202021,Toronto Maple Leafs,National Hockey League,1,0.895,2.9575,24,1420:07,0.0,70.0,0.0,13.0,8.0,598.0,668.0,3.0,68.0,20.0,510.0,23.0,559.0,86.0,23.0,79.06976744186046,86.95652173913044,91.23434704830053
0,20202021,Toronto Marlies,AHL,13377,0.885,3.77,2,,,,,,,,,,,,,,,,,,,
0,20212022,Carolina Hurricanes,National Hockey League,1,0.922,2.16876,52,3070:53,4.0,111.0,0.0,35.0,14.0,1320.0,1431.0,3.0,166.0,47.0,1107.0,48.0,1199.0,184.0,51.0,90.21739130434783,97.91666666666666,92.32693911592995
