,season,team,league,sequenceNumber,goalAgainstAverage,games,savePercentage
0,20152016,SK Riga 15,Latvia U16,231015,1.4,20,
0,20162017,SK Riga 16,Latvia U18,110037,1.61,20,
0,20162017,SK Riga 16,Russia U16,110357,3.44,16,0.884
0,20172018,Latvia U18,WJC-18 D1A,17465,1.0,2,0.96
0,20172018,HS Riga 17,Latvia2,97909,2.28,8,
0,20172018,HS Riga 17,Russia U17,98228,3.32,16,0.882
0,20182019,Latvia U18,WJC-18,17463,3.32,5,0.918
0,20182019,HS Riga,Latvia,29312,3.26,20,0.914
0,20182019,HK Riga,MHL,76532,2.45,7,0.92
0,20192020,Barrie Colts,OHL,9368,3.87,36,0.891
0,20202021,Manitoba Moose,AHL,877,2.07,1,0.92
0,20202021,HS Riga,Latvia,29312,4.34,2,0.923
0,20202021,HK Mogo,Latvia,51122,2.56,4,0.899
0,20212022,Latvia,WC,17425,1.22,4,0.952
0,20212022,Abbotsford Canucks,AHL,33767,3.1,10,0.888
0,20212022,Trois-Rivières Lions,ECHL,326125,2.37,10,0.92
