,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,SDE HF U16,U16 Div.1,66704,11,8,8,23,8,19,,,,,,,,,,,,,,,,,
0,20122013,Stockholm Nord,TV-Pucken,135366,1,1,0,8,0,2,5.0,,,,,,,,,,,,,,,,
0,20132014,SDE U18,Swe-U18,1,27,9,2,21,2,36,,,,,,,,,,,,,,,,,
0,20132014,Sodertalje U18,Swe-U18,2,10,12,6,17,6,22,,,,,,,,,,,,,,,,,
0,20142015,AIK U18,Swe-U18,1,13,2,2,7,2,15,,,,,,,,,,,,,,,,,
0,20142015,AIK Jr.,Swe-Jr.,2,25,15,12,42,12,40,,,,,,,,,,,,,,,,,
0,20142015,AIK,Sweden-2,3,1,1,0,7,0,2,,,,,,,,,,,,,,,,,
0,20152016,Mississauga,OHL,1,47,28,18,57,18,75,8.0,178.0,9.0,15.7,5.0,1.0,,,,,,,,,,,
0,20152016,Sweden,WJ18-A,2,8,3,0,7,0,11,5.0,32.0,0.0,,0.0,0.0,,,,,,,,,,,
0,20152016,Sweden U18,WJC-18,8573,8,3,0,7,0,11,5.0,,,,,,,,,,,,,,,,
0,20152016,Sweden U20,WJC-20,8596,5,4,0,7,0,9,5.0,,,,,,,,,,,,,,,,
0,20152016,Mississauga Steelheads,OHL,126668,47,28,18,57,18,75,8.0,,,,,,,,,,,,,,,,
0,20152016,Sweden U18,Hlinka Gretzky Cup,158290,4,2,6,5,6,6,2.0,,,,,,,,,,,,,,,,
0,20162017,Buffalo Sabres,National Hockey League,1,1,0,0,4,0,1,-2.0,4.0,0.0,0.0,0.0,0.0,49:19,1.0,0.0,03:06,46:13,0.0,0.0,0.0,00:00,2.0,62.0
0,20162017,Rochester Americans,AHL,1047,18,10,6,65,6,28,-24.0,,,,,,,,,,,,,,,,
0,20162017,Sweden U20,WJC-20,8596,7,5,0,7,0,12,7.0,,,,,,,,,,,,,,,,
0,20172018,Buffalo Sabres,National Hockey League,1,0,1,0,3,0,1,-3.0,2.0,0.0,50.0,0.0,0.0,38:35,0.0,0.0,01:57,36:38,0.0,0.0,0.0,00:00,0.0,54.0
0,20172018,Rochester Americans,AHL,1047,19,8,10,51,10,27,3.0,,,,,,,,,,,,,,,,
0,20172018,Sweden U20,WJC-20,8596,6,1,2,7,2,7,3.0,,,,,,,,,,,,,,,,
0,20182019,Buffalo Sabres,National Hockey League,1,2,2,4,12,4,4,-4.0,16.0,1.0,12.5,0.0,0.0,146:19,1.0,1.0,11:45,134:34,66.67,0.0,0.0,00:00,1.0,190.0
0,20182019,Rochester Americans,AHL,1047,19,12,12,49,12,31,11.0,,,,,,,,,,,,,,,,
0,20192020,Chicago Blackhawks,National Hockey League,1,16,10,10,65,10,26,-2.0,94.0,0.0,10.6,1.0,0.0,788:47,29.0,2.0,75:44,713:03,26.32,0.0,0.0,00:00,14.0,974.0
0,20212022,Wilkes-Barre/Scranton Penguins,AHL,1077,16,14,8,44,8,30,-1.0,,,,,,,,,,,,,,,,
0,20212022,Rockford IceHogs,AHL,8267,4,8,2,23,2,12,-10.0,,,,,,,,,,,,,,,,
