,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Djurgarden U18,Swe-U18,1,4,0,6,27,6,4,,,,,,,,,,,,,,,,,
0,20122013,Djurgarden U18,Swe-U18,1,5,3,46,32,46,8,,,,,,,,,,,,,,,,,
0,20122013,Djurgarden Jr.,Swe-Jr.,2,0,0,0,2,0,0,,,,,,,,,,,,,,,,,
0,20132014,Djurgarden U18,Swe-U18,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,
0,20132014,Djurgarden Jr.,Swe-Jr.,2,5,5,26,33,26,10,,,,,,,,,,,,,,,,,
0,20132014,Djurgarden,Sweden-2,3,1,1,20,29,20,2,,,,,,,,,,,,,,,,,
0,20132014,Sweden,WJ18-A,4,0,0,6,7,6,0,3.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,
0,20142015,Djurgarden,Sweden,1,3,2,32,49,32,5,,,,,,,,,,,,,,,,,
0,20142015,Sweden,WJC-A,2,0,0,2,7,2,0,1.0,0.0,0.0,0.0,-1.0,,,,,,,,,,,,
0,20152016,Djurgarden,Sweden,1,4,2,36,46,36,6,,,,,,,,,,,,,,,,,
0,20152016,Sweden,WJC-A,3,2,0,10,7,10,2,8.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
0,20152016,Djurgårdens IF,Champions HL,142,1,0,4,8,4,1,,,,,1.0,,,,,,,,,,,,
0,20152016,Djurgårdens IF,SHL,829,4,2,36,46,36,6,,,,,5.0,,,,,,,,,,,,
0,20152016,Sweden U20,WJC-20,8596,2,0,10,7,10,2,,,,,1.0,,,,,,,,,,,,
0,20152016,Sweden,EHT,89816,0,0,2,2,2,0,,,,,1.0,,,,,,,,,,,,
0,20162017,Ottawa Senators,National Hockey League,1,0,0,2,5,2,0,3.0,0.0,0.0,0.0,-3.0,53:09,18.0,0.0,00:06,52:10,0.0,0.0,0.0,0.0,00:53,0.0,85.0
0,20162017,Binghamton Senators,AHL,7977,7,3,82,69,82,10,,,,,-18.0,,,,,,,,,,,,
0,20172018,Ottawa Senators,National Hockey League,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,11:21,3.0,0.0,00:00,10:54,0.0,0.0,0.0,0.0,00:27,2.0,16.0
0,20172018,Belleville Senators,AHL,227817,9,1,69,69,69,10,,,,,-4.0,,,,,,,,,,,,
0,20182019,Ottawa Senators,National Hockey League,1,0,0,10,3,10,0,2.0,0.0,0.0,0.0,-2.0,40:00,5.0,0.0,00:06,37:51,0.0,0.0,0.0,0.0,02:03,2.0,60.0
0,20182019,Belleville Senators,AHL,227817,11,3,77,68,77,14,,,,,7.0,,,,,,,,,,,,
0,20192020,Ottawa Senators,National Hockey League,1,3,0,12,24,12,3,10.0,0.0,0.0,0.0,-8.0,261:45,58.0,0.0,00:42,234:55,0.0,0.0,0.0,0.0,26:08,16.0,375.0
0,20192020,Belleville Senators,AHL,227817,0,0,32,22,32,0,,,,,2.0,,,,,,,,,,,,
0,20212022,Colorado Eagles,AHL,8957,10,2,103,57,103,12,,,,,1.0,,,,,,,,,,,,
