,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,shortHandedGoals,shortHandedTimeOnIce,plusMinus,shifts,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20002001,Peterborough,Minor-ON,1,00:00,46,69,20,64,20,0.0,115,,,,,,,,,,,,,,,
0,20012002,London,OHL,1,00:00,31,28,56,67,56,0.0,59,,,,,,,,,,,,,,,
0,20022003,London,OHL,1,00:00,53,25,145,67,145,0.0,78,11.0,00:00,00:00,0.0,00:00,6.0,0.0,,,,,,,,
0,20032004,London,OHL,1,00:00,73,40,98,66,98,0.0,113,19.0,00:00,00:00,2.0,00:00,38.0,0.0,,,,,,,,
0,20042005,London,OHL,1,00:00,83,47,117,60,117,0.0,130,18.0,00:00,00:00,4.0,00:00,66.0,0.0,,,,,,,,
0,20042005,Canada,WJC-A,2,00:00,5,2,6,6,6,0.0,7,,00:00,00:00,,00:00,,0.0,,,,,,,,
0,20042005,London,M-Cup,3,00:00,3,4,5,4,5,0.0,7,,00:00,00:00,,00:00,,0.0,,,,,,,,
0,20052006,Anaheim Ducks,National Hockey League,1,647:57,12,13,50,56,50,27.27,25,4.0,171:50,473:44,0.0,02:23,1.0,867.0,98.0,24.0,11.0,13.27,2.0,0.0,0.0,6.0
0,20052006,Portland,AHL,2,00:00,18,16,32,19,32,0.0,34,4.0,00:00,00:00,1.0,00:00,7.0,0.0,,,,,1.0,,,
0,20062007,Anaheim Ducks,National Hockey League,1,1022:24,27,17,55,82,55,42.86,44,4.0,219:58,797:03,0.0,05:23,12.0,1365.0,194.0,59.0,20.0,8.76,3.0,0.0,0.0,13.0
0,20072008,Anaheim Ducks,National Hockey League,1,1256:31,25,29,108,70,108,18.75,54,11.0,243:48,994:49,0.0,17:54,12.0,1520.0,200.0,95.0,17.0,14.5,4.0,0.0,0.0,11.0
0,20082009,Anaheim Ducks,National Hockey League,1,1450:55,40,32,109,78,109,29.03,72,10.0,268:49,1178:22,0.0,03:44,10.0,1750.0,283.0,109.0,24.0,11.31,8.0,0.0,0.0,13.0
0,20092010,Anaheim Ducks,National Hockey League,1,1726:57,49,27,111,82,111,21.43,76,6.0,313:29,1381:31,1.0,31:57,0.0,2023.0,270.0,93.0,23.0,10.0,2.0,0.0,2.0,34.0
