,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,Thunder Bay Kings Mn Midget AAA,Midget,96861,25,24,56.0,55,56,0.0,49,,,,,,,,,,,,,,,,
0,20052006,F-Wm. North Stars,SIJHL,1,18,4,,40,,,22,,,,,,,,,,,,,,,,
0,20062007,Kitchener,OHL,1,12,2,67.0,63,67,15.0,14,0.0,0.0,,,,,,,,,,,,,,
0,20072008,Kitchener,OHL,1,15,3,61.0,52,61,23.0,18,1.0,0.0,,,,,,,,,,,,,,
0,20082009,Kitchener,OHL,1,16,1,24.0,23,24,-6.0,17,0.0,0.0,,,,,,,,,,,,,,
0,20092010,Wilkes-Barre,AHL,1,10,2,109.0,75,109,13.0,12,0.0,0.0,0.0,,,,,,,,,,,,,
0,20102011,Wilkes-Barre,AHL,1,22,4,111.0,79,111,28.0,26,3.0,0.0,1.0,118.0,3.39,,,,,,,,,,,
0,20112012,Pittsburgh Penguins,National Hockey League,1,0,0,2.0,6,2,1.0,0,0.0,0.0,0.0,3.0,0.0,65:24,9.0,0.0,00:00,61:41,0.0,0.0,0.0,03:43,1.0,102.0
0,20112012,Wilkes-Barre,AHL,2,9,3,61.0,51,61,9.0,12,1.0,0.0,0.0,76.0,3.95,,,,,,,,,,,
0,20122013,Pittsburgh Penguins,National Hockey League,1,2,2,27.0,15,27,3.0,4,0.0,0.0,0.0,10.0,20.0,199:22,18.0,0.0,01:04,189:37,0.0,0.0,0.0,08:41,14.0,292.0
0,20122013,Wilkes-Barre,AHL,2,3,1,34.0,31,34,4.0,4,0.0,0.0,0.0,37.0,2.7,,,,,,,,,,,
0,20132014,Pittsburgh Penguins,National Hockey League,1,10,0,74.0,54,74,-3.0,10,0.0,0.0,0.0,50.0,0.0,835:51,137.0,0.0,02:03,762:57,0.0,0.0,1.0,70:51,73.0,1122.0
0,20142015,Pittsburgh Penguins,National Hockey League,1,4,2,68.0,38,68,-6.0,6,0.0,0.0,0.0,37.0,5.41,587:27,116.0,0.0,06:59,538:08,100.0,0.0,0.0,42:20,44.0,820.0
0,20142015,St. Louis Blues,National Hockey League,2,1,1,25.0,13,25,-3.0,2,0.0,0.0,0.0,19.0,5.26,183:22,41.0,0.0,00:00,174:50,0.0,0.0,0.0,08:32,17.0,261.0
0,20152016,St. Louis Blues,National Hockey League,1,1,2,52.0,40,52,2.0,3,0.0,0.0,0.0,47.0,4.26,530:46,93.0,0.0,00:40,492:08,0.0,0.0,0.0,37:58,42.0,821.0
0,20162017,St. Louis Blues,National Hockey League,1,3,1,15.0,38,15,11.0,4,0.0,0.0,0.0,45.0,2.22,535:18,77.0,0.0,01:23,500:40,0.0,0.0,0.0,33:15,50.0,865.0
0,20172018,St. Louis Blues,National Hockey League,1,9,4,41.0,72,41,11.0,13,0.0,0.0,1.0,76.0,5.26,1065:47,121.0,0.0,02:28,965:21,0.0,0.0,0.0,97:58,108.0,1557.0
0,20182019,St. Louis Blues,National Hockey League,1,8,2,47.0,59,47,9.0,10,0.0,0.0,0.0,75.0,2.67,912:55,95.0,0.0,02:13,772:04,0.0,0.0,1.0,138:38,72.0,1323.0
0,20192020,St. Louis Blues,National Hockey League,1,4,2,21.0,42,21,12.0,6,0.0,0.0,1.0,36.0,5.6,551:13,66.0,0.0,00:06,446:15,0.0,0.0,0.0,104:52,43.0,812.0
0,20202021,St. Louis Blues,National Hockey League,1,4,1,47.0,40,47,-3.0,5,0.0,0.0,1.0,31.0,3.2,566:31,85.0,0.0,00:57,497:41,0.0,0.0,0.0,67:53,49.0,874.0
0,20212022,St. Louis Blues,National Hockey League,1,5,1,36.0,73,36,-4.0,6,0.0,0.0,0.0,47.0,2.1,1002:45,135.0,0.0,00:39,846:58,0.0,0.0,0.0,155:08,98.0,1608.0
