,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20132014,Lakeville North High,USHS-MN,99422,0.931,1.86,9,,,,,,,,,,,,,,,,,,,
0,20142015,U.S. National U18 Team,USDP,19564,0.889,2.8,3,,,,,,,,,,,,,,,,,,,
0,20142015,U.S. National U17 Team,USDP,19734,0.916,2.57,29,,,,,,,,,,,,,,,,,,,
0,20142015,USNTDP Juniors,USHL,52486,0.907,3.23,20,,,,,,,,,,,,,,,,,,,
0,20142015,USA U17,WHC-17,61270,0.934,1.34,3,,,,,,,,,,,,,,,,,,,
0,20152016,USA U18,WJC-18,17253,0.934,1.5,4,,,,,,,,,,,,,,,,,,,
0,20152016,U.S. National U18 Team,USDP,19564,0.908,2.38,37,,,,,,,,,,,,,,,,,,,
0,20152016,USNTDP Juniors,USHL,52486,0.919,2.24,15,,,,,,,,,,,,,,,,,,,
0,20162017,Boston Univ.,NCAA,6890,0.927,2.11,35,,,,,,,,,,,,,,,,,,,
0,20172018,Boston Univ.,NCAA,6890,0.915,2.45,38,,,,,,,,,,,,,,,,,,,
0,20172018,USA U20,WJC-20,17276,0.889,2.77,3,,,,,,,,,,,,,,,,,,,
0,20182019,Boston Univ.,NCAA,6890,0.926,2.45,36,,,,,,,,,,,,,,,,,,,
0,20182019,Texas Stars,AHL,45177,0.895,2.47,6,,,,,,,,,,,,,,,,,,,
0,20192020,Texas Stars,AHL,45177,0.917,2.57,38,,,,,,,,,,,,,,,,,,,
0,20202021,Dallas Stars,National Hockey League,1,0.911,2.3564,29,1604:08,7.0,1.0,0.0,11.0,8.0,647.0,71.0,18.0,558.0,19.0,609.0,82.0,24.0,710.0,63.0,86.58536585365853,94.73684210526315,91.62561576354679
0,20202021,USA,WC,17215,0.934,1.37,3,,,,,,,,,,,,,,,,,,,
0,20212022,Dallas Stars,National Hockey League,1,0.914,2.52622,48,2707:36,1.0,1.0,0.0,30.0,15.0,1217.0,128.0,44.0,1045.0,47.0,1136.0,148.0,46.0,1331.0,114.0,86.48648648648648,93.61702127659575,91.98943661971832
0,20212022,Texas Stars,AHL,45177,0.913,2.62,10,,,,,,,,,,,,,,,,,,,
