,season,team,league,sequenceNumber,assists,goals,pim,games,powerPlayGoals,penaltyMinutes,gameWinningGoals,shortHandedGoals,points,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Prince George,BCHL,1,32,10,21,58,3.0,21,0.0,0.0,42,,,,,,,,,,,,,,
0,20112012,Prince George,BCHL,1,50,29,69,54,10.0,69,3.0,0.0,79,,,,,,,,,,,,,,
0,20122013,Michigan Tech,WCHA,1,19,6,49,37,4.0,49,1.0,0.0,25,,,,,,,,,,,,,,
0,20132014,Everett,WHL,1,27,16,59,59,7.0,59,,0.0,43,5.0,,,,,,,,,,,,,
0,20132014,Oklahoma City,AHL,2,0,0,2,6,0.0,2,0.0,0.0,0,-1.0,13.0,0.0,,,,,,,,,,,
0,20142015,Oklahoma City,AHL,1,6,4,62,51,0.0,62,2.0,0.0,10,-7.0,73.0,5.5,,,,,,,,,,,
0,20152016,Edmonton Oilers,National Hockey League,1,2,0,13,15,0.0,13,0.0,0.0,2,-2.0,14.0,0.0,155:19,29.0,0.0,00:55,154:24,0.0,0.0,0.0,00:00,6.0,229.0
0,20152016,Bakersfield,AHL,2,17,10,69,49,0.0,69,0.0,2.0,27,3.0,96.0,10.4,,,,,,,,,,,
0,20152016,Bakersfield Condors,AHL,7257,17,10,69,49,,69,,,27,3.0,,,,,,,,,,,,,
0,20162017,Edmonton Oilers,National Hockey League,1,0,1,2,10,0.0,2,1.0,0.0,1,1.0,10.0,10.0,92:34,20.0,0.0,00:59,91:21,36.84,0.0,0.0,00:14,5.0,137.0
0,20162017,Bakersfield Condors,AHL,7257,12,8,31,27,,31,,,20,4.0,,,,,,,,,,,,,
0,20172018,Edmonton Oilers,National Hockey League,1,10,11,47,69,0.0,47,2.0,1.0,21,-7.0,73.0,15.07,876:49,128.0,1.0,23:59,749:50,45.43,0.0,2.0,103:00,39.0,1207.0
0,20182019,Edmonton Oilers,National Hockey League,1,15,3,43,60,0.0,43,0.0,1.0,18,-12.0,64.0,4.69,754:01,123.0,0.0,23:26,661:24,43.65,0.0,2.0,69:11,33.0,1073.0
0,20192020,Edmonton Oilers,National Hockey League,1,4,6,38,64,0.0,38,1.0,0.0,10,-19.0,69.0,8.7,802:07,136.0,0.0,06:54,693:46,51.52,0.0,0.0,101:27,30.0,1054.0
0,20202021,Edmonton Oilers,National Hockey League,1,8,3,42,40,0.0,42,2.0,0.0,11,-1.0,41.0,7.3,481:58,151.0,0.0,02:52,400:24,45.24,0.0,0.0,78:42,21.0,636.0
0,20212022,Chicago Blackhawks,National Hockey League,1,0,3,13,27,0.0,13,0.0,0.0,3,-4.0,32.0,9.4,367:12,88.0,0.0,01:02,316:11,52.48,0.0,0.0,49:59,14.0,507.0
