,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Chi. Mission,T1EHL,1,17,33,14,31,14,50,,,,,,,,,,,,,,,,,
0,20102011,Chi. Mission Ban.,T1EHL,1,14,10,0,22,0,24,,,,,,,,,,,,,,,,,
0,20112012,Chi. Mission,HPHL,1,24,21,2,29,2,45,,,,,,,,,,,,,,,,,
0,20122013,Chi. Mission U18,HPHL,1,33,19,4,31,4,52,,,,,,,,,,,,,,,,,
0,20122013,Chi. Mission U18,Exhib.,2,24,16,4,27,4,40,,,,,,,,,,,,,,,,,
0,20122013,Chicago,USHL,3,3,2,2,9,2,5,8.0,0.0,25.0,1.0,0.0,4.0,,,,,,,,,,,
0,20132014,London,OHL,1,8,6,0,33,0,14,,1.0,,2.0,1.0,8.0,,,,,,,,,,,
0,20142015,London,OHL,1,68,41,24,66,24,109,,14.0,,5.0,2.0,33.0,,,,,,,,,,,
0,20142015,Portland,AHL,2,1,1,4,2,4,2,5.0,0.0,20.0,0.0,0.0,2.0,,,,,,,,,,,
0,20152016,London,OHL,1,69,52,27,59,27,121,,,,,,56.0,,,,,,,,,,,
0,20152016,U.S.A.,WJC-A,2,5,3,0,7,0,8,12.0,0.0,,0.0,0.0,8.0,,,,,,,,,,,
0,20152016,London Knights,M-Cup,2561,5,7,0,4,0,12,,,,,,9.0,,,,,,,,,,,
0,20152016,London Knights,OHL,2778,69,52,27,59,27,121,,,,,,56.0,,,,,,,,,,,
0,20152016,USA U20,WJC-20,17276,5,3,0,7,0,8,,,,,,8.0,,,,,,,,,,,
0,20162017,Arizona Coyotes,National Hockey League,1,18,15,22,78,22,33,88.0,2.0,17.05,1.0,0.0,7.0,1218:06,72.0,5.0,111:16,1040:46,46.82,0.0,0.0,66:04,56.0,1533.0
0,20162017,USA,WC,17215,0,1,6,8,6,1,,,,,,2.0,,,,,,,,,,,
0,20172018,Arizona Coyotes,National Hockey League,1,22,15,22,78,22,37,151.0,2.0,9.93,2.0,0.0,-19.0,1281:49,92.0,7.0,141:25,1039:45,51.36,0.0,0.0,100:39,48.0,1828.0
0,20182019,Arizona Coyotes,National Hockey League,1,5,2,2,20,2,7,25.0,1.0,8.0,1.0,0.0,-2.0,287:42,16.0,1.0,26:38,260:08,55.31,0.0,0.0,00:56,7.0,405.0
0,20182019,Tucson Roadrunners,AHL,218897,0,0,0,2,0,0,,,,,,0.0,,,,,,,,,,,
0,20192020,Arizona Coyotes,National Hockey League,1,20,18,12,70,12,38,134.0,6.0,13.4,2.0,0.0,6.0,1168:44,39.0,10.0,191:06,957:05,55.11,1.0,0.0,20:33,36.0,1528.0
0,20202021,Arizona Coyotes,National Hockey League,1,14,17,12,56,12,31,95.0,8.0,17.9,4.0,1.0,-11.0,1030:47,48.0,11.0,159:23,763:16,52.07,0.0,1.0,108:08,45.0,1373.0
0,20212022,Montréal Canadiens,National Hockey League,1,22,11,24,56,24,33,87.0,1.0,12.6,1.0,0.0,-19.0,972:53,32.0,5.0,138:02,742:42,56.67,0.0,0.0,92:09,52.0,1290.0
