,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20022003,Antoine-Girouard,QAAA,1,00:00,10,2,34,42,00:00,00:00,34,0.0,00:00,12,0.0,,,,,,,,,,,
0,20032004,Antoine-Girouard,QAAA,1,00:00,41,12,94,39,00:00,00:00,94,0.0,00:00,53,0.0,,,,,,,,,,,
0,20042005,Val-d'Or,QMJHL,1,00:00,19,13,79,70,00:00,00:00,79,0.0,00:00,32,0.0,5.0,1.0,-16.0,,,,,,,,
0,20042005,Canada,WJ18-A,2,00:00,2,2,20,6,00:00,00:00,20,0.0,00:00,4,0.0,,,,,,,,,,,
0,20052006,Val-d'Or,QMJHL,1,00:00,43,25,156,60,00:00,00:00,156,0.0,00:00,68,0.0,13.0,1.0,4.0,2.0,,,,,,,
0,20052006,Canada,WJC-A,3,00:00,2,1,2,6,00:00,00:00,2,0.0,00:00,3,0.0,,,,,,,,,,,
0,20062007,Pittsburgh Penguins,National Hockey League,1,80:52,0,2,4,7,29:46,51:00,4,0.0,00:06,2,104.0,2.0,0.0,-3.0,0.0,8.0,8.0,2.0,25.0,0.0,0.0,3.0
0,20062007,Canada,WJC-A,3,,6,0,12,6,,,12,,,6,,,,,,,,,,,,
0,20062007,Val-d'Or,QMJHL,99,,38,14,74,40,,,74,,,52,,5.0,2.0,19.0,4.0,,,,,,,
0,20072008,Pittsburgh Penguins,National Hockey League,1,1144:05,11,6,23,63,163:29,927:38,23,0.0,52:58,17,1341.0,1.0,0.0,-1.0,3.0,68.0,79.0,9.0,8.82,0.0,0.0,75.0
0,20072008,Wilkes-Barre,AHL,2,,6,1,4,10,,,4,,,7,,0.0,0.0,0.0,,,,,,,,
0,20082009,Pittsburgh Penguins,National Hockey League,1,1564:48,23,10,24,74,265:25,1204:49,24,0.0,94:34,33,1771.0,4.0,1.0,-7.0,3.0,138.0,111.0,11.0,7.25,0.0,1.0,127.0
0,20092010,Pittsburgh Penguins,National Hockey League,1,1573:55,24,3,51,73,206:19,1267:16,51,0.0,100:20,27,1851.0,0.0,0.0,1.0,0.0,174.0,117.0,5.0,1.72,0.0,0.0,95.0
0,20102011,Pittsburgh Penguins,National Hockey League,1,1970:45,42,8,101,82,366:32,1431:16,101,100.0,172:57,50,2046.0,4.0,0.0,15.0,2.0,236.0,167.0,24.0,3.39,1.0,1.0,109.0
0,20112012,Pittsburgh Penguins,National Hockey League,1,1266:46,32,10,34,51,209:04,973:00,34,0.0,84:42,42,1299.0,4.0,1.0,21.0,3.0,142.0,83.0,15.0,7.04,1.0,2.0,86.0
0,20122013,Pittsburgh Penguins,National Hockey League,1,897:16,33,5,8,35,161:54,658:11,8,0.0,77:11,38,901.0,1.0,0.0,16.0,1.0,95.0,45.0,13.0,5.26,0.0,0.0,59.0
0,20132014,Pittsburgh Penguins,National Hockey League,1,896:39,11,11,16,37,137:24,685:19,16,0.0,73:56,22,937.0,6.0,0.0,-8.0,1.0,108.0,43.0,12.0,10.19,0.0,0.0,51.0
0,20142015,Pittsburgh Penguins,National Hockey League,1,1758:45,43,11,79,69,262:10,1304:33,79,0.0,192:02,54,1949.0,2.0,1.0,12.0,1.0,197.0,131.0,24.0,5.58,0.0,1.0,117.0
0,20152016,Pittsburgh Penguins,National Hockey League,1,1913:06,51,16,66,71,282:26,1465:53,66,0.0,164:47,67,2198.0,5.0,0.0,9.0,2.0,218.0,135.0,27.0,7.34,1.0,3.0,122.0
0,20162017,Pittsburgh Penguins,National Hockey League,1,1046:14,29,5,32,41,150:41,807:43,32,0.0,87:50,34,1207.0,2.0,0.0,2.0,2.0,122.0,70.0,14.0,4.1,1.0,1.0,70.0
0,20172018,Pittsburgh Penguins,National Hockey League,1,2000:58,42,9,56,79,245:11,1551:13,56,0.0,204:34,51,2350.0,4.0,0.0,-9.0,1.0,222.0,109.0,20.0,4.05,0.0,1.0,108.0
0,20182019,Pittsburgh Penguins,National Hockey League,1,1687:21,40,16,48,65,210:33,1336:50,48,0.0,139:58,56,1923.0,2.0,1.0,13.0,3.0,206.0,116.0,19.0,7.77,1.0,2.0,111.0
0,20192020,Pittsburgh Penguins,National Hockey League,1,1569:15,29,15,38,61,214:19,1220:38,38,0.0,134:18,44,1762.0,6.0,0.0,0.0,2.0,177.0,101.0,15.0,8.5,0.0,0.0,91.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,1355:40,38,7,32,55,169:15,1099:47,32,0.0,86:38,45,1487.0,1.0,0.0,19.0,2.0,132.0,92.0,15.0,5.3,1.0,1.0,65.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,2010:38,58,10,49,78,271:33,1628:21,49,0.0,110:44,68,2147.0,2.0,0.0,20.0,3.0,214.0,171.0,22.0,4.7,2.0,0.0,122.0
