,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Western Canada Selects U13,WSI U13,206627,4,1,0,9,0,5,
0,20152016,Red Deer Rebels U15 AAA,AEHL U15,54669,14,2,2,36,2,16,
0,20152016,Western Canada Selects U14,WSI U14,206408,5,0,0,7,0,5,
0,20162017,Red Deer Rebels U15 AAA,AEHL U15,54669,30,8,10,35,10,38,
0,20162017,Western Canada Selects U15,WSI U15,238960,2,3,2,8,2,5,
0,20172018,Lethbridge Hurricanes U18 AAA,AEHL U18,91581,26,5,0,30,0,31,
0,20182019,Everett Silvertips,WHL,16391,8,1,4,52,4,9,11.0
0,20182019,Canada White U17,WHC-17,163790,0,0,0,5,0,0,
0,20192020,Everett Silvertips,WHL,16391,29,3,6,63,6,32,22.0
0,20202021,Everett Silvertips,WHL,16391,12,5,4,23,4,17,18.0
0,20212022,Everett Silvertips,WHL,16391,33,11,14,52,14,44,18.0
0,20212022,Canada U20,WJC-20,17216,4,0,0,7,0,4,10.0
