,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Davos U18,Swiss-U18,1,19,43,38,32,38,0.0,62,,,,,,,,,,,,,,,,
0,20072008,Davos U18,Swiss-U18,1,26,39,62,32,62,0.0,65,,,,,,,,,,,,,,,,
0,20072008,Davos Jr.,Swiss-Jr.,2,3,7,4,8,4,0.0,10,,,,,,,,,,,,,,,,
0,20082009,Davos U18,Swiss-U18,1,6,6,6,6,6,0.0,12,,,,,,,,,,,,,,,,
0,20082009,Davos Jr.,Swiss-Jr.,2,14,20,44,30,44,0.0,34,,,,,,,,,,,,,,,,
0,20082009,Switzerland,WJ18-A,4,3,3,16,6,16,0.0,6,,,,,,,,,,,,,,,,
0,20092010,Portland,WHL,1,24,36,68,65,68,,60,11.0,0.0,11.0,,,,,,,,,,,,,
0,20102011,New York Islanders,National Hockey League,1,1,1,8,9,8,0.0,2,0.0,0.0,-1.0,122:20,12.0,16.0,0.0,08:18,113:51,8.33,0.0,0.0,0.0,00:11,1.0,174.0
0,20102011,Portland,WHL,2,29,41,67,55,67,,70,12.0,0.0,28.0,,,,,,,,,,,,,
0,20102011,Switzerland,WJC-A,3,2,2,12,6,12,,4,1.0,0.0,-1.0,,,,,,,,0.0,,,,,
0,20112012,New York Islanders,National Hockey League,1,0,1,12,55,12,0.0,1,0.0,0.0,-29.0,556:21,74.0,129.0,0.0,22:03,534:18,1.35,0.0,0.0,0.0,00:00,14.0,728.0
0,20112012,Bridgeport,AHL,2,1,3,4,6,4,,4,0.0,0.0,4.0,,16.0,,,,,18.75,0.0,,,,,
0,20112012,Switzerland,WC-A,3,0,0,2,6,2,,0,0.0,0.0,-5.0,,,,,,,,0.0,,,,,
0,20122013,Bridgeport,AHL,1,22,28,38,74,38,,50,10.0,1.0,-5.0,,230.0,,,,,12.17,1.0,,,,,
0,20122013,Switzerland,WC-A,2,3,5,2,10,2,,8,1.0,0.0,3.0,,,,,,,,1.0,,,,,
0,20132014,Minnesota Wild,National Hockey League,1,22,14,44,81,44,26.92,36,2.0,0.0,12.0,1141:41,143.0,175.0,6.0,110:24,1030:42,9.79,1.0,1.0,0.0,00:35,23.0,1583.0
0,20132014,Switzerland,Olympics,2,0,0,2,4,2,,0,0.0,0.0,2.0,,10.0,,,,,,0.0,,,,,
0,20142015,Minnesota Wild,National Hockey League,1,13,24,28,80,28,28.57,37,6.0,1.0,2.0,1163:37,149.0,155.0,8.0,123:46,1003:48,16.11,5.0,0.0,1.0,36:03,32.0,1574.0
0,20152016,Minnesota Wild,National Hockey League,1,23,20,36,82,36,40.74,43,2.0,0.0,9.0,1274:34,159.0,129.0,5.0,154:52,1117:03,12.58,1.0,0.0,0.0,02:39,19.0,1650.0
0,20152016,Switzerland,WC-A,2,3,3,2,7,2,,6,2.0,0.0,6.0,,30.0,,,,,,0.0,,,,,
0,20152016,Switzerland,WC,16145,3,3,2,7,2,,6,,,6.0,,,,,,,,,,,,,
0,20162017,Minnesota Wild,National Hockey League,1,32,25,53,82,53,0.0,57,8.0,0.0,17.0,1235:53,186.0,120.0,14.0,164:28,1071:16,13.44,3.0,0.0,0.0,00:09,20.0,1617.0
0,20162017,Team Europe,WCup,162186,1,0,2,6,2,,1,,,1.0,,,,,,,,,,,,,
0,20172018,Minnesota Wild,National Hockey League,1,14,18,36,63,36,45.45,32,7.0,0.0,14.0,945:05,133.0,58.0,8.0,140:10,800:57,13.53,4.0,1.0,0.0,03:58,20.0,1146.0
0,20172018,Switzerland,WC,16145,5,4,10,10,10,,9,,,6.0,,,,,,,,,,,,,
0,20182019,Minnesota Wild,National Hockey League,1,14,9,10,46,10,62.79,23,3.0,0.0,-11.0,672:02,81.0,46.0,8.0,95:10,576:44,11.11,2.0,0.0,0.0,00:08,13.0,829.0
0,20182019,Carolina Hurricanes,National Hockey League,2,16,14,20,36,20,41.67,30,3.0,0.0,7.0,658:26,103.0,48.0,7.0,89:42,567:12,13.59,1.0,0.0,0.0,01:32,7.0,808.0
0,20182019,Switzerland,WC,16145,1,1,0,2,0,,2,,,-1.0,,,,,,,,,,,,,
0,20192020,Carolina Hurricanes,National Hockey League,1,18,11,42,67,42,25.0,29,4.0,0.0,-3.0,992:47,115.0,52.0,11.0,125:43,865:03,9.6,2.0,0.0,0.0,02:01,19.0,1279.0
0,20202021,Carolina Hurricanes,National Hockey League,1,14,20,29,56,29,14.29,34,4.0,0.0,20.0,880:11,126.0,68.0,5.0,85:15,794:01,15.9,4.0,0.0,0.0,00:55,17.0,1089.0
0,20212022,Carolina Hurricanes,National Hockey League,1,20,24,34,75,34,48.72,44,4.0,0.0,29.0,1112:59,144.0,119.0,5.0,110:11,1002:24,16.7,5.0,0.0,0.0,00:24,17.0,1430.0
