,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,shortHandedGoals,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,CAC Canadians Bantam AAA,AMBHL,56338,3,3,12,7,12,0.0,6,,,,,,,,,,,,,,,,
0,20052006,CAC Canadians Mdgt AAA,AMHL,33207,11,10,60,36,60,0.0,21,,,,,,,,,,,,,,,,
0,20062007,CAC Canadians Mdgt AAA,AMHL,33207,13,11,79,33,79,0.0,24,,,,,,,,,,,,,,,,
0,20072008,Spruce Grove,AJHL,1,32,13,59,56,59,,45,0.0,,,,,,,,,,,,,,,
0,20082009,Western Mich.,CCHA,1,11,7,44,40,44,,18,,,,,,,,,,,,,,,,
0,20092010,Vancouver,WHL,1,48,24,107,69,107,4.0,72,,16.0,0.0,,,,,,,,,,,,,
0,20102011,Manitoba,AHL,1,12,11,51,73,51,-11.0,23,,3.0,0.0,146.0,7.53,1.0,,,,,,,,,,
0,20112012,Chicago,AHL,1,20,13,58,73,58,-3.0,33,,7.0,1.0,194.0,6.7,2.0,,,,,,,,,,
0,20122013,Chicago,AHL,1,18,7,67,60,67,-12.0,25,,2.0,0.0,142.0,4.93,1.0,,,,,,,,,,
0,20122013,Texas,AHL,2,4,2,6,9,6,2.0,6,,0.0,0.0,15.0,13.33,1.0,,,,,,,,,,
0,20132014,Dallas Stars,National Hockey League,1,7,1,16,36,16,-6.0,8,0.0,0.0,0.0,56.0,1.79,0.0,551:54,43.0,2.0,24:16,520:28,0.0,0.0,07:10,29.0,740.0
0,20132014,Texas,AHL,2,1,0,23,6,23,-4.0,1,,0.0,0.0,20.0,0.0,0.0,,,,,,,,,,
0,20142015,Dallas Stars,National Hockey League,1,2,0,6,8,6,4.0,2,0.0,0.0,0.0,10.0,0.0,0.0,96:43,8.0,0.0,05:21,91:12,0.0,0.0,00:10,4.0,140.0
0,20142015,Columbus Blue Jackets,National Hockey League,2,10,9,29,54,29,1.0,19,0.0,0.0,0.0,86.0,10.47,4.0,908:41,75.0,3.0,96:52,810:22,1.0,0.0,01:27,44.0,1121.0
0,20152016,Columbus Blue Jackets,National Hockey League,1,7,1,21,27,21,10.0,8,0.0,0.0,0.0,44.0,2.27,0.0,420:48,24.0,2.0,44:06,368:16,0.0,0.0,08:26,15.0,543.0
0,20152016,Arizona Coyotes,National Hockey League,2,5,4,39,38,39,-3.0,9,0.0,0.0,0.0,65.0,6.15,0.0,667:10,76.0,1.0,40:21,607:25,0.0,0.0,19:24,43.0,917.0
0,20162017,Arizona Coyotes,National Hockey League,1,1,0,24,24,24,-1.0,1,0.0,0.0,0.0,21.0,0.0,0.0,315:10,48.0,0.0,05:21,290:04,0.0,0.0,19:45,22.0,443.0
0,20162017,Tucson Roadrunners,AHL,218897,2,1,2,2,2,0.0,3,,,,,,,,,,,,,,,,
0,20172018,Arizona Coyotes,National Hockey League,1,10,11,20,73,20,3.0,21,0.0,0.0,0.0,102.0,10.78,3.0,1107:52,116.0,0.0,13:03,1053:19,0.0,0.0,41:30,72.0,1566.0
0,20182019,Arizona Coyotes,National Hockey League,1,7,1,22,50,22,-2.0,8,0.0,0.0,0.0,75.0,1.33,0.0,917:35,108.0,0.0,05:35,774:07,0.0,2.0,137:53,75.0,1133.0
0,20192020,Colorado Avalanche,National Hockey League,1,0,0,0,4,0,-2.0,0,0.0,0.0,0.0,4.0,0.0,0.0,62:00,6.0,0.0,00:25,56:46,0.0,0.0,04:49,6.0,83.0
0,20192020,Colorado Eagles,AHL,8957,22,5,36,38,36,5.0,27,,,,,,,,,,,,,,,,
0,20202021,Florida Panthers,National Hockey League,1,1,0,7,7,7,4.0,1,0.0,0.0,0.0,5.0,0.0,0.0,99:30,12.0,0.0,00:16,96:27,0.0,0.0,02:47,3.0,135.0
0,20212022,Florida Panthers,National Hockey League,1,0,0,2,13,2,4.0,0,0.0,0.0,0.0,14.0,0.0,0.0,156:11,28.0,0.0,00:45,153:28,0.0,0.0,01:58,9.0,231.0
0,20212022,Philadelphia Flyers,National Hockey League,2,2,1,2,26,2,-7.0,3,0.0,0.0,0.0,16.0,6.3,0.0,353:48,46.0,0.0,00:24,336:09,0.0,0.0,17:15,23.0,476.0
