,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,St. Albert Sabres Bantam AAA,AMBHL,55208,1,0,0,2,0,0.0,1,,,,,,,,,,,,,,,,
0,20082009,St. Albert,AMBHL,1,15,2,44,33,44,,17,,,,,,,,,,,,,,,,
0,20092010,St. Albert,AMHL,1,14,7,32,33,32,,21,,,,,,,,,,,,,,,,
0,20102011,Spruce Grove,AJHL,1,7,0,65,43,65,0.0,7,0.0,0.0,0.0,,,,,,,,,,,,,
0,20112012,Spruce Grove,AJHL,1,14,4,87,44,87,0.0,18,3.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Dubuque,USHL,1,16,10,73,57,73,25.0,26,4.0,2.0,0.0,70.0,14.29,,,,,,,,,,,
0,20132014,Northeastern,H-East,1,10,3,28,33,28,,13,2.0,1.0,0.0,,,,,,,,,,,,,
0,20142015,Northeastern,H-East,1,24,0,36,36,36,,24,0.0,0.0,0.0,,,,,,,,,,,,,
0,20152016,Northeastern,H-East,1,13,6,37,41,37,0.0,19,2.0,2.0,0.0,78.0,,,,,,,,,,,,
0,20152016,Northeastern Univ.,NCAA,15210,13,6,37,41,37,0.0,19,,,,,,,,,,,,,,,,
0,20162017,Edmonton Oilers,National Hockey League,1,12,3,29,62,29,8.0,15,1.0,0.0,0.0,69.0,4.35,1029:51,111.0,3.0,25:56,960:49,0.0,0.0,0.0,43:06,64.0,1399.0
0,20162017,Bakersfield Condors,AHL,7257,1,1,0,2,0,2.0,2,,,,,,,,,,,,,,,,
0,20172018,Edmonton Oilers,National Hockey League,1,15,6,49,73,49,5.0,21,0.0,2.0,0.0,111.0,5.41,1261:36,149.0,2.0,64:53,1157:34,0.0,0.0,1.0,39:09,82.0,1751.0
0,20182019,Edmonton Oilers,National Hockey League,1,12,5,33,70,33,11.0,17,0.0,0.0,0.0,94.0,5.32,1046:10,109.0,1.0,39:24,919:56,0.0,0.0,1.0,86:50,59.0,1499.0
0,20192020,Edmonton Oilers,National Hockey League,1,7,1,15,43,15,8.0,8,0.0,0.0,0.0,38.0,2.6,568:46,78.0,0.0,00:10,541:11,0.0,0.0,0.0,27:25,34.0,778.0
0,20192020,Bakersfield Condors,AHL,7257,1,0,2,3,2,1.0,1,,,,,,,,,,,,,,,,
0,20202021,Nashville Predators,National Hockey League,1,3,1,30,53,30,-1.0,4,0.0,0.0,0.0,43.0,2.3,865:24,55.0,0.0,01:07,757:06,0.0,0.0,1.0,107:11,53.0,1181.0
0,20212022,Nashville Predators,National Hockey League,1,11,0,39,65,39,-24.0,11,0.0,0.0,0.0,61.0,0.0,1061:55,82.0,0.0,02:05,917:25,0.0,0.0,0.0,142:25,67.0,1491.0
