,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Miss. Reps,GTHL,1,60,46,88,77,88,0.0,106,,,,,,,,,,,,,,,,
0,20072008,St. Michael's,OHL,1,23,18,41,62,41,,41,5.0,2.0,12.0,,,,,,,,,,,,,
0,20082009,St. Michael's,OHL,1,20,16,39,55,39,,36,8.0,3.0,-15.0,,,,,,,,,,,,,
0,20092010,St. Michael's,OHL,1,37,25,77,68,77,,62,9.0,1.0,32.0,,,,,,,,,,,,,
0,20102011,St. Michael's,OHL,1,35,29,40,52,40,,64,11.0,3.0,43.0,,,,,,,,,,,,,
0,20102011,Canada,WJC-A,2,1,2,6,7,6,,3,0.0,0.0,1.0,1.0,,,,,,,,,,,,
0,20112012,New York Islanders,National Hockey League,1,4,0,6,15,6,40.87,4,0.0,0.0,1.0,0.0,159:01,12.0,26.0,0.0,01:17,155:00,0.0,0.0,0.0,02:44,9.0,229.0
0,20112012,Bridgeport,AHL,2,30,15,30,52,30,,45,3.0,0.0,26.0,3.0,,113.0,,,,,13.27,,,,,
0,20122013,New York Islanders,National Hockey League,1,9,6,14,45,14,52.17,15,0.0,0.0,0.0,1.0,485:24,45.0,75.0,1.0,01:29,451:43,13.33,0.0,0.0,32:12,21.0,695.0
0,20122013,Bridgeport,AHL,2,11,10,35,31,35,,21,3.0,1.0,-15.0,1.0,,63.0,,,,,15.87,,,,,
0,20132014,New York Islanders,National Hockey League,1,10,6,30,80,30,48.37,16,1.0,0.0,-12.0,1.0,1069:53,79.0,128.0,2.0,17:35,857:41,7.59,0.0,2.0,194:37,48.0,1560.0
0,20142015,New York Islanders,National Hockey League,1,9,9,24,70,24,52.16,18,0.0,2.0,-2.0,2.0,876:11,90.0,144.0,1.0,07:59,767:40,10.0,0.0,2.0,100:32,50.0,1344.0
0,20152016,New York Islanders,National Hockey League,1,21,8,31,80,31,48.91,29,0.0,1.0,4.0,4.0,1014:33,84.0,158.0,0.0,06:26,833:19,9.52,0.0,3.0,174:48,62.0,1573.0
0,20162017,New York Islanders,National Hockey League,1,17,8,30,59,30,49.65,25,0.0,0.0,9.0,1.0,820:30,82.0,144.0,1.0,08:45,684:52,9.76,0.0,0.0,126:53,58.0,1254.0
0,20172018,New York Islanders,National Hockey League,1,10,7,23,64,23,53.09,17,0.0,1.0,-12.0,0.0,845:46,74.0,128.0,0.0,03:57,694:30,9.46,0.0,1.0,147:19,53.0,1216.0
0,20182019,New York Islanders,National Hockey League,1,13,20,36,73,36,49.06,33,0.0,2.0,22.0,3.0,1023:44,111.0,129.0,0.0,04:59,876:40,18.02,0.0,3.0,142:05,68.0,1476.0
0,20192020,New York Islanders,National Hockey League,1,4,10,41,48,41,53.49,14,0.0,3.0,12.0,1.0,686:06,67.0,133.0,0.0,02:14,571:52,14.9,0.0,5.0,112:00,39.0,987.0
0,20202021,New York Islanders,National Hockey League,1,7,7,27,56,27,53.21,14,0.0,0.0,-2.0,3.0,774:44,72.0,112.0,0.0,05:03,673:27,9.7,0.0,0.0,96:14,25.0,1116.0
0,20212022,New York Islanders,National Hockey League,1,6,10,48,74,48,55.57,16,0.0,1.0,-3.0,3.0,1017:16,91.0,138.0,0.0,05:30,875:09,11.0,0.0,1.0,136:37,43.0,1503.0
