,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Honeybaked 13U AAA,HPHL 13U,149038,14,8,8.0,15,8,22,
0,20142015,Honeybaked 16U AAA,HPHL 16U,104461,0,1,0.0,1,0,1,
0,20142015,Honeybaked 14U AAA,HPHL 14U,123299,6,16,14.0,16,14,22,
0,20152016,Honeybaked 16U AAA,HPHL 16U,104461,13,11,26.0,23,26,24,
0,20152016,Team Black,USA-S15,177983,5,0,,5,,5,
0,20162017,Youngstown Phantoms,USHL,27206,11,5,24.0,49,24,16,5.0
0,20162017,Team Grey,USA-S16,177914,2,0,,5,,2,
0,20172018,Youngstown Phantoms,USHL,27206,21,17,54.0,58,54,38,-4.0
0,20172018,Team Kelly,USA-S17,177445,2,3,,5,,5,
0,20182019,Muskegon Lumberjacks,USHL,6276,7,5,23.0,23,23,12,2.0
0,20182019,Lincoln Stars,USHL,9366,2,3,10.0,13,10,5,-8.0
0,20182019,Central Illinois Flying Aces,USHL,172056,10,5,8.0,21,8,15,3.0
0,20192020,Univ. of Notre Dame,NCAA,16100,0,1,4.0,8,4,1,-1.0
0,20202021,Univ. of Notre Dame,NCAA,16100,11,5,8.0,24,8,16,8.0
0,20212022,Toronto Marlies,AHL,13377,0,0,0.0,2,0,0,-3.0
0,20212022,Univ. of Notre Dame,NCAA,16100,12,16,14.0,39,14,28,12.0
