,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,Honeybaked 15U AAA,T1EHL 15U,222885,12,3,22,28,22,15,,,,,,,,,,,,,,,,,
0,20052006,Belle Tire Bantam Major AAA,T1EBHL,122819,18,3,16,26,16,21,0.0,,,,,,,,,,,,,,,,
0,20062007,Belle Tire  U16,T1EHL U16,102148,15,2,40,31,40,17,0.0,,,,,,,,,,,,,,,,
0,20072008,Compuware U18,T1EHL U18,65657,5,0,30,25,30,5,0.0,,,,,,,,,,,,,,,,
0,20082009,Indiana,USHL,1,37,10,50,59,50,47,3.0,93.0,4.0,10.75,1.0,0.0,,,,,,,,,,,
0,20092010,Michigan State,CCHA,1,18,3,67,38,67,21,,,1.0,,2.0,0.0,,,,,,,,,,,
0,20102011,Michigan State,CCHA,1,17,11,59,38,59,28,,,7.0,,2.0,0.0,,,,,,,,,,,
0,20112012,Boston Bruins,National Hockey League,1,1,0,0,2,0,1,0.0,3.0,0.0,0.0,0.0,0.0,34:15,0.0,0.0,02:09,31:20,0.0,0.0,0.0,00:46,4.0,40.0
0,20112012,Michigan State,CCHA,2,22,12,51,38,51,34,,,7.0,,3.0,0.0,,,,,,,,,,,
0,20122013,Boston Bruins,National Hockey League,1,1,0,0,1,0,1,-1.0,0.0,0.0,0.0,0.0,0.0,15:47,0.0,1.0,03:14,10:58,0.0,0.0,0.0,01:35,1.0,21.0
0,20122013,Providence,AHL,2,32,13,37,63,37,45,0.0,147.0,5.0,8.84,3.0,0.0,,,,,,,,,,,
0,20132014,Boston Bruins,National Hockey League,1,26,14,28,79,28,40,18.0,183.0,6.0,7.65,2.0,0.0,1383:17,50.0,19.0,198:43,1164:48,50.0,1.0,0.0,19:46,77.0,1743.0
0,20142015,Boston Bruins,National Hockey League,1,27,12,20,78,20,39,13.0,205.0,2.0,5.85,0.0,0.0,1528:20,75.0,14.0,204:14,1308:47,0.0,0.0,0.0,15:19,68.0,1927.0
0,20142015,U.S.A.,WC-A,2,3,2,8,10,8,5,1.0,18.0,2.0,,0.0,0.0,,,,,,,,,,,
0,20152016,Boston Bruins,National Hockey League,1,40,4,33,81,33,44,9.0,244.0,1.0,1.64,1.0,0.0,1750:43,61.0,19.0,266:56,1431:53,100.0,0.0,0.0,51:54,94.0,2173.0
0,20162017,Boston Bruins,National Hockey League,1,43,8,37,81,37,51,-10.0,208.0,6.0,3.85,1.0,0.0,1749:39,59.0,25.0,264:37,1454:20,0.0,0.0,0.0,30:42,82.0,2126.0
0,20172018,Boston Bruins,National Hockey League,1,45,14,36,76,36,59,0.0,197.0,5.0,7.11,4.0,1.0,1550:30,79.0,24.0,260:38,1262:03,0.0,0.0,1.0,27:49,73.0,1898.0
0,20182019,Boston Bruins,National Hockey League,1,47,6,33,64,33,53,-2.0,151.0,2.0,3.97,2.0,0.0,1363:13,53.0,30.0,237:15,1112:21,0.0,1.0,0.0,13:37,60.0,1599.0
0,20192020,Boston Bruins,National Hockey League,1,40,9,33,61,33,49,-4.0,144.0,2.0,6.3,4.0,0.0,1249:44,36.0,28.0,236:53,1007:03,0.0,2.0,0.0,05:48,48.0,1467.0
0,20202021,St. Louis Blues,National Hockey League,1,30,2,25,51,25,32,11.0,110.0,1.0,1.8,0.0,0.0,1149:58,51.0,13.0,145:56,983:33,0.0,0.0,0.0,20:29,57.0,1400.0
0,20212022,St. Louis Blues,National Hockey League,1,34,9,48,64,48,43,23.0,119.0,3.0,7.6,1.0,1.0,1315:49,53.0,19.0,180:12,1124:30,0.0,0.0,1.0,11:07,70.0,1761.0
