,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20162017,Manglerud U18,Norway U18,127763,6,3,10,17,10,13.0,9
0,20162017,Manglerud U16,Norway U16,131000,5,0,10,7,10,-1.0,5
0,20162017,Norway Selects U15,WSI U15,206320,1,0,0,5,0,,1
0,20172018,Norway U18,WJC-18 D1A,17155,0,1,2,5,2,-2.0,1
0,20172018,Manglerud U18,Norway U18,127763,20,3,22,26,22,13.0,23
0,20172018,Manglerud U20,Norway U20,128983,1,0,8,15,8,11.0,1
0,20172018,Manglerud U16,Norway U16,131000,6,2,4,5,4,-1.0,8
0,20182019,Norway U18,WJC-18 D1A,17155,0,0,4,5,4,-5.0,0
0,20182019,Tri-City Storm,USHL,28026,0,0,0,2,0,0.0,0
0,20182019,Colorado Thunderbirds 16U AAA,T1EHL 16U,97046,10,10,20,26,20,,20
0,20182019,Colorado Thunderbirds 16U AAA,16U AAA,97065,32,21,20,62,20,57.0,53
0,20192020,Mississauga Steelheads,OHL,126668,17,2,47,57,47,-2.0,19
0,20202021,Manglerud,Norway,2396,8,2,14,22,14,-1.0,10
0,20202021,Norway,WC,17115,0,0,2,6,2,-2.0,0
0,20202021,Cleveland Monsters,AHL,22447,4,1,8,16,8,-1.0,5
0,20212022,Norway U20,WJC-20 D1A,17177,4,2,0,5,0,5.0,6
0,20212022,Mississauga Steelheads,OHL,126668,10,3,82,54,82,-4.0,13
