,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Dal. Ice Jets,Minor-TX,1,60,78,78.0,52,78,138,,,,,,,,,,,,,,,,,
0,20072008,Det. Compuware,MWEHL,1,14,31,54.0,31,54,45,,,,,,,,,,,,,,,,,
0,20072008,Det. Compuware,Exhib.,2,2,3,4.0,4,4,5,,,,,,,,,,,,,,,,,
0,20082009,Det. Compuware,T1EHL,1,9,14,67.0,28,67,23,,,,,,,,,,,,,,,,,
0,20082009,Det. Compuware,Exhib.,2,10,6,,20,,16,,,,,,,,,,,,,,,,,
0,20092010,Plymouth,OHL,1,5,3,4.0,33,4,8,1.0,0.0,1.0,,,,,,,,,,,,,,
0,20102011,Plymouth,OHL,1,44,33,80.0,68,80,77,9.0,1.0,14.0,,,,,,,,,,,,,,
0,20112012,Plymouth,OHL,1,44,38,74.0,63,74,82,14.0,2.0,18.0,,,,,,,,,,,,,,
0,20122013,Plymouth,OHL,1,28,25,43.0,51,43,53,8.0,0.0,7.0,,,,,,,,,,,,,,
0,20132014,Norfolk,AHL,2,0,0,4.0,2,4,0,0.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,,,
0,20142015,Anaheim Ducks,National Hockey League,1,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,06:54,0.0,0.0,00:00,06:54,0.0,0.0,0.0,00:00,1.0,10.0
0,20142015,Norfolk,AHL,2,9,7,27.0,27,27,16,2.0,0.0,-5.0,79.0,8.9,3.0,,,,,,,,,,,
0,20152016,Anaheim Ducks,National Hockey League,1,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10:02,3.0,0.0,01:57,07:34,0.0,0.0,0.0,00:31,0.0,17.0
0,20152016,San Diego,AHL,2,22,10,56.0,65,56,32,4.0,1.0,-5.0,123.0,8.1,3.0,,,,,,,,,,,
0,20152016,San Diego Gulls,AHL,85177,22,10,56.0,65,56,32,,,-5.0,,,,,,,,,,,,,,
0,20162017,Anaheim Ducks,National Hockey League,1,0,2,2.0,12,2,2,0.0,0.0,2.0,12.0,16.67,0.0,78:37,10.0,0.0,00:07,78:30,38.18,0.0,0.0,00:00,1.0,130.0
0,20162017,New Jersey Devils,National Hockey League,2,2,6,22.0,32,22,8,0.0,0.0,4.0,51.0,11.76,0.0,410:54,40.0,0.0,06:51,387:23,41.67,0.0,0.0,16:40,9.0,571.0
0,20162017,San Diego Gulls,AHL,85177,9,6,40.0,22,40,15,,,2.0,,,,,,,,,,,,,,
0,20172018,New Jersey Devils,National Hockey League,1,14,13,36.0,72,36,27,0.0,0.0,12.0,127.0,10.24,4.0,956:38,112.0,0.0,24:39,925:19,36.36,0.0,0.0,06:40,41.0,1266.0
0,20182019,New Jersey Devils,National Hockey League,1,5,3,28.0,41,28,8,0.0,0.0,-19.0,64.0,4.69,0.0,522:01,95.0,0.0,28:06,493:06,41.07,0.0,0.0,00:49,21.0,674.0
0,20192020,Pittsburgh Penguins,National Hockey League,1,0,1,0.0,6,0,1,0.0,0.0,0.0,8.0,12.5,0.0,59:06,10.0,0.0,04:44,54:22,75.0,0.0,0.0,00:00,1.0,87.0
0,20192020,San Jose Sharks,National Hockey League,2,2,6,32.0,34,32,8,1.0,0.0,-1.0,59.0,10.2,2.0,402:10,64.0,1.0,22:58,378:50,28.57,0.0,0.0,00:22,16.0,559.0
0,20192020,Wilkes-Barre/Scranton Penguins,AHL,1077,8,14,58.0,22,58,22,,,8.0,,,,,,,,,,,,,,
0,20202021,San Jose Sharks,National Hockey League,1,0,0,2.0,5,2,0,0.0,0.0,0.0,5.0,0.0,0.0,47:39,4.0,0.0,00:15,47:24,25.0,0.0,0.0,00:00,0.0,69.0
0,20202021,Toronto Maple Leafs,National Hockey League,2,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10:00,0.0,0.0,00:00,09:10,0.0,0.0,0.0,00:50,0.0,17.0
0,20202021,Toronto Marlies,AHL,13377,2,1,9.0,4,9,3,,,1.0,,,,,,,,,,,,,,
0,20202021,San Jose Barracuda,AHL,187427,4,2,23.0,12,23,6,,,-2.0,,,,,,,,,,,,,,
0,20212022,Carolina Hurricanes,National Hockey League,1,0,0,0.0,2,0,0,0.0,0.0,1.0,4.0,0.0,0.0,28:39,5.0,0.0,02:22,26:17,0.0,0.0,0.0,00:00,0.0,39.0
0,20212022,Chicago Wolves,AHL,957,37,48,112.0,70,112,85,,,35.0,,,,,,,,,,,,,,
