,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Pinkerton,High-NH,1,11,14,48,23,48,25,,,,,,,,,,,,,,,,,
0,20102011,Pinkerton,High-NH,1,16,15,39,21,39,31,,,,,,,,,,,,,,,,,
0,20112012,Pinkerton,High-NH,1,33,36,40,21,40,69,,,,,,,,,,,,,,,,,
0,20122013,Islanders H.C.,EJHL,1,24,12,22,37,22,36,5.0,2.0,1.0,,,,,,,,,,,,,,
0,20132014,Waterloo,USHL,1,18,17,60,52,60,35,5.0,1.0,0.0,180.0,9.4,15.0,,,,,,,,,,,
0,20142015,Boston College,H-East,1,17,7,30,38,30,24,0.0,2.0,0.0,,,,,,,,,,,,,,
0,20152016,Boston College,H-East,1,26,13,44,41,44,39,6.0,1.0,2.0,,,27.0,,,,,,,,,,,
0,20152016,Boston College,NCAA,9670,26,13,44,41,44,39,,,,,,27.0,,,,,,,,,,,
0,20162017,Washington Capitals,National Hockey League,1,1,2,6,26,6,3,0.0,1.0,0.0,23.0,8.7,0.0,263:48,18.0,0.0,00:03,253:57,55.56,0.0,0.0,09:48,10.0,376.0
0,20162017,St. Louis Blues,National Hockey League,2,3,2,4,13,4,5,0.0,1.0,0.0,13.0,15.38,2.0,159:02,4.0,0.0,20:17,138:40,33.33,0.0,0.0,00:05,10.0,225.0
0,20162017,Hershey Bears,AHL,997,5,11,14,25,14,16,,,,,,-2.0,,,,,,,,,,,
0,20172018,San Antonio Rampage,AHL,8497,3,4,18,20,18,7,,,,,,-7.0,,,,,,,,,,,
0,20182019,St. Louis Blues,National Hockey League,1,12,8,21,60,21,20,0.0,2.0,0.0,77.0,10.39,8.0,754:44,48.0,1.0,10:12,711:50,61.54,0.0,0.0,32:42,37.0,1037.0
0,20182019,San Antonio Rampage,AHL,8497,2,4,2,7,2,6,,,,,,-1.0,,,,,,,,,,,
0,20192020,St. Louis Blues,National Hockey League,1,14,16,28,58,28,30,1.0,3.0,0.0,90.0,17.8,13.0,796:31,109.0,1.0,40:00,730:45,11.11,0.0,0.0,25:46,32.0,1055.0
0,20202021,St. Louis Blues,National Hockey League,1,6,10,25,52,25,16,3.0,3.0,1.0,67.0,14.9,-13.0,774:18,69.0,3.0,49:00,643:08,41.18,0.0,2.0,82:10,44.0,1018.0
0,20212022,Ottawa Senators,National Hockey League,1,8,9,37,62,37,17,1.0,0.0,0.0,85.0,10.6,-13.0,879:39,131.0,3.0,86:06,758:17,22.22,0.0,0.0,35:16,55.0,1219.0
0,20212022,Winnipeg Jets,National Hockey League,2,4,0,13,18,13,4,0.0,0.0,0.0,19.0,0.0,-2.0,264:16,38.0,0.0,17:26,246:39,25.0,0.0,0.0,00:11,12.0,333.0
