,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20152016,Traktor Chelyabinsk U16,Russia U16,199587,12,5,59,35,59,17,,,,,,,,,,,,,,,,,
0,20162017,Belye Medvedi Chelyabinsk,MHL,49612,3,1,37,19,37,4,9.0,,,,,,,,,,,,,,,,
0,20162017,Russia U17,WHC-17,61290,0,0,4,6,4,0,,,,,,,,,,,,,,,,,
0,20162017,Russia U18 |WJAC-19|,WJAC-19,87382,1,0,2,4,2,1,,,,,,,,,,,,,,,,,
0,20162017,Traktor Chelyabinsk U17,Russia U17,98158,18,5,32,25,32,23,,,,,,,,,,,,,,,,,
0,20172018,Ottawa 67's,OHL,7738,6,5,71,53,71,11,12.0,,,,,,,,,,,,,,,,
0,20172018,Russia U18,WJC-18,17523,2,0,6,5,6,2,0.0,,,,,,,,,,,,,,,,
0,20172018,Russia U18 |WJAC-19|,WJAC-19,87382,0,1,6,4,6,1,,,,,,,,,,,,,,,,,
0,20172018,Russia U18,Hlinka Gretzky Cup,158300,2,1,4,5,4,3,,,,,,,,,,,,,,,,,
0,20182019,Ottawa 67's,OHL,7738,15,2,43,56,43,17,30.0,,,,,,,,,,,,,,,,
0,20192020,Ottawa 67's,OHL,7738,16,3,35,39,35,19,30.0,,,,,,,,,,,,,,,,
0,20202021,Binghamton Devils,AHL,233827,4,2,36,28,36,6,-9.0,,,,,,,,,,,,,,,,
0,20212022,New Jersey Devils,National Hockey League,1,1,1,2,5,2,2,-2.0,75:26,5.0,16.0,0.0,0.0,00:10,74:04,0.0,20.0,0.0,0.0,0.0,0.0,01:12,1.0,94.0
0,20212022,Utica Comets,AHL,152247,9,3,68,63,68,12,10.0,,,,,,,,,,,,,,,,
