,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,plusMinus,hits,powerPlayPoints,overTimeGoals,shortHandedPoints,blocked
0,20052006,Lac St-Louis,QAAA,1,34,18,94.0,43,94,52,,,,,,,,,,,,,,,,,
0,20062007,Deerfield,High-MA,1,14,18,,25,,32,,,,,,,,,,,,,,,,,
0,20072008,Deerfield,High-MA,1,27,28,,24,,55,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20082009,Harvard,ECAC,1,8,6,46.0,30,46,14,,,,0.0,,,,,,,,,,,,,
0,20092010,Harvard,ECAC,1,11,9,26.0,32,26,20,,,,0.0,,,,,,,,,,,,,
0,20102011,Harvard,ECAC,1,14,15,36.0,34,36,29,,,,,,,,,,,,,,,,,
0,20112012,Harvard,ECAC,1,23,23,47.0,34,47,46,,,,,,,9.0,4.0,0.0,,,,,,,,
0,20112012,Norfolk,AHL,2,4,2,2.0,10,2,6,,,,,,,1.0,0.0,0.0,30.0,6.67,6.0,,,,,
0,20122013,Tampa Bay Lightning,National Hockey League,1,12,7,14.0,38,14,19,639:07,71:03,524:54,39.29,43:10,792.0,1.0,2.0,0.0,82.0,8.54,-6.0,40.0,3.0,0.0,0.0,22.0
0,20122013,Syracuse,AHL,2,22,16,32.0,44,32,38,,,,,,,7.0,2.0,0.0,166.0,9.64,6.0,,,,,
0,20132014,Tampa Bay Lightning,National Hockey League,1,24,17,63.0,82,63,41,1375:52,157:32,1206:00,43.02,12:20,1755.0,3.0,2.0,0.0,173.0,9.83,8.0,77.0,8.0,1.0,0.0,31.0
0,20142015,Tampa Bay Lightning,National Hockey League,1,23,15,36.0,71,36,38,1201:45,145:03,996:27,43.75,60:15,1472.0,1.0,5.0,1.0,130.0,11.54,8.0,60.0,3.0,0.0,1.0,21.0
0,20152016,Tampa Bay Lightning,National Hockey League,1,26,14,44.0,81,44,40,1360:25,187:32,1135:25,38.75,37:28,1662.0,3.0,3.0,0.0,154.0,9.09,14.0,76.0,6.0,1.0,1.0,23.0
0,20162017,Tampa Bay Lightning,National Hockey League,1,17,19,66.0,81,66,36,1458:14,195:44,1145:04,33.33,117:26,1833.0,4.0,4.0,1.0,176.0,10.8,-9.0,99.0,10.0,0.0,2.0,25.0
0,20162017,Canada,WC,17155,0,0,8.0,10,8,0,,,,,,,,,,,,1.0,,,,,
0,20172018,Tampa Bay Lightning,National Hockey League,1,32,15,45.0,82,45,47,1352:50,233:54,980:43,40.0,138:13,1699.0,2.0,1.0,0.0,156.0,9.62,22.0,82.0,9.0,0.0,0.0,25.0
0,20182019,Tampa Bay Lightning,National Hockey League,1,22,18,45.0,82,45,40,1219:42,112:33,947:07,20.0,160:02,1632.0,2.0,2.0,1.0,153.0,11.76,22.0,88.0,5.0,1.0,2.0,23.0
0,20192020,Tampa Bay Lightning,National Hockey League,1,23,26,20.0,68,20,49,1218:55,177:09,891:58,26.32,149:48,1541.0,8.0,7.0,0.0,130.0,20.0,19.0,59.0,13.0,0.0,0.0,15.0
0,20202021,Tampa Bay Lightning,National Hockey League,1,18,15,37.0,56,37,33,1002:43,172:04,729:20,33.33,101:19,1221.0,5.0,1.0,0.0,121.0,12.4,-1.0,59.0,9.0,1.0,1.0,12.0
0,20212022,Tampa Bay Lightning,National Hockey League,1,34,25,66.0,82,66,59,1532:44,263:39,1125:21,16.67,143:44,1890.0,6.0,2.0,0.0,164.0,15.2,1.0,88.0,14.0,0.0,0.0,26.0
