,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20132014,Alaska Wolves 14U AA,14U AA,161357,0.973,0.29,7
0,20152016,West Anchorage High,USHS-AK,134839,0.935,1.25,24
0,20152016,Anchorage North Stars 16U AA,16U AA,192454,0.95,1.33,8
0,20162017,Colorado Thunderbirds 16U AAA,T1EHL 16U,97046,0.915,2.13,16
0,20172018,Minnesota Magicians,NAHL,144774,0.927,2.41,41
0,20182019,Tri-City Storm,USHL,28026,0.925,1.9,34
0,20192020,Univ. of Nebraska-Omaha,NCAA,7640,0.907,2.85,28
0,20202021,Univ. of Nebraska-Omaha,NCAA,7640,0.907,3.03,24
0,20212022,Univ. of Nebraska-Omaha,NCAA,7640,0.907,2.52,30
0,20212022,Henderson Silver Knights,AHL,307807,0.929,2.05,8
