,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked,plusMinus
0,20022003,Vaughan,GTHL,1,00:00,54,39,122,58,00:00,00:00,122,0.0,00:00,93,0.0,,,,,,,,,,,
0,20032004,St. Mike's B's,OPJHL,1,00:00,47,26,14,36,00:00,00:00,14,0.0,00:00,73,0.0,,,,,,,,,,,
0,20042005,St. Mike's B's,OPJHL,1,00:00,66,36,33,49,00:00,00:00,33,0.0,00:00,102,0.0,,,,,,,,,,,
0,20052006,U. Of Michigan,CCHA,1,00:00,16,12,38,39,00:00,00:00,38,0.0,00:00,28,0.0,,,,,,,,,,,
0,20052006,Canada,WJC-A,3,00:00,4,1,4,6,00:00,00:00,4,0.0,00:00,5,0.0,,,,,,,,,,,
0,20062007,U. Of Michigan,CCHA,1,,26,24,12,38,,,12,,,50,,,,,,,,,,,,
0,20062007,Canada,WJC-A,3,,2,1,0,6,,,0,,,3,,,,,,,,,,,,
0,20072008,Edmonton Oilers,National Hockey League,1,1120:17,27,18,20,82,166:42,887:44,20,39.48,65:51,45,1462.0,98.0,25.0,1.0,7.0,18.37,5.0,3.0,2.0,3.0,31.0,1.0
0,20082009,Edmonton Oilers,National Hockey League,1,1181:03,20,18,22,82,160:39,972:12,22,37.18,48:12,38,1610.0,116.0,57.0,4.0,9.0,15.52,4.0,0.0,0.0,0.0,39.0,-6.0
0,20092010,Edmonton Oilers,National Hockey League,1,1162:21,18,10,31,82,73:51,1027:26,31,43.01,61:04,28,1541.0,139.0,80.0,1.0,3.0,7.19,1.0,0.0,0.0,0.0,28.0,-5.0
0,20102011,Edmonton Oilers,National Hockey League,1,1415:02,24,11,64,82,75:47,1116:14,64,41.61,223:01,35,1985.0,129.0,89.0,0.0,5.0,8.53,3.0,0.0,1.0,3.0,46.0,-12.0
0,20112012,Anaheim Ducks,National Hockey League,1,1205:53,13,13,15,82,45:56,1028:23,15,41.97,131:34,26,1650.0,115.0,88.0,2.0,3.0,11.3,2.0,0.0,0.0,0.0,43.0,-4.0
0,20122013,Anaheim Ducks,National Hockey League,1,737:41,10,13,6,48,07:12,653:55,6,34.78,76:34,23,1037.0,79.0,40.0,0.0,0.0,16.46,1.0,0.0,2.0,2.0,24.0,14.0
0,20122013,Klagenfurt,Austria,99,,4,2,2,7,,,2,,,6,,,,,,,,,,,,
0,20132014,Anaheim Ducks,National Hockey League,1,1262:14,21,21,28,82,18:02,1113:36,28,40.74,130:36,42,1833.0,157.0,94.0,0.0,0.0,13.38,5.0,0.0,3.0,5.0,36.0,13.0
0,20142015,Anaheim Ducks,National Hockey League,1,1197:17,14,15,14,82,07:27,1053:09,14,32.65,136:41,29,1666.0,134.0,139.0,0.0,0.0,11.19,2.0,0.0,3.0,3.0,30.0,5.0
0,20152016,Anaheim Ducks,National Hockey League,1,1183:24,23,9,28,82,06:51,1020:48,28,35.29,155:45,32,1818.0,131.0,124.0,0.0,0.0,6.87,3.0,0.0,2.0,3.0,27.0,2.0
0,20162017,Anaheim Ducks,National Hockey League,1,1241:19,19,16,26,82,06:46,1088:58,26,44.44,145:35,35,1883.0,178.0,76.0,0.0,0.0,8.99,2.0,0.0,3.0,4.0,27.0,11.0
0,20172018,Anaheim Ducks,National Hockey League,1,1215:56,23,12,41,80,08:39,1070:00,41,49.3,137:17,35,1790.0,175.0,80.0,0.0,0.0,6.86,1.0,0.0,3.0,4.0,31.0,18.0
0,20182019,Anaheim Ducks,National Hockey League,1,609:24,8,3,14,46,04:01,534:15,14,35.0,71:08,11,916.0,64.0,43.0,1.0,1.0,4.69,1.0,0.0,0.0,0.0,13.0,2.0
0,20182019,Dallas Stars,National Hockey League,2,372:41,3,3,8,32,01:01,335:54,8,44.44,35:46,6,631.0,42.0,25.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,19.0,-1.0
0,20192020,Dallas Stars,National Hockey League,1,848:06,11,3,30,68,06:42,741:53,30,45.95,99:31,14,1371.0,68.0,86.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,31.0,2.0
0,20202021,Dallas Stars,National Hockey League,1,752:01,6,5,24,54,05:51,666:55,24,26.67,79:15,11,1181.0,88.0,79.0,0.0,0.0,5.7,0.0,0.0,1.0,1.0,24.0,-8.0
0,20212022,San Jose Sharks,National Hockey League,1,739:16,11,4,12,56,04:13,629:42,12,40.0,105:21,15,1214.0,58.0,82.0,0.0,0.0,6.9,0.0,0.0,1.0,2.0,21.0,-16.0
0,20212022,Colorado Avalanche,National Hockey League,2,198:18,1,0,8,18,01:33,171:21,8,0.0,25:24,1,322.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-2.0
